Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-18
Time (HH:MM:SS):	16:54:56
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          644 	
        2	          687 	
        3	          688 	
        4	          678 	
        5	          687 	
        6	          659 	
        7	          687 	
        8	          698 	
        9	          698 	
       10	          678 	
       11	          695 	
       12	          704 	
       13	          668 	
       14	          726 	
       15	          660 	
       16	          691 	
       17	          689 	
       18	          669 	
       19	          701 	
       20	          733 	
       21	          706 	
       22	          715 	
       23	          724 	
       24	          682 	
       25	          724 	
       26	          687 	
       27	          676 	
       28	          766 	
       29	          659 	
       30	          675 	
       31	          666 	
       32	          656 	
       33	          716 	
       34	          697 	
       35	          645 	
       36	          706 	
       37	          642 	
       38	          661 	
       39	          658 	
       40	          703 	
       41	          616 	
       42	          633 	
       43	          646 	
       44	          671 	
       45	          660 	
       46	          613 	
       47	          671 	
       48	          683 	
       49	          678 	
       50	          667 	
       51	          654 	
       52	          666 	
       53	          671 	
       54	          677 	
       55	          665 	
       56	          659 	
       57	          665 	
       58	          684 	
       59	          675 	
       60	          688 	
       61	          706 	
       62	          691 	
       63	          711 	
       64	          672 	
       65	          669 	
       66	          720 	
       67	          685 	
       68	          682 	
       69	          684 	
       70	          682 	
       71	          715 	
       72	          693 	
       73	          687 	
       74	          746 	
       75	          691 	
       76	          698 	
       77	          686 	
       78	          718 	
       79	          650 	
       80	          651 	
       81	          683 	
       82	          683 	
       83	          690 	
       84	          742 	
       85	          659 	
       86	          669 	
       87	          688 	
       88	          697 	
       89	          688 	
       90	          716 	
       91	          678 	
       92	          676 	
       93	          690 	
       94	          661 	
       95	          709 	
       96	          683 	
       97	          645 	
       98	          677 	
       99	          688 	
      100	          629 	
      101	          717 	
      102	          660 	
      103	          702 	
