Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-18
Time (HH:MM:SS):	17:04:58
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          612 	
        2	          607 	
        3	          619 	
        4	          645 	
        5	          632 	
        6	          632 	
        7	          587 	
        8	          661 	
        9	          593 	
       10	          606 	
       11	          586 	
       12	          576 	
       13	          580 	
       14	          563 	
       15	          568 	
       16	          624 	
       17	          574 	
       18	          565 	
       19	          614 	
       20	          623 	
       21	          636 	
       22	          608 	
       23	          610 	
       24	          625 	
       25	          631 	
       26	          617 	
       27	          611 	
       28	          629 	
       29	          636 	
       30	          651 	
       31	          641 	
       32	          600 	
       33	          647 	
       34	          622 	
       35	          607 	
       36	          577 	
       37	          629 	
       38	          605 	
       39	          600 	
       40	          612 	
       41	          616 	
       42	          594 	
       43	          622 	
       44	          566 	
       45	          622 	
       46	          621 	
       47	          637 	
       48	          614 	
       49	          628 	
       50	          624 	
       51	          655 	
       52	          620 	
       53	          598 	
       54	          634 	
       55	          624 	
       56	          588 	
       57	          643 	
       58	          631 	
       59	          638 	
       60	          611 	
       61	          586 	
       62	          629 	
       63	          639 	
       64	          595 	
       65	          590 	
       66	          615 	
       67	          651 	
       68	          625 	
       69	          626 	
       70	          594 	
       71	          643 	
       72	          648 	
       73	          660 	
       74	          618 	
       75	          655 	
       76	          612 	
       77	          587 	
       78	          615 	
       79	          602 	
       80	          627 	
       81	          637 	
       82	          530 	
       83	          615 	
       84	          581 	
       85	          603 	
       86	          602 	
       87	          602 	
       88	          606 	
       89	          642 	
       90	          578 	
       91	          609 	
       92	          533 	
       93	          603 	
       94	          600 	
       95	          584 	
       96	          621 	
       97	          603 	
       98	          652 	
       99	          601 	
      100	          679 	
      101	          650 	
      102	          619 	
