Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	14:23:14
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           85 	
        2	           94 	
        3	           96 	
        4	          101 	
        5	           90 	
        6	           78 	
        7	          103 	
        8	           79 	
        9	           87 	
       10	           76 	
       11	           88 	
       12	          101 	
       13	          101 	
       14	           88 	
       15	           92 	
       16	           86 	
       17	           90 	
       18	           92 	
       19	           88 	
       20	           89 	
       21	           95 	
       22	           88 	
       23	           80 	
       24	          113 	
       25	          101 	
       26	           83 	
       27	           81 	
       28	           73 	
       29	           97 	
       30	           95 	
       31	           98 	
       32	           80 	
       33	           95 	
       34	           75 	
       35	           84 	
       36	           77 	
       37	           76 	
       38	          104 	
       39	           93 	
       40	          109 	
       41	          101 	
       42	          110 	
       43	           89 	
       44	           75 	
       45	           76 	
       46	           74 	
       47	           87 	
       48	           86 	
       49	           84 	
       50	           94 	
       51	           86 	
       52	          101 	
       53	           99 	
       54	           97 	
       55	           99 	
       56	           90 	
       57	           93 	
       58	          100 	
       59	           96 	
       60	          104 	
       61	           94 	
       62	           96 	
       63	           88 	
       64	           89 	
       65	           85 	
       66	          100 	
       67	           86 	
       68	          102 	
       69	           97 	
       70	           91 	
       71	           87 	
       72	           96 	
       73	          100 	
       74	           71 	
       75	           89 	
       76	           75 	
       77	           94 	
       78	           84 	
       79	           98 	
       80	          100 	
       81	           81 	
       82	           81 	
       83	           79 	
       84	           67 	
       85	          100 	
       86	          100 	
       87	           87 	
       88	           83 	
       89	           94 	
       90	           90 	
       91	           77 	
       92	           85 	
       93	           93 	
       94	          107 	
       95	           81 	
       96	           87 	
       97	          105 	
       98	           78 	
       99	           93 	
      100	          102 	
      101	          104 	
      102	           82 	
      103	           93 	
      104	           75 	
      105	           85 	
      106	           91 	
      107	           94 	
      108	           88 	
      109	           84 	
      110	          105 	
      111	           90 	
      112	           72 	
      113	           80 	
      114	           73 	
      115	           78 	
      116	           92 	
      117	           91 	
