Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	14:31:27
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          117 	
        2	          103 	
        3	           94 	
        4	          107 	
        5	          102 	
        6	           93 	
        7	           89 	
        8	          109 	
        9	          104 	
       10	           94 	
       11	           89 	
       12	           99 	
       13	          111 	
       14	          103 	
       15	          101 	
       16	           80 	
       17	           96 	
       18	          102 	
       19	          115 	
       20	          118 	
       21	          106 	
       22	          102 	
       23	          109 	
       24	          110 	
       25	          109 	
       26	          111 	
       27	           95 	
       28	           90 	
       29	          107 	
       30	          113 	
       31	          112 	
       32	          129 	
       33	          106 	
       34	           90 	
       35	           93 	
       36	          103 	
       37	           87 	
       38	          110 	
       39	          112 	
       40	          116 	
       41	           86 	
       42	          114 	
       43	          100 	
       44	          100 	
       45	          105 	
       46	           84 	
       47	          111 	
       48	          107 	
       49	           91 	
       50	           98 	
       51	          108 	
       52	           98 	
       53	          111 	
       54	          104 	
       55	          113 	
       56	          103 	
       57	          111 	
       58	           88 	
       59	          104 	
       60	           97 	
       61	          112 	
       62	           97 	
       63	           89 	
       64	           87 	
       65	           94 	
       66	          107 	
       67	           93 	
       68	           94 	
       69	          101 	
       70	          106 	
       71	           93 	
       72	          117 	
       73	          109 	
       74	           97 	
       75	          112 	
       76	          113 	
       77	           89 	
       78	          101 	
       79	           99 	
       80	           90 	
       81	          116 	
       82	           96 	
       83	          114 	
       84	           98 	
       85	           90 	
       86	           93 	
       87	          119 	
       88	          110 	
       89	          103 	
       90	           92 	
       91	          108 	
       92	           96 	
       93	           91 	
       94	          119 	
       95	          134 	
       96	          107 	
       97	          102 	
       98	           97 	
       99	           97 	
      100	           97 	
      101	          119 	
      102	          120 	
      103	           99 	
      104	          110 	
      105	          100 	
      106	          119 	
      107	          111 	
      108	          113 	
      109	          100 	
      110	          107 	
      111	          102 	
      112	           99 	
      113	          106 	
      114	           95 	
      115	          127 	
      116	           91 	
      117	           91 	
      118	           90 	
      119	          103 	
      120	          114 	
      121	          103 	
      122	          118 	
      123	           97 	
      124	          117 	
      125	          100 	
      126	          103 	
      127	           98 	
      128	          107 	
      129	          109 	
      130	           94 	
      131	          102 	
      132	          122 	
      133	          100 	
      134	          101 	
      135	          107 	
      136	           98 	
      137	           91 	
      138	           86 	
      139	          102 	
      140	           96 	
      141	          112 	
      142	          119 	
      143	           99 	
      144	          112 	
      145	          103 	
      146	          101 	
      147	          125 	
      148	          102 	
      149	          100 	
      150	           88 	
      151	          101 	
      152	           95 	
      153	           94 	
      154	           95 	
      155	           90 	
      156	           97 	
      157	          117 	
      158	          112 	
      159	           95 	
      160	           75 	
      161	          104 	
      162	          110 	
      163	          103 	
      164	          113 	
      165	          102 	
      166	           88 	
      167	           93 	
      168	          102 	
      169	           94 	
      170	          108 	
      171	          112 	
      172	          108 	
      173	           95 	
      174	          113 	
      175	           98 	
      176	          101 	
      177	           87 	
      178	          102 	
      179	          112 	
      180	          113 	
      181	          111 	
      182	           99 	
      183	          111 	
      184	          101 	
      185	           84 	
      186	          117 	
      187	          107 	
      188	          115 	
      189	           99 	
