Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	14:30:05
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           86 	
        2	          128 	
        3	           99 	
        4	          104 	
        5	           75 	
        6	          102 	
        7	          100 	
        8	          101 	
        9	          102 	
       10	          121 	
       11	          103 	
       12	           80 	
       13	           82 	
       14	          102 	
       15	           94 	
       16	           80 	
       17	           92 	
       18	           90 	
       19	          100 	
       20	           69 	
       21	           95 	
       22	           94 	
       23	           86 	
       24	           82 	
       25	           95 	
       26	           70 	
       27	          104 	
       28	          104 	
       29	          110 	
       30	           90 	
       31	           98 	
       32	           98 	
       33	           82 	
       34	          108 	
       35	          114 	
       36	          100 	
       37	           82 	
       38	           83 	
       39	           91 	
       40	           67 	
       41	           92 	
       42	           94 	
       43	          101 	
       44	           95 	
       45	          118 	
       46	           92 	
       47	          110 	
       48	           90 	
       49	           97 	
       50	          117 	
       51	           91 	
       52	           81 	
       53	           78 	
       54	           70 	
       55	           94 	
       56	          103 	
       57	           97 	
       58	          107 	
       59	          101 	
       60	           93 	
       61	           88 	
       62	           87 	
       63	           82 	
       64	           95 	
       65	           91 	
       66	           98 	
       67	           90 	
       68	           93 	
       69	           75 	
       70	          100 	
       71	           97 	
       72	          104 	
       73	           82 	
       74	           85 	
       75	           94 	
       76	           83 	
       77	          101 	
       78	           76 	
       79	           84 	
       80	           93 	
       81	           86 	
       82	           90 	
       83	          107 	
       84	           91 	
       85	           97 	
       86	           89 	
       87	           89 	
       88	          103 	
       89	          100 	
       90	           85 	
       91	           90 	
       92	          114 	
       93	           95 	
       94	          104 	
       95	           93 	
       96	           98 	
       97	           80 	
       98	           92 	
       99	          105 	
      100	           96 	
      101	           93 	
      102	           81 	
      103	           93 	
      104	           77 	
      105	           92 	
      106	           87 	
      107	           91 	
      108	          104 	
      109	           90 	
      110	           75 	
      111	           89 	
      112	           92 	
      113	           84 	
      114	           97 	
      115	          101 	
      116	           86 	
      117	           96 	
      118	           85 	
      119	           93 	
      120	           87 	
      121	           98 	
      122	           88 	
      123	          103 	
      124	           88 	
      125	           95 	
      126	          115 	
      127	           91 	
      128	           93 	
      129	          105 	
      130	          100 	
      131	           70 	
      132	           86 	
      133	           81 	
      134	          104 	
      135	           84 	
      136	           90 	
      137	           80 	
      138	           80 	
      139	           83 	
      140	           91 	
      141	          100 	
      142	           89 	
      143	           94 	
      144	           94 	
      145	           95 	
      146	          100 	
      147	           80 	
      148	           91 	
      149	           73 	
      150	          102 	
      151	           80 	
      152	          100 	
      153	           95 	
      154	           96 	
      155	           98 	
      156	           83 	
      157	           85 	
      158	          104 	
      159	          100 	
      160	           82 	
      161	           99 	
      162	           97 	
      163	          116 	
      164	           93 	
      165	          126 	
      166	           97 	
      167	           92 	
      168	           92 	
      169	          100 	
      170	           82 	
      171	           75 	
      172	          110 	
      173	          101 	
      174	          100 	
      175	          100 	
      176	          117 	
      177	           79 	
      178	           71 	
      179	           87 	
      180	           91 	
      181	           97 	
      182	           98 	
      183	          104 	
      184	           93 	
      185	           92 	
      186	           89 	
      187	          107 	
      188	          102 	
      189	           98 	
      190	          108 	
      191	           95 	
      192	           93 	
      193	           93 	
      194	           95 	
      195	           67 	
      196	           87 	
      197	           93 	
      198	           85 	
      199	           81 	
      200	           99 	
      201	          100 	
      202	          120 	
      203	           76 	
      204	          101 	
      205	           92 	
      206	           86 	
      207	           98 	
      208	           92 	
      209	           90 	
      210	           85 	
      211	           95 	
      212	          108 	
      213	          101 	
      214	           95 	
      215	          104 	
      216	          111 	
      217	           98 	
      218	           84 	
      219	          115 	
      220	          104 	
      221	           82 	
      222	           77 	
      223	           87 	
      224	          105 	
      225	          108 	
      226	          101 	
      227	          100 	
      228	          105 	
      229	          101 	
      230	           92 	
      231	           89 	
      232	          104 	
      233	           94 	
      234	           77 	
      235	           87 	
      236	           83 	
      237	           79 	
      238	           85 	
      239	           97 	
      240	           95 	
      241	           76 	
      242	           84 	
      243	          101 	
      244	           91 	
      245	           87 	
      246	           99 	
      247	           90 	
      248	           92 	
      249	          100 	
      250	          102 	
      251	           92 	
      252	           87 	
      253	           91 	
      254	          100 	
      255	           95 	
      256	          104 	
      257	           93 	
      258	           87 	
      259	           87 	
      260	           96 	
      261	          105 	
      262	           81 	
      263	           70 	
      264	           94 	
      265	          113 	
      266	           95 	
      267	           99 	
      268	          108 	
      269	           79 	
      270	          100 	
      271	           83 	
      272	           84 	
      273	           85 	
      274	           95 	
      275	          113 	
      276	           97 	
      277	           96 	
      278	           88 	
      279	           96 	
      280	           87 	
      281	           93 	
      282	           94 	
