Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	14:25:09
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          119 	
        2	          109 	
        3	          120 	
        4	          111 	
        5	          119 	
        6	          113 	
        7	          129 	
        8	          119 	
        9	          113 	
       10	          117 	
       11	          115 	
       12	          108 	
       13	          120 	
       14	          101 	
       15	          126 	
       16	          138 	
       17	          123 	
       18	          121 	
       19	          100 	
       20	          129 	
       21	          135 	
       22	          116 	
       23	          110 	
       24	          116 	
       25	          128 	
       26	          124 	
       27	          103 	
       28	          120 	
       29	          115 	
       30	          127 	
       31	          125 	
       32	          127 	
       33	           99 	
       34	          121 	
       35	          110 	
       36	          120 	
       37	          129 	
       38	           91 	
       39	          130 	
       40	          118 	
       41	          101 	
       42	          106 	
       43	          115 	
       44	          104 	
       45	          112 	
       46	          109 	
       47	          103 	
       48	          150 	
       49	          135 	
       50	          126 	
       51	          124 	
       52	          121 	
       53	          137 	
       54	          114 	
       55	          123 	
       56	          129 	
       57	          119 	
       58	          120 	
       59	          124 	
       60	          120 	
       61	          119 	
       62	          109 	
       63	          134 	
       64	          105 	
       65	          126 	
       66	          131 	
       67	          119 	
       68	          125 	
       69	          135 	
       70	          115 	
       71	          113 	
       72	          133 	
       73	          128 	
       74	          117 	
       75	          126 	
       76	          112 	
       77	          115 	
       78	          117 	
       79	          110 	
       80	          134 	
       81	          106 	
       82	          128 	
       83	          111 	
       84	          119 	
       85	          129 	
       86	          127 	
       87	          114 	
       88	          136 	
       89	          120 	
       90	          131 	
       91	          107 	
       92	          126 	
       93	          122 	
       94	          112 	
       95	          121 	
       96	           99 	
       97	          111 	
       98	          149 	
       99	          143 	
      100	          128 	
      101	          124 	
      102	          106 	
      103	          127 	
      104	          107 	
      105	          118 	
      106	          101 	
      107	          111 	
      108	          120 	
      109	          125 	
      110	          113 	
      111	          111 	
      112	          145 	
      113	          123 	
      114	          121 	
      115	          129 	
      116	          118 	
      117	          121 	
      118	          117 	
      119	          129 	
      120	          135 	
      121	          134 	
      122	          111 	
      123	          118 	
      124	          133 	
      125	          118 	
      126	          103 	
      127	          114 	
      128	          127 	
      129	          107 	
      130	          120 	
      131	          149 	
      132	          146 	
      133	          110 	
      134	          121 	
      135	          123 	
      136	          122 	
      137	          133 	
      138	          116 	
      139	          116 	
      140	          124 	
      141	          145 	
      142	          149 	
      143	          114 	
      144	          129 	
      145	          105 	
      146	          123 	
      147	          116 	
      148	          100 	
      149	          118 	
      150	          115 	
      151	          129 	
      152	          121 	
      153	          121 	
      154	          111 	
      155	          127 	
      156	          133 	
      157	          116 	
      158	          115 	
      159	          110 	
      160	          121 	
      161	          118 	
      162	          105 	
      163	          122 	
      164	          101 	
      165	          124 	
      166	          144 	
      167	          125 	
      168	          117 	
      169	          118 	
      170	          138 	
      171	          116 	
      172	          123 	
      173	          136 	
      174	          124 	
      175	          108 	
      176	          116 	
      177	          150 	
      178	          120 	
      179	          105 	
      180	          123 	
      181	          120 	
      182	          119 	
      183	          124 	
      184	          127 	
      185	          124 	
      186	          108 	
      187	          115 	
      188	          106 	
      189	          114 	
      190	          141 	
      191	          125 	
      192	          114 	
      193	          119 	
      194	          129 	
      195	          114 	
      196	          123 	
      197	          113 	
      198	           91 	
      199	          122 	
      200	          122 	
      201	          129 	
      202	          119 	
      203	          123 	
      204	          137 	
      205	          117 	
      206	          107 	
      207	          118 	
      208	          122 	
      209	          113 	
      210	          135 	
      211	          127 	
      212	          128 	
      213	          114 	
      214	          118 	
      215	          120 	
      216	          106 	
      217	          113 	
      218	          106 	
      219	           99 	
      220	          126 	
      221	          139 	
      222	          118 	
      223	          115 	
      224	          110 	
      225	          109 	
      226	          107 	
      227	          105 	
      228	          104 	
      229	          110 	
      230	          128 	
      231	          115 	
      232	          120 	
      233	          123 	
      234	          102 	
      235	          127 	
      236	          127 	
      237	          127 	
      238	          126 	
      239	          117 	
      240	          118 	
      241	          109 	
      242	          126 	
      243	          132 	
      244	          135 	
      245	          121 	
      246	          126 	
      247	          100 	
      248	          139 	
      249	          128 	
      250	          135 	
      251	          140 	
      252	          138 	
      253	          113 	
      254	          103 	
      255	          128 	
      256	          128 	
      257	          118 	
      258	          114 	
      259	          114 	
      260	          125 	
      261	          123 	
      262	          120 	
      263	          140 	
      264	           99 	
      265	          121 	
      266	          126 	
      267	          113 	
      268	          119 	
      269	          115 	
      270	          103 	
      271	          123 	
      272	          111 	
      273	          127 	
      274	          143 	
      275	          137 	
      276	          129 	
      277	          132 	
      278	          112 	
      279	          110 	
      280	          115 	
      281	          119 	
      282	          137 	
      283	          116 	
      284	          138 	
      285	          129 	
      286	          125 	
      287	          126 	
      288	          112 	
      289	          126 	
      290	          124 	
      291	          109 	
      292	          110 	
      293	          127 	
      294	          129 	
      295	          107 	
      296	          122 	
      297	          146 	
      298	          137 	
      299	          127 	
      300	          119 	
      301	          120 	
      302	          132 	
      303	          123 	
      304	          136 	
      305	          114 	
      306	          126 	
      307	          126 	
      308	          125 	
      309	          126 	
      310	          113 	
      311	          118 	
      312	          112 	
      313	          120 	
      314	          119 	
      315	          127 	
      316	          109 	
      317	          130 	
      318	          143 	
      319	          107 	
      320	           88 	
      321	          119 	
      322	          135 	
      323	          127 	
      324	          111 	
      325	          107 	
      326	          120 	
      327	          117 	
      328	          118 	
      329	          121 	
      330	          121 	
      331	          133 	
      332	          101 	
      333	          113 	
      334	          116 	
      335	          123 	
      336	           98 	
      337	          111 	
      338	          113 	
      339	          124 	
      340	          137 	
      341	          109 	
      342	          128 	
      343	          108 	
      344	           98 	
      345	          111 	
      346	          132 	
      347	          135 	
      348	          124 	
      349	          130 	
      350	          115 	
      351	          102 	
      352	          129 	
      353	          109 	
      354	          109 	
      355	          139 	
      356	          112 	
      357	          106 	
      358	          120 	
      359	          123 	
      360	          124 	
      361	          110 	
      362	          134 	
      363	          118 	
      364	          119 	
      365	          108 	
      366	          121 	
      367	          130 	
      368	          117 	
      369	          120 	
      370	           98 	
      371	          108 	
      372	          127 	
      373	          127 	
