Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	12:57:32
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          210 	
        2	          213 	
        3	          218 	
        4	          154 	
        5	          194 	
        6	          181 	
        7	          214 	
        8	          173 	
        9	          200 	
       10	          168 	
       11	          200 	
       12	          173 	
       13	          177 	
       14	          183 	
       15	          218 	
       16	          198 	
       17	          178 	
       18	          175 	
       19	          168 	
       20	          195 	
       21	          218 	
       22	          178 	
       23	          180 	
       24	          209 	
       25	          154 	
       26	          194 	
       27	          170 	
       28	          213 	
       29	          173 	
       30	          220 	
       31	          216 	
       32	          189 	
       33	          204 	
       34	          194 	
       35	          201 	
       36	          190 	
       37	          198 	
       38	          204 	
       39	          193 	
       40	          189 	
       41	          182 	
       42	          197 	
       43	          201 	
       44	          200 	
       45	          192 	
       46	          219 	
       47	          180 	
       48	          192 	
       49	          190 	
       50	          201 	
       51	          194 	
       52	          187 	
       53	          181 	
       54	          206 	
       55	          193 	
       56	          201 	
       57	          207 	
       58	          160 	
       59	          208 	
       60	          175 	
       61	          195 	
       62	          189 	
       63	          185 	
       64	          192 	
       65	          188 	
       66	          207 	
       67	          197 	
       68	          198 	
       69	          205 	
       70	          176 	
       71	          199 	
       72	          176 	
       73	          182 	
       74	          189 	
       75	          169 	
       76	          162 	
       77	          179 	
       78	          196 	
       79	          194 	
       80	          190 	
       81	          191 	
       82	          185 	
       83	          220 	
       84	          222 	
       85	          179 	
       86	          188 	
       87	          214 	
       88	          222 	
       89	          183 	
       90	          197 	
       91	          213 	
       92	          197 	
       93	          173 	
       94	          217 	
       95	          189 	
       96	          202 	
       97	          222 	
       98	          187 	
       99	          186 	
      100	          187 	
      101	          187 	
      102	          188 	
      103	          215 	
      104	          181 	
      105	          218 	
      106	          185 	
      107	          180 	
      108	          197 	
      109	          192 	
      110	          198 	
      111	          180 	
      112	          195 	
      113	          177 	
      114	          180 	
      115	          179 	
      116	          201 	
      117	          225 	
      118	          185 	
      119	          161 	
      120	          161 	
      121	          201 	
      122	          179 	
      123	          193 	
      124	          207 	
      125	          179 	
      126	          179 	
      127	          217 	
      128	          200 	
      129	          184 	
      130	          184 	
      131	          180 	
      132	          216 	
      133	          218 	
      134	          180 	
      135	          205 	
      136	          186 	
      137	          181 	
      138	          191 	
      139	          196 	
      140	          183 	
      141	          205 	
      142	          198 	
      143	          215 	
      144	          169 	
      145	          191 	
      146	          220 	
      147	          176 	
      148	          199 	
      149	          197 	
      150	          187 	
      151	          200 	
      152	          210 	
      153	          193 	
      154	          188 	
      155	          179 	
      156	          186 	
      157	          201 	
      158	          197 	
      159	          201 	
      160	          220 	
      161	          208 	
      162	          209 	
      163	          180 	
      164	          201 	
      165	          211 	
