Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	13:10:50
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          311 	
        2	          307 	
        3	          286 	
        4	          303 	
        5	          274 	
        6	          296 	
        7	          273 	
        8	          314 	
        9	          287 	
       10	          306 	
       11	          309 	
       12	          315 	
       13	          289 	
       14	          316 	
       15	          268 	
       16	          305 	
       17	          316 	
       18	          311 	
       19	          307 	
       20	          303 	
       21	          341 	
       22	          315 	
       23	          334 	
       24	          311 	
       25	          291 	
       26	          296 	
       27	          290 	
       28	          299 	
       29	          287 	
       30	          286 	
       31	          290 	
       32	          317 	
       33	          319 	
       34	          304 	
       35	          305 	
       36	          290 	
       37	          321 	
       38	          335 	
       39	          288 	
       40	          290 	
       41	          290 	
       42	          318 	
       43	          299 	
       44	          303 	
       45	          326 	
       46	          296 	
       47	          320 	
       48	          328 	
       49	          297 	
       50	          284 	
       51	          327 	
       52	          311 	
       53	          309 	
       54	          289 	
       55	          325 	
       56	          313 	
       57	          286 	
       58	          307 	
       59	          323 	
       60	          312 	
       61	          330 	
       62	          294 	
       63	          310 	
       64	          283 	
       65	          332 	
       66	          280 	
       67	          312 	
       68	          309 	
       69	          318 	
       70	          311 	
       71	          313 	
       72	          306 	
       73	          321 	
       74	          296 	
       75	          299 	
       76	          345 	
       77	          315 	
       78	          315 	
       79	          299 	
       80	          314 	
       81	          310 	
       82	          301 	
       83	          272 	
       84	          298 	
       85	          303 	
       86	          326 	
       87	          316 	
       88	          337 	
       89	          305 	
       90	          323 	
       91	          359 	
       92	          274 	
       93	          310 	
       94	          323 	
       95	          334 	
       96	          276 	
       97	          288 	
       98	          297 	
       99	          312 	
      100	          292 	
      101	          296 	
      102	          343 	
      103	          332 	
      104	          329 	
      105	          283 	
      106	          304 	
      107	          345 	
      108	          297 	
      109	          313 	
      110	          271 	
      111	          311 	
      112	          292 	
      113	          313 	
      114	          315 	
      115	          286 	
      116	          314 	
      117	          318 	
      118	          302 	
      119	          309 	
      120	          282 	
      121	          316 	
      122	          308 	
      123	          315 	
      124	          297 	
      125	          310 	
      126	          346 	
      127	          288 	
      128	          305 	
      129	          334 	
      130	          344 	
      131	          299 	
      132	          286 	
      133	          309 	
      134	          294 	
      135	          294 	
      136	          280 	
      137	          295 	
      138	          291 	
      139	          362 	
      140	          304 	
      141	          342 	
      142	          308 	
      143	          321 	
      144	          305 	
      145	          317 	
      146	          287 	
      147	          272 	
      148	          300 	
      149	          315 	
      150	          312 	
      151	          299 	
      152	          294 	
      153	          283 	
      154	          277 	
      155	          324 	
      156	          292 	
      157	          320 	
      158	          316 	
      159	          320 	
      160	          281 	
      161	          309 	
      162	          328 	
      163	          306 	
      164	          290 	
      165	          314 	
      166	          296 	
      167	          291 	
      168	          293 	
      169	          303 	
      170	          295 	
      171	          303 	
      172	          326 	
      173	          302 	
      174	          293 	
      175	          321 	
      176	          292 	
      177	          301 	
      178	          313 	
      179	          274 	
      180	          309 	
      181	          298 	
      182	          318 	
      183	          288 	
      184	          300 	
      185	          328 	
      186	          294 	
      187	          294 	
      188	          279 	
      189	          311 	
      190	          292 	
      191	          307 	
      192	          328 	
      193	          286 	
      194	          315 	
      195	          309 	
      196	          332 	
      197	          299 	
      198	          355 	
      199	          318 	
      200	          312 	
      201	          314 	
      202	          293 	
      203	          306 	
      204	          307 	
      205	          277 	
      206	          300 	
      207	          329 	
      208	          300 	
      209	          317 	
      210	          306 	
      211	          298 	
      212	          325 	
      213	          302 	
      214	          291 	
      215	          305 	
      216	          299 	
      217	          287 	
      218	          285 	
      219	          320 	
      220	          302 	
      221	          301 	
      222	          282 	
      223	          285 	
      224	          302 	
      225	          309 	
      226	          294 	
      227	          309 	
      228	          322 	
      229	          303 	
      230	          290 	
      231	          302 	
      232	          285 	
      233	          297 	
      234	          286 	
      235	          322 	
      236	          294 	
      237	          302 	
      238	          326 	
      239	          329 	
      240	          299 	
      241	          334 	
      242	          323 	
      243	          324 	
      244	          323 	
      245	          291 	
      246	          335 	
      247	          307 	
      248	          288 	
      249	          329 	
      250	          324 	
      251	          268 	
      252	          325 	
      253	          300 	
      254	          325 	
      255	          294 	
      256	          322 	
      257	          302 	
      258	          267 	
      259	          282 	
      260	          310 	
      261	          311 	
      262	          309 	
      263	          280 	
      264	          294 	
      265	          276 	
      266	          294 	
      267	          308 	
      268	          312 	
      269	          285 	
      270	          307 	
      271	          283 	
      272	          259 	
      273	          319 	
      274	          311 	
      275	          312 	
      276	          315 	
      277	          285 	
      278	          294 	
      279	          292 	
      280	          295 	
      281	          337 	
      282	          302 	
      283	          254 	
      284	          307 	
      285	          300 	
      286	          318 	
      287	          323 	
      288	          311 	
      289	          324 	
      290	          308 	
      291	          255 	
      292	          316 	
      293	          291 	
      294	          293 	
      295	          277 	
      296	          320 	
      297	          345 	
      298	          299 	
      299	          274 	
      300	          312 	
      301	          308 	
      302	          288 	
      303	          291 	
      304	          328 	
      305	          292 	
      306	          305 	
      307	          300 	
      308	          314 	
      309	          279 	
      310	          324 	
      311	          330 	
      312	          304 	
      313	          281 	
      314	          304 	
      315	          298 	
      316	          311 	
      317	          306 	
      318	          308 	
      319	          306 	
      320	          331 	
      321	          348 	
      322	          291 	
      323	          328 	
      324	          295 	
      325	          287 	
      326	          312 	
      327	          310 	
      328	          308 	
      329	          274 	
      330	          283 	
      331	          320 	
      332	          312 	
      333	          294 	
      334	          279 	
      335	          320 	
      336	          318 	
      337	          301 	
      338	          314 	
