Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	13:00:26
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          336 	
        2	          367 	
        3	          422 	
        4	          343 	
        5	          351 	
        6	          362 	
        7	          371 	
        8	          386 	
        9	          371 	
       10	          385 	
       11	          368 	
       12	          339 	
       13	          397 	
       14	          375 	
       15	          396 	
       16	          374 	
       17	          401 	
       18	          386 	
       19	          417 	
       20	          363 	
       21	          367 	
       22	          349 	
       23	          365 	
       24	          365 	
       25	          358 	
       26	          356 	
       27	          382 	
       28	          369 	
       29	          348 	
       30	          368 	
       31	          367 	
       32	          380 	
       33	          365 	
       34	          396 	
       35	          401 	
       36	          389 	
       37	          359 	
       38	          388 	
       39	          389 	
       40	          363 	
       41	          418 	
       42	          404 	
       43	          388 	
       44	          366 	
       45	          385 	
       46	          368 	
       47	          374 	
       48	          352 	
       49	          393 	
       50	          389 	
       51	          404 	
       52	          375 	
       53	          407 	
       54	          389 	
       55	          396 	
       56	          391 	
       57	          400 	
       58	          396 	
       59	          348 	
       60	          346 	
       61	          387 	
       62	          378 	
       63	          376 	
       64	          375 	
       65	          396 	
       66	          408 	
       67	          358 	
       68	          406 	
       69	          368 	
       70	          367 	
       71	          396 	
       72	          360 	
       73	          355 	
       74	          386 	
       75	          345 	
       76	          371 	
       77	          362 	
       78	          407 	
       79	          344 	
       80	          363 	
       81	          414 	
       82	          440 	
       83	          363 	
       84	          390 	
       85	          377 	
       86	          383 	
       87	          410 	
       88	          394 	
       89	          364 	
       90	          352 	
       91	          378 	
       92	          360 	
       93	          401 	
       94	          404 	
       95	          409 	
       96	          391 	
       97	          383 	
       98	          376 	
       99	          379 	
      100	          393 	
      101	          357 	
      102	          403 	
      103	          389 	
      104	          384 	
      105	          401 	
      106	          391 	
      107	          381 	
      108	          361 	
      109	          389 	
      110	          368 	
      111	          420 	
      112	          361 	
      113	          378 	
      114	          383 	
      115	          417 	
      116	          381 	
      117	          390 	
      118	          353 	
      119	          371 	
      120	          415 	
      121	          406 	
      122	          401 	
      123	          357 	
      124	          365 	
      125	          390 	
      126	          387 	
      127	          385 	
      128	          353 	
      129	          357 	
      130	          386 	
      131	          352 	
      132	          402 	
      133	          386 	
      134	          395 	
      135	          350 	
      136	          417 	
      137	          416 	
      138	          381 	
      139	          358 	
      140	          379 	
      141	          366 	
      142	          412 	
      143	          394 	
      144	          371 	
      145	          375 	
      146	          385 	
      147	          372 	
      148	          407 	
      149	          377 	
      150	          371 	
      151	          401 	
      152	          408 	
      153	          380 	
      154	          384 	
      155	          376 	
      156	          391 	
      157	          425 	
      158	          358 	
      159	          393 	
      160	          403 	
      161	          385 	
      162	          380 	
      163	          391 	
      164	          382 	
      165	          382 	
      166	          351 	
      167	          365 	
      168	          333 	
      169	          412 	
      170	          388 	
      171	          377 	
      172	          393 	
      173	          365 	
      174	          360 	
      175	          375 	
      176	          372 	
      177	          416 	
      178	          404 	
      179	          389 	
      180	          371 	
      181	          355 	
      182	          372 	
      183	          411 	
      184	          379 	
      185	          377 	
      186	          372 	
      187	          374 	
      188	          399 	
      189	          377 	
      190	          409 	
      191	          370 	
      192	          367 	
      193	          385 	
      194	          418 	
      195	          377 	
      196	          385 	
      197	          379 	
      198	          384 	
      199	          378 	
      200	          409 	
      201	          374 	
      202	          343 	
      203	          369 	
      204	          360 	
      205	          362 	
      206	          398 	
      207	          363 	
      208	          330 	
      209	          368 	
      210	          377 	
      211	          387 	
      212	          395 	
      213	          445 	
      214	          359 	
      215	          346 	
      216	          368 	
      217	          369 	
      218	          377 	
      219	          379 	
      220	          404 	
      221	          396 	
      222	          362 	
      223	          393 	
      224	          401 	
      225	          356 	
      226	          365 	
      227	          353 	
      228	          392 	
      229	          392 	
      230	          369 	
      231	          370 	
      232	          395 	
      233	          400 	
      234	          368 	
      235	          360 	
      236	          393 	
      237	          370 	
      238	          406 	
      239	          417 	
      240	          334 	
      241	          383 	
      242	          394 	
      243	          351 	
      244	          367 	
      245	          394 	
      246	          368 	
      247	          365 	
      248	          343 	
      249	          389 	
      250	          392 	
      251	          403 	
      252	          346 	
      253	          367 	
      254	          371 	
      255	          404 	
      256	          381 	
      257	          397 	
      258	          364 	
      259	          357 	
      260	          412 	
      261	          344 	
      262	          389 	
      263	          378 	
      264	          357 	
      265	          347 	
      266	          393 	
      267	          354 	
      268	          373 	
      269	          369 	
      270	          359 	
      271	          404 	
      272	          359 	
      273	          357 	
      274	          409 	
      275	          365 	
      276	          364 	
      277	          395 	
      278	          410 	
      279	          386 	
      280	          387 	
      281	          360 	
      282	          356 	
      283	          384 	
      284	          426 	
      285	          367 	
      286	          377 	
      287	          380 	
      288	          388 	
      289	          401 	
      290	          389 	
      291	          357 	
      292	          367 	
      293	          385 	
      294	          390 	
      295	          378 	
      296	          384 	
      297	          395 	
      298	          394 	
      299	          394 	
      300	          383 	
      301	          375 	
      302	          385 	
      303	          398 	
      304	          369 	
      305	          412 	
      306	          385 	
      307	          393 	
      308	          385 	
      309	          382 	
      310	          367 	
      311	          404 	
      312	          384 	
      313	          359 	
      314	          386 	
      315	          360 	
      316	          384 	
      317	          336 	
      318	          379 	
      319	          372 	
      320	          345 	
      321	          392 	
      322	          375 	
