Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	15:11:58
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           33 	
        2	           40 	
        3	           33 	
        4	           37 	
        5	           44 	
        6	           51 	
        7	           45 	
        8	           24 	
        9	           42 	
       10	           33 	
       11	           39 	
       12	           42 	
       13	           35 	
       14	           43 	
       15	           43 	
       16	           45 	
       17	           28 	
       18	           25 	
       19	           34 	
       20	           42 	
       21	           44 	
       22	           41 	
       23	           49 	
       24	           55 	
       25	           41 	
       26	           43 	
       27	           33 	
       28	           32 	
       29	           28 	
       30	           43 	
       31	           37 	
       32	           46 	
       33	           32 	
       34	           30 	
       35	           39 	
       36	           46 	
       37	           42 	
       38	           29 	
       39	           46 	
       40	           34 	
       41	           49 	
       42	           47 	
       43	           41 	
       44	           41 	
       45	           35 	
       46	           42 	
       47	           43 	
       48	           36 	
       49	           51 	
       50	           30 	
       51	           46 	
       52	           42 	
       53	           46 	
       54	           32 	
       55	           51 	
       56	           38 	
       57	           45 	
       58	           41 	
       59	           34 	
       60	           36 	
       61	           43 	
       62	           44 	
       63	           37 	
       64	           31 	
       65	           42 	
       66	           41 	
       67	           50 	
       68	           51 	
       69	           51 	
       70	           35 	
       71	           36 	
       72	           38 	
       73	           36 	
       74	           35 	
       75	           38 	
       76	           32 	
       77	           35 	
       78	           42 	
       79	           46 	
       80	           47 	
       81	           45 	
       82	           42 	
       83	           49 	
       84	           35 	
       85	           47 	
       86	           47 	
       87	           42 	
       88	           34 	
       89	           45 	
       90	           48 	
       91	           38 	
       92	           55 	
       93	           33 	
       94	           38 	
       95	           38 	
       96	           47 	
       97	           42 	
       98	           40 	
       99	           47 	
      100	           38 	
      101	           48 	
      102	           34 	
      103	           37 	
      104	           51 	
      105	           37 	
      106	           38 	
      107	           40 	
      108	           44 	
      109	           45 	
      110	           35 	
      111	           53 	
      112	           47 	
      113	           37 	
      114	           33 	
      115	           32 	
      116	           39 	
      117	           31 	
      118	           41 	
      119	           17 	
      120	           31 	
      121	           39 	
      122	           34 	
      123	           43 	
      124	           44 	
      125	           33 	
      126	           41 	
      127	           46 	
      128	           26 	
      129	           47 	
      130	           41 	
      131	           36 	
      132	           31 	
      133	           53 	
      134	           45 	
      135	           35 	
      136	           43 	
      137	           38 	
      138	           42 	
      139	           42 	
      140	           28 	
      141	           49 	
      142	           34 	
      143	           39 	
      144	           32 	
      145	           46 	
      146	           44 	
      147	           44 	
      148	           42 	
      149	           42 	
      150	           39 	
      151	           32 	
      152	           35 	
      153	           39 	
      154	           33 	
      155	           36 	
      156	           43 	
      157	           37 	
      158	           52 	
      159	           31 	
      160	           30 	
      161	           39 	
      162	           28 	
      163	           35 	
      164	           50 	
      165	           44 	
      166	           39 	
      167	           52 	
      168	           37 	
      169	           35 	
      170	           36 	
      171	           29 	
      172	           45 	
      173	           32 	
      174	           41 	
      175	           36 	
      176	           35 	
      177	           35 	
      178	           37 	
      179	           52 	
      180	           27 	
      181	           42 	
      182	           39 	
      183	           44 	
      184	           37 	
      185	           33 	
      186	           36 	
      187	           34 	
      188	           27 	
      189	           37 	
      190	           36 	
      191	           39 	
      192	           46 	
      193	           43 	
      194	           27 	
      195	           44 	
      196	           42 	
      197	           34 	
      198	           38 	
      199	           28 	
      200	           37 	
      201	           35 	
      202	           40 	
      203	           39 	
      204	           38 	
      205	           35 	
      206	           52 	
      207	           32 	
      208	           36 	
      209	           44 	
      210	           34 	
      211	           33 	
      212	           28 	
      213	           40 	
      214	           38 	
      215	           46 	
      216	           30 	
      217	           40 	
      218	           35 	
      219	           38 	
      220	           48 	
      221	           34 	
      222	           38 	
      223	           35 	
      224	           29 	
      225	           30 	
      226	           32 	
      227	           43 	
      228	           39 	
      229	           43 	
      230	           30 	
      231	           33 	
      232	           23 	
      233	           36 	
      234	           39 	
      235	           25 	
      236	           44 	
      237	           41 	
      238	           40 	
      239	           46 	
      240	           43 	
      241	           51 	
      242	           35 	
      243	           33 	
      244	           46 	
      245	           51 	
      246	           33 	
      247	           35 	
      248	           47 	
      249	           30 	
      250	           43 	
      251	           29 	
      252	           44 	
      253	           35 	
      254	           34 	
      255	           32 	
      256	           45 	
      257	           34 	
      258	           40 	
      259	           35 	
      260	           51 	
      261	           42 	
      262	           34 	
      263	           32 	
      264	           35 	
      265	           36 	
      266	           32 	
      267	           38 	
      268	           41 	
      269	           37 	
      270	           30 	
      271	           44 	
      272	           36 	
      273	           39 	
      274	           38 	
      275	           41 	
      276	           36 	
      277	           39 	
      278	           49 	
      279	           29 	
      280	           40 	
      281	           34 	
      282	           28 	
      283	           34 	
      284	           55 	
      285	           60 	
      286	           45 	
      287	           38 	
      288	           36 	
      289	           29 	
      290	           38 	
      291	           33 	
      292	           36 	
      293	           29 	
      294	           41 	
      295	           47 	
      296	           37 	
      297	           45 	
      298	           33 	
      299	           48 	
      300	           43 	
      301	           36 	
      302	           40 	
      303	           27 	
      304	           42 	
      305	           46 	
      306	           35 	
      307	           46 	
      308	           32 	
      309	           45 	
      310	           40 	
      311	           32 	
      312	           35 	
      313	           43 	
      314	           36 	
      315	           43 	
      316	           40 	
      317	           32 	
      318	           37 	
      319	           36 	
      320	           29 	
      321	           30 	
      322	           36 	
      323	           52 	
      324	           35 	
      325	           45 	
      326	           30 	
      327	           52 	
      328	           36 	
      329	           45 	
      330	           35 	
      331	           22 	
      332	           37 	
      333	           29 	
      334	           44 	
      335	           37 	
      336	           33 	
      337	           31 	
      338	           34 	
      339	           30 	
      340	           35 	
      341	           48 	
      342	           37 	
      343	           25 	
      344	           46 	
      345	           34 	
      346	           26 	
      347	           33 	
      348	           37 	
      349	           27 	
      350	           33 	
      351	           44 	
      352	           41 	
      353	           47 	
      354	           34 	
      355	           43 	
      356	           41 	
      357	           43 	
      358	           52 	
      359	           39 	
      360	           34 	
      361	           40 	
      362	           39 	
      363	           35 	
      364	           36 	
      365	           43 	
      366	           43 	
      367	           28 	
      368	           45 	
      369	           44 	
      370	           38 	
      371	           34 	
      372	           30 	
      373	           47 	
      374	           30 	
      375	           40 	
      376	           33 	
      377	           44 	
      378	           51 	
      379	           46 	
      380	           33 	
      381	           34 	
      382	           38 	
      383	           35 	
      384	           28 	
      385	           29 	
      386	           45 	
      387	           42 	
      388	           32 	
      389	           32 	
      390	           31 	
      391	           45 	
      392	           36 	
      393	           31 	
      394	           34 	
      395	           39 	
      396	           33 	
      397	           44 	
      398	           45 	
      399	           34 	
      400	           35 	
      401	           37 	
      402	           27 	
      403	           41 	
      404	           33 	
      405	           50 	
      406	           37 	
      407	           47 	
      408	           36 	
      409	           35 	
      410	           41 	
      411	           30 	
      412	           40 	
      413	           49 	
      414	           44 	
      415	           46 	
      416	           31 	
      417	           32 	
      418	           35 	
      419	           33 	
      420	           45 	
      421	           38 	
      422	           37 	
      423	           41 	
      424	           41 	
      425	           43 	
      426	           29 	
      427	           39 	
      428	           44 	
      429	           46 	
      430	           34 	
      431	           47 	
      432	           33 	
      433	           46 	
      434	           41 	
      435	           37 	
      436	           48 	
      437	           36 	
      438	           59 	
      439	           39 	
      440	           30 	
      441	           37 	
      442	           29 	
      443	           43 	
      444	           37 	
      445	           36 	
      446	           28 	
      447	           25 	
      448	           30 	
      449	           37 	
      450	           52 	
      451	           28 	
      452	           41 	
      453	           41 	
      454	           27 	
      455	           31 	
      456	           43 	
      457	           34 	
      458	           31 	
      459	           30 	
      460	           31 	
      461	           31 	
      462	           36 	
      463	           44 	
      464	           43 	
      465	           42 	
      466	           38 	
      467	           43 	
      468	           48 	
      469	           34 	
      470	           36 	
      471	           34 	
      472	           29 	
      473	           38 	
      474	           39 	
      475	           42 	
      476	           32 	
      477	           47 	
      478	           32 	
      479	           36 	
      480	           40 	
      481	           33 	
      482	           39 	
      483	           48 	
      484	           47 	
      485	           42 	
      486	           48 	
      487	           41 	
      488	           29 	
      489	           41 	
      490	           37 	
      491	           41 	
      492	           31 	
      493	           36 	
      494	           46 	
      495	           41 	
      496	           36 	
      497	           46 	
      498	           33 	
      499	           40 	
      500	           39 	
      501	           33 	
      502	           26 	
      503	           36 	
      504	           36 	
