Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	13:57:16
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            6 	
        2	            5 	
        3	            4 	
        4	           11 	
        5	            5 	
        6	            5 	
        7	            5 	
        8	           11 	
        9	            6 	
       10	           10 	
       11	            6 	
       12	           10 	
       13	            9 	
       14	           11 	
       15	           10 	
       16	            7 	
       17	            6 	
       18	            9 	
       19	            3 	
       20	           14 	
       21	           10 	
       22	            8 	
       23	            6 	
       24	           12 	
       25	            7 	
       26	           10 	
       27	            5 	
       28	            5 	
       29	           11 	
       30	            9 	
       31	            6 	
       32	            7 	
       33	            6 	
       34	            9 	
       35	            9 	
       36	            3 	
       37	            2 	
       38	            6 	
       39	            8 	
       40	            4 	
       41	            5 	
       42	           10 	
       43	            2 	
       44	            8 	
       45	            3 	
       46	            7 	
       47	            9 	
       48	            8 	
       49	            9 	
       50	            2 	
       51	            6 	
       52	            9 	
       53	            5 	
       54	            4 	
       55	            7 	
       56	            4 	
       57	            4 	
       58	           10 	
       59	            7 	
       60	            6 	
       61	            6 	
       62	            3 	
       63	            5 	
       64	            5 	
       65	            8 	
       66	            6 	
       67	            6 	
       68	            7 	
       69	            4 	
       70	            7 	
       71	            6 	
       72	            8 	
       73	            4 	
       74	            9 	
       75	           12 	
       76	            7 	
       77	           11 	
       78	            9 	
       79	            7 	
       80	            9 	
       81	           10 	
       82	            7 	
       83	            5 	
       84	            5 	
       85	            7 	
       86	            5 	
       87	            6 	
       88	            4 	
       89	            6 	
       90	            5 	
       91	            4 	
       92	            3 	
       93	           10 	
       94	            7 	
       95	           10 	
       96	            5 	
       97	           10 	
       98	            7 	
       99	            5 	
      100	            9 	
      101	            3 	
      102	            9 	
      103	            9 	
      104	            5 	
      105	            8 	
      106	            6 	
      107	            6 	
      108	           10 	
      109	            8 	
      110	            8 	
      111	            6 	
      112	            9 	
      113	           10 	
      114	           10 	
      115	            2 	
      116	            6 	
      117	            5 	
      118	           14 	
      119	            9 	
      120	            6 	
      121	            4 	
      122	            6 	
      123	           11 	
      124	            7 	
      125	            7 	
      126	            3 	
      127	            9 	
      128	            5 	
      129	            1 	
      130	            3 	
      131	           12 	
      132	            6 	
      133	            3 	
      134	            7 	
      135	            7 	
      136	            5 	
      137	            5 	
      138	           10 	
      139	            4 	
      140	            6 	
      141	           10 	
      142	           10 	
      143	            4 	
      144	            6 	
      145	            7 	
      146	            8 	
      147	           11 	
      148	            5 	
      149	            6 	
      150	            8 	
      151	            4 	
      152	            6 	
      153	            5 	
      154	            6 	
      155	            6 	
      156	            9 	
      157	            5 	
      158	            7 	
      159	            6 	
      160	           13 	
      161	            9 	
      162	            4 	
      163	            3 	
      164	            8 	
      165	            8 	
      166	            6 	
      167	           10 	
      168	            5 	
      169	            5 	
      170	            3 	
      171	            6 	
      172	            6 	
      173	            5 	
      174	            4 	
      175	           19 	
      176	            8 	
      177	            6 	
      178	            9 	
      179	            4 	
      180	           14 	
      181	            8 	
      182	            6 	
      183	            6 	
      184	            8 	
      185	            6 	
      186	            1 	
      187	            5 	
      188	            6 	
      189	            7 	
      190	            7 	
      191	            5 	
      192	            5 	
      193	            7 	
      194	            4 	
      195	            6 	
      196	            6 	
      197	            9 	
      198	            6 	
      199	           11 	
      200	            2 	
      201	            2 	
      202	            7 	
      203	           15 	
      204	            7 	
      205	           10 	
      206	            8 	
      207	            8 	
      208	            8 	
      209	            5 	
      210	            5 	
      211	           12 	
      212	           14 	
      213	            3 	
      214	           12 	
      215	            5 	
      216	            6 	
      217	            4 	
      218	            5 	
      219	            7 	
      220	            7 	
      221	            8 	
      222	           11 	
      223	           11 	
      224	           10 	
      225	            6 	
      226	            8 	
      227	            7 	
      228	            9 	
      229	            8 	
      230	            7 	
      231	           10 	
      232	            7 	
      233	            6 	
      234	            8 	
      235	            7 	
      236	           12 	
      237	            8 	
      238	            2 	
      239	            7 	
      240	            4 	
      241	            5 	
      242	           12 	
      243	            9 	
      244	            4 	
      245	            2 	
      246	            4 	
      247	            5 	
      248	            8 	
      249	            6 	
      250	            8 	
      251	            3 	
      252	            9 	
      253	            4 	
      254	            4 	
      255	           10 	
      256	           10 	
      257	            6 	
      258	            6 	
      259	            6 	
      260	            5 	
      261	            4 	
      262	            9 	
      263	            7 	
      264	            9 	
      265	            7 	
      266	            2 	
      267	            8 	
      268	            7 	
      269	            5 	
      270	            7 	
      271	            7 	
      272	            6 	
      273	            9 	
      274	            8 	
      275	            8 	
      276	           11 	
      277	            9 	
      278	           11 	
      279	            7 	
      280	            7 	
      281	            4 	
      282	            4 	
      283	            5 	
      284	            5 	
      285	            7 	
      286	           12 	
      287	            7 	
      288	            6 	
      289	            7 	
      290	           10 	
      291	           10 	
      292	            9 	
      293	            7 	
      294	            7 	
      295	            1 	
      296	            5 	
      297	            4 	
      298	            8 	
      299	            3 	
      300	            6 	
      301	            5 	
      302	            6 	
      303	            6 	
      304	            7 	
      305	            9 	
      306	            7 	
      307	            8 	
      308	            8 	
      309	            6 	
      310	           11 	
      311	            9 	
      312	            7 	
      313	            3 	
      314	            4 	
      315	            8 	
      316	            7 	
      317	            5 	
      318	           15 	
      319	            7 	
      320	            7 	
      321	            7 	
      322	            8 	
      323	            8 	
      324	            7 	
      325	            5 	
      326	            8 	
      327	            9 	
      328	            2 	
      329	            7 	
      330	            5 	
      331	            5 	
      332	            9 	
      333	            9 	
      334	            8 	
      335	            8 	
      336	            8 	
      337	            7 	
      338	            6 	
      339	            6 	
      340	            7 	
      341	            7 	
      342	            6 	
      343	            8 	
      344	            6 	
      345	            8 	
      346	            6 	
      347	           12 	
      348	            8 	
      349	            8 	
      350	            5 	
      351	            7 	
      352	           10 	
      353	            4 	
      354	            6 	
      355	            4 	
      356	            7 	
      357	           14 	
      358	            8 	
      359	           11 	
      360	            8 	
      361	            5 	
      362	            9 	
      363	            3 	
      364	            4 	
      365	            4 	
      366	            6 	
      367	            8 	
      368	            8 	
      369	           11 	
      370	            3 	
      371	            7 	
      372	           12 	
      373	            6 	
      374	            7 	
      375	            9 	
      376	            7 	
      377	            7 	
      378	            8 	
      379	            8 	
      380	           11 	
      381	            9 	
      382	            8 	
      383	            4 	
      384	            8 	
      385	           13 	
      386	            2 	
      387	            5 	
      388	            4 	
      389	           11 	
      390	            7 	
      391	            6 	
      392	            8 	
      393	            7 	
      394	            9 	
      395	            3 	
      396	           10 	
      397	           10 	
      398	            8 	
      399	            5 	
      400	           11 	
      401	            6 	
      402	            6 	
      403	            5 	
      404	            7 	
      405	            2 	
      406	            8 	
      407	            5 	
      408	            7 	
      409	            9 	
      410	            4 	
      411	           10 	
      412	            7 	
      413	            9 	
      414	            5 	
      415	            4 	
      416	           13 	
      417	            7 	
      418	            7 	
      419	           10 	
      420	            9 	
      421	            7 	
      422	            6 	
      423	            5 	
      424	            6 	
      425	            8 	
      426	           11 	
      427	            2 	
      428	            7 	
      429	           12 	
      430	            5 	
      431	            7 	
      432	            6 	
      433	            4 	
      434	            6 	
      435	            7 	
      436	            8 	
      437	            5 	
      438	            9 	
      439	            6 	
      440	            6 	
      441	            9 	
      442	            1 	
      443	            5 	
      444	            8 	
      445	            8 	
      446	            8 	
      447	            5 	
      448	            4 	
      449	            6 	
      450	            8 	
      451	           10 	
      452	            4 	
      453	            6 	
      454	            5 	
      455	            5 	
      456	            1 	
      457	            7 	
      458	            4 	
      459	           12 	
      460	            8 	
      461	            3 	
      462	           14 	
      463	            3 	
      464	            4 	
      465	            8 	
      466	            5 	
      467	            6 	
      468	            9 	
      469	            7 	
      470	            8 	
      471	            4 	
      472	           10 	
      473	           10 	
      474	            6 	
      475	            3 	
      476	           11 	
      477	            7 	
      478	            9 	
      479	            4 	
      480	            7 	
      481	            9 	
      482	            8 	
      483	            8 	
      484	            9 	
      485	            4 	
      486	           11 	
      487	            8 	
      488	            6 	
      489	            8 	
      490	            5 	
      491	            5 	
      492	            4 	
      493	            2 	
      494	            5 	
      495	           10 	
      496	            9 	
      497	           11 	
      498	            8 	
      499	            9 	
      500	            7 	
      501	            6 	
      502	            6 	
      503	            4 	
      504	            6 	
