Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	14:06:10
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          280 	
        2	          273 	
        3	          257 	
        4	          262 	
        5	          279 	
        6	          257 	
        7	          284 	
        8	          289 	
        9	          291 	
       10	          271 	
       11	          259 	
       12	          297 	
       13	          284 	
       14	          274 	
       15	          264 	
       16	          260 	
       17	          272 	
       18	          240 	
       19	          270 	
       20	          261 	
       21	          284 	
       22	          262 	
       23	          270 	
       24	          302 	
       25	          264 	
       26	          292 	
       27	          298 	
       28	          268 	
       29	          259 	
       30	          271 	
       31	          303 	
       32	          259 	
       33	          271 	
       34	          258 	
       35	          269 	
       36	          267 	
       37	          266 	
       38	          310 	
       39	          266 	
       40	          276 	
       41	          284 	
       42	          264 	
       43	          282 	
       44	          254 	
       45	          286 	
       46	          258 	
       47	          278 	
       48	          287 	
       49	          259 	
       50	          272 	
       51	          269 	
       52	          270 	
       53	          277 	
       54	          252 	
       55	          297 	
       56	          261 	
       57	          283 	
       58	          273 	
       59	          262 	
       60	          261 	
       61	          274 	
       62	          282 	
       63	          255 	
       64	          279 	
       65	          317 	
       66	          269 	
       67	          273 	
       68	          257 	
       69	          250 	
       70	          271 	
       71	          252 	
       72	          259 	
       73	          266 	
       74	          279 	
       75	          228 	
       76	          265 	
       77	          278 	
       78	          285 	
       79	          260 	
       80	          256 	
       81	          262 	
       82	          248 	
       83	          241 	
       84	          263 	
       85	          259 	
       86	          257 	
       87	          239 	
       88	          269 	
       89	          261 	
       90	          268 	
       91	          271 	
       92	          278 	
       93	          216 	
       94	          276 	
       95	          265 	
       96	          279 	
       97	          260 	
       98	          287 	
       99	          263 	
      100	          280 	
      101	          301 	
      102	          260 	
      103	          238 	
      104	          254 	
      105	          288 	
      106	          271 	
      107	          272 	
      108	          282 	
      109	          233 	
      110	          274 	
      111	          281 	
      112	          262 	
      113	          271 	
      114	          277 	
      115	          270 	
      116	          259 	
      117	          258 	
      118	          280 	
      119	          279 	
      120	          305 	
      121	          274 	
      122	          271 	
      123	          276 	
      124	          271 	
      125	          270 	
      126	          266 	
      127	          281 	
      128	          282 	
      129	          235 	
      130	          254 	
      131	          279 	
      132	          295 	
      133	          287 	
      134	          272 	
      135	          269 	
      136	          280 	
      137	          280 	
      138	          272 	
      139	          297 	
      140	          277 	
      141	          257 	
      142	          270 	
      143	          270 	
      144	          280 	
      145	          274 	
      146	          233 	
      147	          272 	
      148	          286 	
      149	          260 	
      150	          249 	
      151	          286 	
      152	          272 	
      153	          295 	
      154	          299 	
      155	          265 	
      156	          288 	
      157	          284 	
      158	          311 	
      159	          257 	
      160	          277 	
      161	          272 	
      162	          264 	
      163	          288 	
      164	          296 	
      165	          279 	
      166	          265 	
      167	          258 	
      168	          290 	
      169	          271 	
      170	          277 	
      171	          272 	
      172	          280 	
      173	          285 	
      174	          259 	
      175	          289 	
      176	          285 	
      177	          285 	
      178	          255 	
      179	          251 	
      180	          263 	
      181	          271 	
      182	          253 	
      183	          310 	
      184	          312 	
      185	          243 	
      186	          277 	
      187	          259 	
      188	          275 	
      189	          255 	
      190	          286 	
      191	          286 	
      192	          265 	
      193	          266 	
      194	          302 	
      195	          280 	
      196	          276 	
      197	          284 	
      198	          290 	
      199	          270 	
      200	          246 	
      201	          270 	
      202	          281 	
      203	          250 	
      204	          251 	
      205	          290 	
      206	          293 	
      207	          287 	
      208	          260 	
      209	          243 	
      210	          256 	
      211	          283 	
      212	          289 	
      213	          249 	
      214	          280 	
      215	          263 	
      216	          274 	
      217	          272 	
      218	          274 	
      219	          287 	
      220	          291 	
      221	          262 	
      222	          252 	
      223	          269 	
      224	          276 	
      225	          265 	
      226	          270 	
      227	          281 	
      228	          282 	
      229	          254 	
      230	          244 	
      231	          282 	
      232	          241 	
      233	          298 	
      234	          262 	
      235	          243 	
      236	          282 	
      237	          248 	
      238	          273 	
      239	          276 	
      240	          267 	
      241	          281 	
      242	          255 	
      243	          289 	
      244	          258 	
      245	          271 	
      246	          254 	
      247	          297 	
      248	          243 	
      249	          240 	
      250	          266 	
      251	          233 	
      252	          274 	
      253	          291 	
      254	          272 	
      255	          294 	
      256	          288 	
      257	          272 	
      258	          267 	
      259	          265 	
      260	          255 	
      261	          250 	
      262	          237 	
      263	          300 	
      264	          248 	
      265	          249 	
      266	          275 	
      267	          255 	
      268	          244 	
      269	          294 	
      270	          286 	
      271	          260 	
      272	          289 	
      273	          262 	
      274	          294 	
      275	          288 	
      276	          239 	
      277	          252 	
      278	          251 	
      279	          249 	
      280	          275 	
      281	          273 	
      282	          275 	
      283	          275 	
      284	          274 	
      285	          284 	
      286	          292 	
      287	          283 	
      288	          259 	
      289	          251 	
      290	          274 	
      291	          307 	
      292	          269 	
      293	          245 	
      294	          297 	
      295	          287 	
      296	          274 	
      297	          285 	
      298	          289 	
      299	          273 	
      300	          267 	
      301	          263 	
      302	          284 	
      303	          274 	
      304	          306 	
      305	          260 	
      306	          309 	
