Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	14:04:43
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          307 	
        2	          334 	
        3	          334 	
        4	          337 	
        5	          314 	
        6	          313 	
        7	          332 	
        8	          324 	
        9	          326 	
       10	          336 	
       11	          315 	
       12	          295 	
       13	          347 	
       14	          338 	
       15	          341 	
       16	          331 	
       17	          344 	
       18	          310 	
       19	          330 	
       20	          330 	
       21	          348 	
       22	          304 	
       23	          350 	
       24	          341 	
       25	          335 	
       26	          320 	
       27	          340 	
       28	          347 	
       29	          344 	
       30	          307 	
       31	          330 	
       32	          295 	
       33	          329 	
       34	          305 	
       35	          358 	
       36	          285 	
       37	          340 	
       38	          336 	
       39	          328 	
       40	          394 	
       41	          375 	
       42	          323 	
       43	          326 	
       44	          339 	
       45	          335 	
       46	          334 	
       47	          328 	
       48	          323 	
       49	          353 	
       50	          309 	
       51	          328 	
       52	          314 	
       53	          319 	
       54	          337 	
       55	          307 	
       56	          353 	
       57	          332 	
       58	          318 	
       59	          312 	
       60	          320 	
       61	          312 	
       62	          329 	
       63	          307 	
       64	          326 	
       65	          335 	
       66	          313 	
       67	          319 	
       68	          307 	
       69	          311 	
       70	          370 	
       71	          313 	
       72	          324 	
       73	          321 	
       74	          333 	
       75	          326 	
       76	          351 	
       77	          368 	
       78	          317 	
       79	          329 	
       80	          334 	
       81	          290 	
       82	          308 	
       83	          333 	
       84	          336 	
       85	          332 	
       86	          299 	
       87	          317 	
       88	          343 	
       89	          311 	
       90	          364 	
