Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	13:59:13
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          548 	
        2	          593 	
        3	          538 	
        4	          501 	
        5	          579 	
        6	          555 	
        7	          582 	
        8	          541 	
        9	          588 	
       10	          538 	
       11	          543 	
       12	          543 	
       13	          537 	
       14	          550 	
       15	          535 	
       16	          555 	
       17	          542 	
       18	          580 	
       19	          552 	
       20	          581 	
       21	          581 	
       22	          511 	
       23	          580 	
       24	          577 	
       25	          526 	
       26	          575 	
       27	          529 	
       28	          551 	
       29	          524 	
       30	          600 	
       31	          544 	
       32	          524 	
       33	          595 	
       34	          574 	
       35	          552 	
       36	          537 	
       37	          600 	
       38	          557 	
       39	          563 	
       40	          508 	
       41	          512 	
       42	          563 	
       43	          490 	
       44	          571 	
       45	          557 	
       46	          556 	
       47	          531 	
       48	          531 	
       49	          567 	
       50	          525 	
       51	          566 	
       52	          562 	
       53	          571 	
       54	          500 	
       55	          523 	
       56	          563 	
       57	          538 	
       58	          557 	
       59	          583 	
       60	          555 	
       61	          520 	
       62	          597 	
       63	          583 	
       64	          569 	
       65	          567 	
       66	          535 	
       67	          517 	
       68	          563 	
       69	          583 	
       70	          515 	
       71	          533 	
       72	          591 	
       73	          555 	
       74	          559 	
       75	          543 	
       76	          546 	
       77	          557 	
       78	          530 	
       79	          542 	
       80	          549 	
       81	          556 	
       82	          569 	
       83	          556 	
       84	          520 	
       85	          552 	
       86	          554 	
       87	          552 	
       88	          535 	
       89	          506 	
       90	          518 	
       91	          516 	
       92	          536 	
       93	          564 	
       94	          517 	
       95	          560 	
       96	          555 	
       97	          536 	
       98	          553 	
       99	          556 	
      100	          550 	
      101	          569 	
      102	          609 	
      103	          548 	
      104	          559 	
      105	          560 	
      106	          559 	
      107	          515 	
      108	          558 	
      109	          549 	
      110	          501 	
      111	          592 	
      112	          554 	
      113	          545 	
      114	          576 	
      115	          564 	
      116	          568 	
      117	          554 	
      118	          601 	
      119	          570 	
      120	          560 	
      121	          558 	
      122	          540 	
      123	          548 	
      124	          549 	
      125	          554 	
      126	          524 	
      127	          547 	
      128	          543 	
      129	          572 	
      130	          521 	
      131	          588 	
      132	          533 	
      133	          563 	
      134	          566 	
      135	          574 	
      136	          546 	
      137	          571 	
      138	          541 	
      139	          549 	
      140	          523 	
      141	          588 	
      142	          610 	
      143	          598 	
      144	          606 	
      145	          558 	
      146	          597 	
      147	          551 	
      148	          552 	
      149	          579 	
      150	          586 	
      151	          602 	
      152	          513 	
      153	          534 	
      154	          548 	
      155	          544 	
      156	          581 	
      157	          547 	
      158	          541 	
      159	          517 	
      160	          465 	
      161	          581 	
      162	          542 	
      163	          533 	
      164	          559 	
      165	          537 	
      166	          575 	
      167	          557 	
      168	          564 	
      169	          560 	
      170	          578 	
      171	          514 	
      172	          554 	
      173	          532 	
      174	          567 	
      175	          534 	
      176	          591 	
      177	          592 	
      178	          622 	
      179	          544 	
      180	          560 	
      181	          578 	
      182	          535 	
      183	          594 	
      184	          554 	
      185	          543 	
      186	          559 	
      187	          561 	
      188	          552 	
      189	          557 	
      190	          543 	
      191	          563 	
      192	          556 	
      193	          554 	
      194	          564 	
      195	          575 	
      196	          597 	
      197	          575 	
      198	          551 	
      199	          572 	
      200	          521 	
      201	          569 	
      202	          591 	
      203	          577 	
      204	          524 	
      205	          578 	
      206	          577 	
      207	          516 	
      208	          580 	
      209	          551 	
      210	          533 	
      211	          543 	
      212	          561 	
      213	          573 	
      214	          546 	
      215	          616 	
      216	          548 	
      217	          553 	
      218	          546 	
      219	          557 	
      220	          515 	
      221	          549 	
      222	          586 	
      223	          552 	
      224	          553 	
      225	          537 	
      226	          552 	
      227	          541 	
      228	          580 	
      229	          560 	
      230	          565 	
      231	          561 	
      232	          609 	
      233	          495 	
      234	          543 	
      235	          550 	
      236	          568 	
      237	          579 	
      238	          580 	
      239	          563 	
      240	          562 	
      241	          556 	
      242	          563 	
      243	          516 	
      244	          609 	
      245	          578 	
      246	          583 	
      247	          526 	
      248	          559 	
      249	          556 	
      250	          536 	
      251	          552 	
      252	          571 	
      253	          570 	
      254	          556 	
      255	          546 	
      256	          564 	
      257	          571 	
      258	          558 	
      259	          574 	
      260	          581 	
      261	          584 	
      262	          574 	
      263	          556 	
      264	          548 	
      265	          556 	
      266	          562 	
      267	          571 	
      268	          551 	
      269	          519 	
      270	          549 	
      271	          566 	
      272	          578 	
      273	          552 	
      274	          545 	
      275	          516 	
      276	          576 	
      277	          577 	
      278	          598 	
      279	          553 	
      280	          578 	
      281	          528 	
      282	          568 	
      283	          554 	
      284	          545 	
      285	          555 	
      286	          567 	
      287	          575 	
      288	          531 	
      289	          600 	
      290	          534 	
      291	          593 	
      292	          546 	
      293	          515 	
      294	          549 	
      295	          521 	
      296	          573 	
      297	          530 	
      298	          545 	
      299	          607 	
      300	          567 	
      301	          547 	
      302	          536 	
      303	          520 	
      304	          555 	
      305	          491 	
      306	          533 	
      307	          545 	
      308	          538 	
      309	          571 	
      310	          545 	
      311	          567 	
      312	          550 	
      313	          531 	
      314	          545 	
      315	          562 	
      316	          544 	
      317	          536 	
      318	          511 	
      319	          520 	
      320	          546 	
      321	          582 	
      322	          570 	
      323	          524 	
      324	          580 	
      325	          586 	
      326	          572 	
      327	          532 	
      328	          555 	
      329	          509 	
      330	          523 	
      331	          553 	
      332	          519 	
      333	          527 	
      334	          560 	
      335	          554 	
      336	          548 	
      337	          581 	
      338	          513 	
      339	          601 	
      340	          526 	
      341	          536 	
      342	          512 	
      343	          571 	
      344	          499 	
      345	          537 	
      346	          576 	
      347	          578 	
      348	          569 	
      349	          569 	
      350	          591 	
      351	          512 	
      352	          550 	
      353	          532 	
      354	          565 	
      355	          581 	
      356	          529 	
      357	          553 	
      358	          530 	
      359	          551 	
      360	          517 	
      361	          527 	
      362	          555 	
      363	          574 	
      364	          539 	
      365	          576 	
      366	          540 	
      367	          564 	
      368	          532 	
      369	          558 	
      370	          572 	
      371	          508 	
      372	          556 	
      373	          551 	
      374	          590 	
      375	          524 	
      376	          550 	
      377	          526 	
      378	          580 	
      379	          588 	
      380	          571 	
      381	          564 	
      382	          542 	
      383	          574 	
      384	          547 	
      385	          546 	
      386	          588 	
      387	          584 	
      388	          545 	
      389	          530 	
      390	          625 	
      391	          552 	
      392	          512 	
      393	          511 	
      394	          595 	
      395	          599 	
      396	          581 	
      397	          562 	
      398	          578 	
      399	          537 	
      400	          527 	
      401	          524 	
      402	          522 	
      403	          594 	
      404	          547 	
      405	          514 	
      406	          545 	
      407	          530 	
      408	          568 	
      409	          560 	
      410	          553 	
      411	          562 	
      412	          536 	
      413	          528 	
      414	          553 	
      415	          533 	
      416	          556 	
      417	          563 	
      418	          585 	
      419	          593 	
      420	          567 	
      421	          603 	
      422	          523 	
      423	          542 	
      424	          568 	
      425	          564 	
      426	          569 	
      427	          551 	
      428	          590 	
      429	          561 	
      430	          552 	
      431	          608 	
      432	          542 	
      433	          555 	
      434	          532 	
      435	          571 	
      436	          543 	
      437	          588 	
      438	          547 	
      439	          567 	
      440	          551 	
      441	          535 	
      442	          552 	
      443	          564 	
      444	          541 	
      445	          569 	
      446	          562 	
      447	          586 	
      448	          555 	
      449	          554 	
      450	          552 	
      451	          548 	
      452	          560 	
      453	          542 	
      454	          596 	
      455	          551 	
      456	          603 	
      457	          572 	
      458	          535 	
      459	          562 	
      460	          576 	
      461	          566 	
      462	          519 	
      463	          533 	
      464	          552 	
      465	          502 	
      466	          564 	
      467	          544 	
      468	          567 	
      469	          566 	
      470	          574 	
      471	          605 	
      472	          567 	
      473	          543 	
      474	          549 	
      475	          520 	
      476	          559 	
      477	          574 	
      478	          583 	
      479	          536 	
      480	          565 	
      481	          570 	
      482	          566 	
      483	          579 	
      484	          573 	
      485	          552 	
      486	          507 	
      487	          532 	
      488	          535 	
      489	          565 	
      490	          550 	
      491	          536 	
      492	          537 	
      493	          527 	
      494	          552 	
      495	          550 	
      496	          552 	
      497	          555 	
      498	          567 	
      499	          552 	
      500	          557 	
      501	          582 	
      502	          557 	
      503	          528 	
      504	          555 	
      505	          553 	
      506	          602 	
      507	          527 	
      508	          546 	
      509	          573 	
