Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-27
Time (HH:MM:SS):	13:14:06
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           39 	
        2	           57 	
        3	           51 	
        4	           52 	
        5	           43 	
        6	           42 	
        7	           35 	
        8	           48 	
        9	           56 	
       10	           53 	
       11	           52 	
       12	           35 	
       13	           62 	
       14	           47 	
       15	           36 	
       16	           49 	
       17	           40 	
       18	           47 	
       19	           46 	
       20	           37 	
       21	           43 	
       22	           54 	
       23	           36 	
       24	           32 	
       25	           55 	
       26	           46 	
       27	           52 	
       28	           39 	
       29	           55 	
       30	           51 	
       31	           52 	
       32	           47 	
       33	           47 	
       34	           45 	
       35	           53 	
       36	           53 	
       37	           49 	
       38	           47 	
       39	           53 	
       40	           47 	
       41	           59 	
       42	           42 	
       43	           46 	
       44	           57 	
       45	           48 	
       46	           59 	
       47	           49 	
       48	           52 	
       49	           47 	
       50	           42 	
       51	           35 	
       52	           38 	
       53	           53 	
       54	           46 	
       55	           49 	
       56	           55 	
       57	           47 	
       58	           48 	
       59	           48 	
       60	           36 	
       61	           40 	
       62	           46 	
       63	           60 	
       64	           54 	
       65	           55 	
       66	           48 	
       67	           51 	
       68	           58 	
       69	           50 	
       70	           49 	
       71	           53 	
       72	           53 	
       73	           47 	
       74	           52 	
       75	           51 	
       76	           54 	
       77	           35 	
       78	           53 	
       79	           51 	
       80	           48 	
       81	           45 	
       82	           42 	
       83	           56 	
       84	           43 	
       85	           50 	
       86	           37 	
       87	           39 	
       88	           50 	
       89	           38 	
       90	           49 	
       91	           50 	
       92	           53 	
       93	           54 	
       94	           46 	
       95	           31 	
       96	           43 	
       97	           42 	
       98	           76 	
       99	           39 	
      100	           50 	
      101	           41 	
      102	           55 	
      103	           37 	
      104	           49 	
      105	           44 	
      106	           48 	
      107	           38 	
      108	           54 	
      109	           59 	
      110	           59 	
      111	           44 	
      112	           45 	
      113	           58 	
      114	           49 	
      115	           46 	
      116	           46 	
      117	           51 	
      118	           47 	
      119	           43 	
      120	           58 	
      121	           50 	
      122	           49 	
      123	           44 	
      124	           60 	
      125	           46 	
      126	           39 	
      127	           43 	
      128	           47 	
      129	           48 	
      130	           62 	
      131	           40 	
      132	           53 	
      133	           41 	
      134	           55 	
      135	           44 	
      136	           42 	
      137	           41 	
      138	           33 	
      139	           59 	
      140	           46 	
      141	           47 	
      142	           53 	
      143	           50 	
      144	           43 	
      145	           48 	
      146	           44 	
      147	           44 	
      148	           39 	
      149	           42 	
      150	           27 	
      151	           36 	
      152	           56 	
      153	           58 	
      154	           56 	
      155	           41 	
      156	           48 	
      157	           43 	
      158	           45 	
      159	           48 	
      160	           35 	
      161	           48 	
      162	           58 	
      163	           42 	
      164	           39 	
      165	           46 	
      166	           45 	
      167	           51 	
      168	           46 	
      169	           55 	
      170	           60 	
      171	           53 	
      172	           55 	
      173	           43 	
      174	           41 	
      175	           46 	
      176	           57 	
      177	           58 	
      178	           46 	
      179	           38 	
      180	           56 	
      181	           59 	
      182	           47 	
      183	           50 	
      184	           51 	
      185	           65 	
      186	           53 	
      187	           59 	
      188	           50 	
      189	           38 	
      190	           51 	
      191	           46 	
      192	           54 	
      193	           38 	
      194	           45 	
      195	           49 	
      196	           47 	
      197	           51 	
      198	           38 	
      199	           40 	
      200	           49 	
      201	           49 	
      202	           51 	
      203	           42 	
      204	           50 	
      205	           46 	
      206	           52 	
