Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-27
Time (HH:MM:SS):	15:28:24
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          126 	
        2	           99 	
        3	          101 	
        4	          119 	
        5	          108 	
        6	           97 	
        7	          113 	
        8	          122 	
        9	          125 	
       10	          126 	
       11	          106 	
       12	           94 	
       13	          118 	
       14	           97 	
       15	          108 	
       16	          136 	
       17	           99 	
       18	          122 	
       19	           97 	
       20	          121 	
       21	          141 	
       22	          117 	
       23	          130 	
       24	          107 	
       25	          124 	
       26	          106 	
       27	          114 	
       28	          121 	
       29	           99 	
       30	          105 	
       31	           94 	
       32	           98 	
       33	          102 	
       34	          114 	
       35	          132 	
       36	          121 	
       37	           96 	
       38	           98 	
       39	          123 	
       40	          115 	
       41	          117 	
       42	           99 	
       43	          124 	
       44	          113 	
       45	          122 	
       46	          134 	
       47	          101 	
       48	          102 	
       49	           97 	
       50	          109 	
       51	          127 	
       52	          101 	
       53	          110 	
       54	          136 	
       55	          105 	
       56	          115 	
       57	          104 	
       58	           99 	
       59	          103 	
       60	          127 	
       61	          108 	
       62	          104 	
       63	          116 	
       64	          118 	
       65	          122 	
       66	          117 	
       67	          107 	
       68	          120 	
       69	          111 	
       70	          126 	
       71	           97 	
       72	          110 	
       73	          126 	
       74	          121 	
       75	          119 	
       76	          118 	
       77	          117 	
       78	          113 	
       79	          105 	
       80	          116 	
       81	          110 	
       82	          127 	
       83	          106 	
       84	          100 	
       85	          124 	
       86	          101 	
       87	          106 	
       88	          100 	
       89	          110 	
       90	          111 	
       91	          116 	
       92	          120 	
       93	          105 	
       94	          137 	
       95	          122 	
       96	          135 	
       97	          108 	
       98	          113 	
       99	          141 	
      100	          119 	
      101	          116 	
      102	           92 	
      103	          113 	
      104	          107 	
      105	           88 	
      106	          111 	
      107	          107 	
      108	           90 	
      109	          114 	
      110	          110 	
      111	          129 	
      112	          107 	
      113	          109 	
      114	          121 	
      115	          117 	
      116	          119 	
      117	          111 	
      118	          121 	
      119	          120 	
      120	          124 	
      121	          112 	
      122	           95 	
      123	          100 	
      124	          110 	
      125	          124 	
      126	          108 	
      127	           98 	
      128	           97 	
      129	          124 	
      130	          126 	
      131	          128 	
      132	           78 	
      133	          114 	
      134	          114 	
      135	          121 	
      136	           83 	
      137	           99 	
      138	          117 	
      139	          126 	
      140	          117 	
      141	           93 	
      142	          113 	
      143	          114 	
      144	          103 	
      145	          113 	
      146	          118 	
      147	          102 	
      148	          105 	
      149	          112 	
      150	          107 	
      151	           93 	
      152	          116 	
      153	          102 	
      154	          120 	
      155	           96 	
      156	          103 	
      157	          114 	
      158	          115 	
      159	           94 	
      160	          116 	
      161	          116 	
      162	          114 	
      163	           94 	
      164	          120 	
      165	           99 	
      166	          132 	
      167	           97 	
      168	          124 	
      169	          103 	
      170	          103 	
      171	          100 	
      172	          108 	
      173	          125 	
      174	          106 	
      175	          122 	
      176	          112 	
      177	          109 	
      178	          118 	
      179	          121 	
      180	           96 	
      181	          100 	
      182	          108 	
      183	          116 	
      184	          116 	
      185	          104 	
      186	          101 	
      187	          107 	
      188	          125 	
      189	          107 	
      190	          104 	
      191	          109 	
      192	          114 	
      193	          104 	
      194	          118 	
      195	          109 	
      196	          133 	
      197	          122 	
      198	           93 	
      199	          107 	
      200	          110 	
      201	          116 	
      202	          122 	
      203	          118 	
      204	          119 	
      205	          143 	
      206	          115 	
      207	          122 	
      208	          107 	
      209	          102 	
      210	          109 	
      211	          135 	
      212	          112 	
      213	          103 	
      214	          103 	
      215	          122 	
      216	          119 	
      217	          113 	
      218	          131 	
      219	          110 	
      220	          115 	
      221	          117 	
      222	          121 	
      223	          101 	
      224	          130 	
      225	           96 	
      226	          113 	
      227	          111 	
      228	          106 	
      229	          116 	
      230	          104 	
      231	           99 	
      232	          104 	
      233	           99 	
      234	          116 	
      235	          122 	
      236	          114 	
      237	          114 	
      238	          117 	
      239	          102 	
      240	          120 	
      241	          122 	
      242	          134 	
      243	          104 	
      244	          113 	
      245	          137 	
      246	          112 	
      247	          106 	
      248	          115 	
      249	          113 	
      250	          111 	
      251	          132 	
      252	          126 	
      253	          111 	
      254	          103 	
      255	          108 	
      256	          122 	
      257	          109 	
      258	          107 	
      259	          114 	
      260	          130 	
      261	          130 	
      262	          129 	
      263	          101 	
      264	          127 	
      265	          113 	
      266	          108 	
      267	          123 	
      268	          115 	
      269	          108 	
      270	          114 	
      271	          109 	
      272	           93 	
      273	          123 	
      274	          116 	
      275	          105 	
      276	          117 	
      277	          109 	
      278	          129 	
      279	          107 	
      280	          112 	
      281	          101 	
      282	          126 	
      283	          111 	
      284	          124 	
      285	          117 	
      286	           90 	
      287	          118 	
      288	           89 	
      289	          110 	
      290	          111 	
      291	          108 	
      292	          103 	
      293	          121 	
      294	          129 	
      295	           80 	
      296	           97 	
      297	          102 	
      298	          107 	
      299	          110 	
      300	          114 	
      301	          125 	
      302	          117 	
      303	          117 	
      304	          115 	
      305	          105 	
      306	          127 	
      307	          131 	
      308	          122 	
      309	          118 	
      310	          116 	
      311	          127 	
      312	          108 	
      313	          133 	
      314	          116 	
      315	          102 	
      316	           96 	
      317	          100 	
      318	          109 	
      319	          121 	
      320	          131 	
      321	          114 	
      322	          120 	
      323	          121 	
      324	          133 	
      325	          100 	
      326	          111 	
      327	          101 	
      328	          106 	
      329	          110 	
      330	          124 	
      331	          127 	
      332	          143 	
      333	          115 	
      334	           96 	
      335	          111 	
      336	          117 	
      337	          113 	
      338	          104 	
      339	          130 	
      340	          114 	
      341	          111 	
      342	          129 	
      343	          126 	
      344	          114 	
      345	           97 	
      346	          107 	
      347	          122 	
      348	          125 	
      349	          104 	
      350	          121 	
      351	          127 	
      352	          117 	
      353	          119 	
      354	           98 	
      355	          119 	
      356	           91 	
      357	          113 	
      358	          128 	
      359	          110 	
      360	          114 	
      361	          126 	
      362	          118 	
      363	          107 	
      364	           95 	
      365	          121 	
      366	          108 	
      367	          110 	
      368	           91 	
      369	           96 	
      370	          144 	
      371	          120 	
      372	          113 	
      373	           97 	
      374	          113 	
      375	           92 	
      376	          116 	
      377	          117 	
      378	          111 	
      379	          104 	
      380	          102 	
      381	          113 	
      382	          115 	
      383	          141 	
      384	          107 	
      385	          126 	
      386	          133 	
      387	          124 	
      388	          118 	
      389	          102 	
      390	          109 	
      391	          128 	
      392	          103 	
      393	          114 	
      394	          125 	
      395	           89 	
      396	          131 	
      397	           96 	
      398	          133 	
      399	          114 	
      400	          107 	
      401	          105 	
      402	          107 	
      403	          120 	
      404	          109 	
      405	          103 	
      406	          115 	
      407	          113 	
      408	          116 	
      409	          116 	
      410	          106 	
      411	          123 	
      412	          119 	
      413	          103 	
      414	          105 	
      415	          123 	
      416	          128 	
      417	          102 	
      418	          100 	
      419	          117 	
      420	          104 	
      421	           99 	
      422	          111 	
      423	          105 	
      424	          130 	
      425	          108 	
      426	          121 	
      427	          111 	
      428	          110 	
      429	          120 	
      430	          110 	
      431	          136 	
      432	          124 	
      433	          112 	
      434	          109 	
      435	          112 	
      436	          120 	
      437	          132 	
      438	          112 	
      439	          104 	
      440	          112 	
      441	          110 	
      442	          120 	
      443	          103 	
      444	          105 	
      445	           97 	
      446	          111 	
      447	          104 	
      448	          117 	
      449	          126 	
      450	          124 	
      451	          115 	
      452	          114 	
      453	          113 	
      454	          117 	
      455	          119 	
      456	          126 	
      457	          101 	
      458	          102 	
      459	          108 	
      460	          111 	
