Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	12:47:55
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           16 	
        2	           12 	
        3	           17 	
        4	           10 	
        5	           15 	
        6	           13 	
        7	           18 	
        8	           10 	
        9	           12 	
       10	           16 	
       11	           17 	
       12	            8 	
       13	           10 	
       14	           16 	
       15	           14 	
       16	            8 	
       17	            5 	
       18	           14 	
       19	           14 	
       20	           12 	
       21	           15 	
       22	           16 	
       23	           17 	
       24	           14 	
       25	           18 	
       26	           17 	
       27	           16 	
       28	           19 	
       29	           12 	
       30	           17 	
       31	           11 	
       32	           11 	
       33	            9 	
       34	           13 	
       35	            7 	
       36	            9 	
       37	            7 	
       38	           11 	
       39	           16 	
       40	           13 	
       41	           15 	
       42	           12 	
       43	           12 	
       44	           10 	
       45	           12 	
       46	           16 	
       47	           10 	
       48	            8 	
       49	           14 	
       50	           19 	
       51	            7 	
       52	           11 	
       53	           16 	
       54	           11 	
       55	           13 	
       56	           14 	
       57	           17 	
       58	           16 	
       59	           11 	
       60	           14 	
       61	            8 	
       62	           11 	
       63	           15 	
       64	           14 	
       65	           14 	
       66	           10 	
       67	           13 	
       68	           18 	
       69	            5 	
       70	           11 	
       71	           15 	
       72	           18 	
       73	           22 	
       74	           11 	
       75	           12 	
       76	           14 	
       77	           20 	
       78	            9 	
       79	           16 	
       80	           11 	
       81	           18 	
       82	            7 	
       83	            7 	
       84	           17 	
       85	           10 	
       86	            7 	
       87	           10 	
       88	           12 	
       89	           17 	
       90	           20 	
       91	           13 	
       92	           17 	
       93	            9 	
       94	           16 	
       95	           10 	
       96	           17 	
       97	           16 	
       98	           20 	
       99	           16 	
      100	           11 	
      101	           11 	
      102	           11 	
      103	           13 	
      104	           13 	
      105	           16 	
      106	           14 	
      107	           19 	
      108	           14 	
      109	            8 	
      110	           13 	
      111	           11 	
      112	           15 	
      113	           11 	
      114	           16 	
      115	           17 	
      116	            9 	
      117	           15 	
      118	            9 	
      119	           15 	
      120	           11 	
      121	            7 	
      122	           20 	
      123	           10 	
      124	           18 	
      125	            9 	
      126	           20 	
      127	           11 	
      128	            6 	
      129	           11 	
      130	            6 	
      131	           17 	
      132	           12 	
      133	           17 	
      134	            9 	
      135	            9 	
      136	           11 	
      137	           12 	
      138	           11 	
      139	           17 	
      140	           11 	
      141	           14 	
      142	           12 	
      143	           11 	
      144	            9 	
      145	           10 	
      146	           13 	
      147	           13 	
      148	            8 	
      149	            6 	
      150	           15 	
      151	           19 	
      152	            5 	
      153	           10 	
      154	           13 	
      155	           16 	
      156	           12 	
      157	           22 	
      158	            9 	
      159	           12 	
      160	           14 	
      161	           11 	
      162	           10 	
      163	            7 	
      164	           16 	
      165	           14 	
      166	           11 	
      167	            9 	
      168	           16 	
      169	           17 	
      170	           13 	
      171	           17 	
      172	           12 	
      173	            9 	
      174	           14 	
      175	            8 	
      176	           12 	
      177	           15 	
      178	           20 	
      179	            7 	
      180	            5 	
      181	           12 	
      182	            7 	
      183	           10 	
      184	           13 	
      185	           15 	
      186	           13 	
      187	            8 	
      188	           20 	
      189	           14 	
      190	           12 	
      191	           10 	
      192	            8 	
      193	           11 	
      194	           13 	
      195	           13 	
      196	           18 	
      197	           19 	
      198	           21 	
      199	           14 	
      200	           12 	
      201	           19 	
      202	           17 	
      203	            7 	
      204	           10 	
      205	           12 	
      206	           11 	
      207	           18 	
      208	           15 	
      209	           14 	
      210	           16 	
      211	           14 	
      212	           15 	
      213	            9 	
      214	           10 	
      215	            8 	
      216	           17 	
      217	           13 	
      218	           15 	
      219	            6 	
      220	           11 	
      221	           13 	
      222	            8 	
      223	           12 	
      224	           17 	
      225	            8 	
      226	            8 	
      227	           14 	
      228	           15 	
      229	           11 	
      230	           16 	
      231	           12 	
      232	           19 	
      233	           12 	
      234	           21 	
      235	           13 	
      236	           10 	
      237	            6 	
      238	            9 	
      239	           10 	
      240	           14 	
      241	           12 	
      242	            8 	
      243	            9 	
      244	            8 	
      245	           14 	
      246	            7 	
      247	           11 	
      248	           14 	
      249	           10 	
      250	           14 	
      251	            9 	
      252	           14 	
      253	           15 	
      254	            6 	
      255	           20 	
      256	           13 	
      257	           15 	
      258	            7 	
      259	           10 	
      260	            8 	
      261	           15 	
      262	           13 	
      263	           12 	
      264	           11 	
      265	           16 	
      266	           12 	
      267	           14 	
      268	           12 	
      269	            9 	
      270	            9 	
      271	           12 	
      272	           10 	
      273	           12 	
      274	           10 	
      275	           10 	
      276	           13 	
      277	            7 	
      278	            4 	
      279	           13 	
      280	           14 	
      281	           11 	
      282	           14 	
      283	           11 	
      284	           14 	
      285	           15 	
      286	           12 	
      287	           16 	
      288	           14 	
      289	           13 	
      290	           10 	
      291	           12 	
      292	           12 	
      293	           11 	
      294	           13 	
      295	           12 	
      296	           17 	
      297	           11 	
      298	            9 	
      299	           14 	
      300	            6 	
      301	           20 	
      302	           18 	
      303	           17 	
      304	           13 	
      305	            9 	
      306	           11 	
      307	           12 	
      308	           12 	
      309	           10 	
      310	            8 	
      311	            2 	
      312	           12 	
      313	           12 	
      314	            6 	
      315	           10 	
      316	           12 	
      317	           12 	
      318	            9 	
      319	           12 	
      320	           15 	
      321	           14 	
      322	           10 	
      323	           11 	
      324	            8 	
      325	           10 	
      326	           13 	
      327	            8 	
      328	           12 	
      329	           10 	
      330	           12 	
      331	           14 	
      332	            7 	
      333	           16 	
      334	           11 	
      335	           11 	
      336	           15 	
      337	            9 	
      338	            8 	
      339	            9 	
      340	            8 	
      341	           12 	
      342	           13 	
      343	           15 	
      344	           15 	
      345	           17 	
      346	            9 	
      347	           16 	
      348	           10 	
      349	           10 	
      350	           14 	
      351	           10 	
      352	            9 	
      353	           11 	
      354	           18 	
      355	           17 	
      356	            7 	
      357	           11 	
      358	           19 	
      359	           15 	
      360	           10 	
      361	           10 	
      362	           12 	
      363	           13 	
      364	           11 	
      365	           12 	
      366	            5 	
      367	           17 	
      368	           18 	
      369	            9 	
      370	           13 	
      371	           14 	
      372	           12 	
      373	           21 	
      374	           18 	
      375	           11 	
      376	            8 	
      377	            4 	
      378	           17 	
      379	            9 	
      380	            9 	
      381	           11 	
      382	           10 	
      383	            8 	
      384	            9 	
      385	           15 	
      386	            9 	
      387	            5 	
      388	           12 	
      389	            9 	
      390	           16 	
      391	            7 	
      392	           13 	
      393	           15 	
      394	           16 	
      395	            9 	
      396	           11 	
      397	           13 	
      398	           16 	
      399	           13 	
      400	            8 	
      401	           12 	
      402	           13 	
      403	           16 	
      404	           16 	
      405	           16 	
      406	           12 	
      407	           14 	
      408	           10 	
      409	           13 	
      410	           14 	
      411	           13 	
      412	            7 	
      413	           11 	
      414	           13 	
      415	           12 	
      416	           10 	
      417	           12 	
      418	           14 	
      419	           21 	
      420	           15 	
      421	           17 	
      422	           10 	
      423	           11 	
      424	           12 	
      425	           15 	
      426	           11 	
      427	           14 	
      428	           12 	
      429	            6 	
      430	           13 	
      431	            9 	
      432	            8 	
      433	           11 	
      434	           12 	
      435	           11 	
      436	            9 	
      437	           19 	
      438	           13 	
      439	           12 	
      440	           12 	
      441	           14 	
      442	            9 	
      443	           15 	
      444	           12 	
      445	           19 	
      446	           14 	
      447	           11 	
      448	           19 	
      449	            9 	
      450	           17 	
      451	           15 	
      452	           10 	
      453	           12 	
      454	           10 	
      455	           19 	
      456	           10 	
      457	            9 	
      458	            5 	
      459	           16 	
      460	           16 	
      461	           12 	
      462	           18 	
      463	           12 	
      464	           14 	
      465	           14 	
      466	            9 	
      467	            9 	
      468	           12 	
      469	           12 	
      470	            8 	
      471	           18 	
      472	            8 	
      473	           16 	
      474	            8 	
      475	           11 	
      476	           12 	
      477	           21 	
      478	            8 	
      479	            7 	
      480	           22 	
      481	           11 	
      482	           10 	
      483	            9 	
      484	           15 	
      485	            7 	
      486	           12 	
      487	           11 	
      488	           13 	
      489	           10 	
      490	           23 	
      491	           11 	
      492	           11 	
      493	           14 	
      494	           14 	
      495	           16 	
      496	            8 	
      497	           14 	
      498	           16 	
