Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-27
Time (HH:MM:SS):	15:27:12
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          123 	
        2	          127 	
        3	          130 	
        4	          123 	
        5	          108 	
        6	          135 	
        7	          132 	
        8	          123 	
        9	          129 	
       10	          113 	
       11	          112 	
       12	          117 	
       13	          125 	
       14	          116 	
       15	          111 	
       16	          128 	
       17	           98 	
       18	          160 	
       19	          126 	
       20	          133 	
       21	          130 	
       22	          140 	
       23	          129 	
       24	          111 	
       25	          121 	
       26	           95 	
       27	          131 	
       28	          159 	
       29	          114 	
       30	           99 	
       31	          121 	
       32	          128 	
       33	          125 	
       34	          122 	
       35	          119 	
       36	          115 	
       37	          117 	
       38	          121 	
       39	          107 	
       40	          122 	
       41	          141 	
       42	          121 	
       43	          124 	
       44	          120 	
       45	          142 	
       46	          113 	
       47	          115 	
       48	          142 	
       49	          114 	
       50	          111 	
       51	          115 	
       52	          125 	
       53	          131 	
       54	          127 	
       55	          130 	
       56	          129 	
       57	          121 	
       58	          148 	
       59	          108 	
       60	          101 	
       61	          136 	
       62	          116 	
       63	          116 	
       64	          108 	
       65	           98 	
       66	          126 	
       67	          149 	
       68	          133 	
       69	          111 	
       70	          129 	
       71	          108 	
       72	          134 	
       73	          147 	
       74	          129 	
       75	          114 	
       76	          111 	
       77	          132 	
       78	          120 	
       79	          150 	
       80	          128 	
       81	          127 	
       82	          121 	
       83	          104 	
       84	          134 	
       85	          151 	
       86	          140 	
       87	          127 	
       88	          130 	
       89	          132 	
       90	          114 	
       91	          139 	
       92	          150 	
       93	          116 	
       94	          114 	
       95	          115 	
       96	          103 	
       97	          126 	
       98	          120 	
       99	          114 	
      100	          134 	
      101	          115 	
      102	          125 	
      103	          132 	
      104	          106 	
      105	          103 	
      106	           87 	
      107	          130 	
      108	          131 	
      109	          147 	
      110	          143 	
      111	          125 	
      112	          136 	
      113	          116 	
      114	          133 	
      115	          116 	
      116	          135 	
      117	          111 	
      118	          120 	
      119	          133 	
      120	          121 	
      121	          122 	
      122	          115 	
      123	          126 	
      124	          141 	
      125	          116 	
      126	          125 	
      127	          114 	
      128	          103 	
      129	          135 	
      130	          127 	
      131	          113 	
      132	          109 	
      133	          122 	
      134	          125 	
      135	          114 	
      136	          145 	
      137	          126 	
      138	          123 	
      139	          114 	
      140	          123 	
      141	          111 	
      142	          128 	
      143	          117 	
      144	          134 	
      145	          136 	
      146	          117 	
      147	          112 	
      148	          109 	
      149	          147 	
      150	          127 	
      151	          130 	
      152	          124 	
      153	          123 	
      154	          134 	
      155	          121 	
      156	          106 	
      157	          116 	
      158	          116 	
      159	          112 	
      160	          111 	
      161	          117 	
      162	          116 	
      163	          108 	
      164	          112 	
      165	          122 	
      166	          117 	
      167	          107 	
      168	          120 	
      169	          156 	
      170	          114 	
      171	          125 	
      172	          125 	
      173	          127 	
      174	          135 	
      175	          125 	
      176	          124 	
      177	          121 	
      178	          120 	
      179	          102 	
      180	          107 	
      181	          112 	
      182	          135 	
      183	          113 	
      184	          115 	
      185	          123 	
      186	          152 	
      187	          138 	
      188	          144 	
      189	          115 	
      190	          104 	
      191	          100 	
      192	          126 	
      193	          124 	
      194	          131 	
      195	          115 	
      196	          114 	
      197	          127 	
      198	          122 	
      199	          125 	
      200	          106 	
      201	          128 	
      202	          137 	
      203	          124 	
      204	           97 	
      205	           97 	
      206	          119 	
      207	          110 	
      208	          129 	
      209	          106 	
      210	          114 	
      211	          133 	
      212	          146 	
      213	          116 	
      214	          127 	
      215	          105 	
      216	          125 	
      217	          147 	
      218	          121 	
      219	          101 	
      220	          104 	
      221	          107 	
      222	          136 	
      223	          159 	
      224	          110 	
      225	          140 	
      226	          124 	
      227	          127 	
      228	          136 	
      229	          128 	
      230	          121 	
      231	          126 	
      232	          123 	
      233	          120 	
      234	          129 	
      235	          141 	
      236	          140 	
      237	          131 	
      238	          123 	
      239	          124 	
      240	          111 	
      241	          129 	
      242	          125 	
      243	          102 	
      244	          120 	
      245	          129 	
      246	          116 	
      247	          112 	
      248	          136 	
      249	          112 	
      250	          120 	
      251	          112 	
      252	          134 	
      253	          125 	
      254	          122 	
      255	          119 	
      256	          121 	
      257	          103 	
      258	          111 	
      259	          127 	
      260	          127 	
      261	          109 	
      262	          104 	
      263	          114 	
      264	          127 	
      265	          113 	
      266	          132 	
      267	          128 	
      268	          111 	
      269	          133 	
      270	          122 	
      271	          116 	
      272	          144 	
      273	           93 	
      274	          146 	
      275	          115 	
      276	          137 	
      277	          119 	
      278	          122 	
      279	          106 	
      280	          137 	
      281	          116 	
      282	          135 	
      283	          119 	
      284	          133 	
      285	          128 	
      286	          126 	
      287	          125 	
      288	          126 	
      289	           93 	
      290	          117 	
      291	          128 	
      292	          148 	
      293	          123 	
      294	          106 	
      295	          120 	
      296	          124 	
      297	          134 	
      298	          129 	
      299	          117 	
      300	          124 	
      301	          128 	
      302	          134 	
      303	          127 	
      304	          126 	
