Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-27
Time (HH:MM:SS):	14:40:09
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          121 	
        2	          125 	
        3	          116 	
        4	          138 	
        5	          119 	
        6	          121 	
        7	          105 	
        8	          133 	
        9	          112 	
       10	          122 	
       11	          107 	
       12	          103 	
       13	          106 	
       14	          103 	
       15	          110 	
       16	          126 	
       17	          138 	
       18	          145 	
       19	          102 	
       20	          130 	
       21	          117 	
       22	          119 	
       23	          123 	
       24	          125 	
       25	          113 	
       26	          128 	
       27	          132 	
       28	          131 	
       29	          125 	
       30	          113 	
       31	          138 	
       32	          117 	
       33	          150 	
       34	          106 	
       35	          112 	
       36	          114 	
       37	          113 	
       38	          118 	
       39	          140 	
       40	           98 	
       41	          128 	
       42	          117 	
       43	          116 	
       44	          112 	
       45	          129 	
       46	          132 	
       47	          111 	
       48	          119 	
       49	          118 	
       50	          119 	
       51	          136 	
       52	          129 	
       53	          110 	
       54	          132 	
       55	          124 	
       56	          140 	
       57	          104 	
       58	          112 	
       59	          135 	
       60	          132 	
       61	          117 	
       62	           97 	
       63	          117 	
       64	          118 	
       65	          124 	
       66	          132 	
       67	          136 	
       68	          115 	
       69	          102 	
       70	          102 	
       71	          124 	
       72	          125 	
       73	          126 	
       74	          119 	
       75	          109 	
       76	          122 	
       77	          122 	
       78	          114 	
       79	          131 	
       80	          109 	
       81	          118 	
       82	           97 	
       83	          120 	
       84	          120 	
       85	          118 	
       86	          120 	
       87	          126 	
       88	          115 	
       89	          127 	
       90	          122 	
       91	          115 	
       92	          123 	
       93	          139 	
       94	          121 	
       95	          121 	
       96	          136 	
       97	          117 	
       98	          102 	
       99	          111 	
      100	          110 	
      101	          134 	
      102	          119 	
      103	          113 	
      104	          100 	
      105	           92 	
      106	          135 	
      107	          116 	
      108	          140 	
      109	          115 	
      110	          111 	
      111	          102 	
      112	          122 	
      113	          118 	
      114	          109 	
      115	          127 	
      116	          120 	
      117	          139 	
      118	          136 	
      119	          132 	
      120	          130 	
      121	          137 	
      122	          117 	
      123	          110 	
      124	          127 	
      125	          104 	
      126	          139 	
      127	          130 	
      128	          106 	
      129	          123 	
      130	          113 	
      131	          114 	
      132	          127 	
      133	          121 	
      134	          126 	
      135	          123 	
      136	          118 	
      137	          131 	
      138	          123 	
      139	          124 	
      140	          133 	
      141	          109 	
      142	          138 	
      143	          139 	
      144	          119 	
      145	          122 	
      146	          118 	
      147	          137 	
      148	          112 	
      149	          123 	
      150	          114 	
      151	          116 	
      152	          113 	
      153	          110 	
      154	          115 	
      155	          125 	
      156	          123 	
      157	          127 	
      158	          128 	
      159	          105 	
      160	          136 	
      161	          123 	
      162	          115 	
      163	          126 	
      164	          107 	
      165	          123 	
      166	          120 	
      167	          135 	
      168	          121 	
      169	          139 	
      170	          104 	
      171	          105 	
      172	          113 	
      173	          140 	
      174	          116 	
      175	          112 	
      176	          111 	
      177	           99 	
      178	          125 	
      179	          111 	
      180	          111 	
      181	          123 	
      182	          110 	
      183	          115 	
      184	          119 	
      185	          121 	
      186	          126 	
      187	          107 	
      188	          114 	
      189	          110 	
      190	          128 	
      191	          148 	
      192	          106 	
      193	          118 	
      194	          115 	
      195	          107 	
      196	          109 	
      197	          135 	
      198	          112 	
      199	          115 	
      200	          118 	
      201	          123 	
      202	           92 	
      203	          122 	
