Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	12:59:55
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           57 	
        2	           65 	
        3	           51 	
        4	           51 	
        5	           58 	
        6	           55 	
        7	           66 	
        8	           72 	
        9	           59 	
       10	           67 	
       11	           65 	
       12	           56 	
       13	           50 	
       14	           66 	
       15	           51 	
       16	           43 	
       17	           62 	
       18	           51 	
       19	           49 	
       20	           53 	
       21	           58 	
       22	           62 	
       23	           68 	
       24	           55 	
       25	           62 	
       26	           64 	
       27	           69 	
       28	           53 	
       29	           63 	
       30	           42 	
       31	           65 	
       32	           69 	
       33	           63 	
       34	           67 	
       35	           67 	
       36	           79 	
       37	           57 	
       38	           58 	
       39	           38 	
       40	           77 	
       41	           54 	
       42	           54 	
       43	           53 	
       44	           78 	
       45	           48 	
       46	           62 	
       47	           54 	
       48	           55 	
       49	           49 	
       50	           61 	
       51	           47 	
       52	           68 	
       53	           61 	
       54	           53 	
       55	           65 	
       56	           65 	
       57	           54 	
       58	           59 	
       59	           67 	
       60	           56 	
       61	           38 	
       62	           73 	
       63	           73 	
       64	           62 	
       65	           63 	
       66	           69 	
       67	           50 	
       68	           61 	
       69	           48 	
       70	           59 	
       71	           65 	
       72	           53 	
       73	           59 	
       74	           58 	
       75	           73 	
       76	           59 	
       77	           76 	
       78	           56 	
       79	           59 	
       80	           70 	
       81	           64 	
       82	           57 	
       83	           59 	
       84	           66 	
       85	           49 	
       86	           59 	
       87	           57 	
       88	           75 	
       89	           58 	
       90	           63 	
       91	           72 	
       92	           37 	
       93	           58 	
       94	           60 	
       95	           66 	
       96	           56 	
       97	           60 	
       98	           55 	
       99	           57 	
      100	           54 	
      101	           59 	
      102	           57 	
      103	           57 	
      104	           51 	
      105	           46 	
      106	           72 	
      107	           47 	
      108	           42 	
      109	           62 	
      110	           46 	
      111	           55 	
      112	           52 	
      113	           67 	
      114	           58 	
      115	           57 	
      116	           64 	
      117	           69 	
      118	           56 	
      119	           68 	
      120	           54 	
      121	           50 	
      122	           53 	
      123	           62 	
      124	           69 	
      125	           49 	
      126	           65 	
      127	           46 	
      128	           63 	
      129	           69 	
      130	           60 	
      131	           68 	
      132	           59 	
      133	           49 	
      134	           53 	
      135	           60 	
      136	           55 	
      137	           59 	
      138	           60 	
      139	           55 	
      140	           46 	
      141	           58 	
      142	           63 	
      143	           57 	
      144	           60 	
      145	           64 	
      146	           61 	
      147	           52 	
      148	           65 	
      149	           62 	
      150	           80 	
      151	           55 	
      152	           57 	
      153	           65 	
      154	           55 	
      155	           64 	
      156	           68 	
      157	           53 	
      158	           62 	
      159	           62 	
      160	           59 	
      161	           54 	
      162	           62 	
      163	           60 	
      164	           40 	
      165	           61 	
      166	           66 	
      167	           60 	
      168	           64 	
      169	           59 	
      170	           61 	
      171	           62 	
      172	           67 	
      173	           78 	
      174	           45 	
      175	           54 	
      176	           66 	
      177	           55 	
      178	           57 	
      179	           64 	
      180	           47 	
      181	           54 	
      182	           64 	
      183	           47 	
      184	           64 	
      185	           42 	
      186	           75 	
      187	           65 	
      188	           63 	
      189	           63 	
      190	           56 	
      191	           69 	
      192	           58 	
      193	           50 	
      194	           43 	
      195	           56 	
      196	           68 	
      197	           56 	
      198	           53 	
      199	           58 	
      200	           47 	
      201	           47 	
      202	           59 	
      203	           48 	
      204	           59 	
      205	           54 	
      206	           60 	
      207	           54 	
      208	           54 	
      209	           55 	
      210	           73 	
      211	           42 	
      212	           60 	
      213	           70 	
      214	           40 	
      215	           69 	
      216	           47 	
      217	           53 	
      218	           50 	
      219	           55 	
      220	           54 	
      221	           54 	
      222	           65 	
      223	           41 	
      224	           53 	
      225	           78 	
      226	           63 	
      227	           59 	
      228	           58 	
      229	           63 	
      230	           76 	
      231	           56 	
      232	           70 	
      233	           60 	
      234	           60 	
      235	           61 	
      236	           46 	
      237	           43 	
      238	           63 	
      239	           80 	
      240	           51 	
      241	           40 	
      242	           58 	
      243	           49 	
      244	           51 	
      245	           55 	
      246	           58 	
      247	           72 	
      248	           63 	
      249	           46 	
      250	           60 	
      251	           62 	
      252	           65 	
      253	           50 	
      254	           55 	
      255	           63 	
      256	           53 	
      257	           59 	
      258	           61 	
      259	           56 	
      260	           62 	
      261	           65 	
      262	           58 	
      263	           61 	
      264	           67 	
      265	           50 	
      266	           59 	
      267	           59 	
      268	           70 	
      269	           46 	
      270	           44 	
      271	           54 	
      272	           49 	
      273	           63 	
      274	           49 	
      275	           52 	
      276	           58 	
      277	           56 	
      278	           54 	
      279	           55 	
      280	           56 	
      281	           62 	
      282	           46 	
      283	           45 	
      284	           58 	
      285	           49 	
      286	           69 	
      287	           66 	
      288	           51 	
      289	           58 	
      290	           61 	
      291	           58 	
      292	           53 	
