Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	12:57:27
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          105 	
        2	          107 	
        3	          137 	
        4	           99 	
        5	          117 	
        6	          137 	
        7	          117 	
        8	          109 	
        9	          113 	
       10	          118 	
       11	          128 	
       12	          131 	
       13	          107 	
       14	          101 	
       15	          106 	
       16	          130 	
       17	          118 	
       18	          126 	
       19	          113 	
       20	          117 	
       21	          116 	
       22	          128 	
       23	          109 	
       24	          125 	
       25	          111 	
       26	          109 	
       27	          131 	
       28	          125 	
       29	          123 	
       30	          123 	
       31	          118 	
       32	          102 	
       33	          108 	
       34	           97 	
       35	          113 	
       36	          102 	
       37	          135 	
       38	          108 	
       39	           96 	
       40	          123 	
       41	          120 	
       42	          117 	
       43	          108 	
       44	          123 	
       45	          122 	
       46	          127 	
       47	          130 	
       48	          116 	
       49	          111 	
       50	          106 	
       51	          124 	
       52	           99 	
       53	          118 	
       54	          131 	
       55	          111 	
       56	          115 	
       57	           88 	
       58	          139 	
       59	          107 	
       60	          117 	
       61	          128 	
       62	          107 	
       63	          110 	
       64	          125 	
       65	          126 	
       66	          110 	
       67	          113 	
       68	          111 	
       69	          112 	
       70	          102 	
       71	          132 	
       72	          134 	
       73	          110 	
       74	          135 	
       75	          108 	
       76	          107 	
       77	          121 	
       78	          121 	
       79	          111 	
       80	          141 	
       81	          110 	
       82	          128 	
       83	          122 	
       84	          120 	
       85	          131 	
       86	          110 	
       87	          151 	
       88	          118 	
       89	          119 	
       90	          115 	
       91	          110 	
       92	          132 	
       93	          122 	
       94	          128 	
       95	          119 	
       96	          123 	
       97	          113 	
       98	          114 	
       99	          119 	
      100	          106 	
      101	          127 	
      102	          114 	
      103	          106 	
      104	          128 	
      105	          125 	
      106	          109 	
      107	          114 	
      108	          130 	
      109	          144 	
      110	          124 	
      111	          140 	
      112	          116 	
      113	          118 	
      114	          119 	
      115	          111 	
      116	          140 	
      117	          138 	
      118	          111 	
      119	          108 	
      120	           97 	
      121	          122 	
      122	          127 	
      123	          108 	
      124	          122 	
      125	          128 	
      126	          130 	
      127	          114 	
      128	          113 	
      129	          124 	
      130	          133 	
      131	          129 	
      132	          122 	
      133	          137 	
      134	          121 	
      135	          100 	
      136	          125 	
      137	          108 	
      138	          122 	
      139	          138 	
      140	          115 	
      141	          127 	
      142	          129 	
      143	          112 	
      144	          111 	
      145	          119 	
      146	          137 	
      147	          116 	
      148	          106 	
      149	          116 	
      150	          120 	
      151	          122 	
      152	          124 	
      153	          122 	
      154	          113 	
      155	          128 	
      156	          115 	
      157	           92 	
      158	          116 	
      159	          119 	
      160	          137 	
      161	          115 	
      162	          114 	
      163	          134 	
      164	          131 	
      165	          125 	
      166	          128 	
      167	          108 	
      168	          127 	
      169	          127 	
      170	          119 	
      171	          124 	
      172	          115 	
      173	          123 	
      174	          116 	
      175	          136 	
      176	          121 	
      177	          121 	
      178	          129 	
      179	          138 	
      180	          104 	
      181	          127 	
      182	          130 	
      183	          121 	
      184	          132 	
      185	          130 	
      186	          111 	
      187	          120 	
      188	          120 	
      189	          134 	
      190	          106 	
      191	          121 	
      192	          117 	
      193	          128 	
      194	          135 	
      195	          120 	
      196	          118 	
      197	          117 	
      198	          130 	
      199	          119 	
      200	          116 	
      201	          127 	
      202	          129 	
      203	          128 	
      204	          124 	
      205	          121 	
      206	          120 	
      207	          108 	
      208	          104 	
      209	          131 	
      210	           91 	
      211	          130 	
      212	          129 	
      213	          130 	
      214	          116 	
      215	          126 	
      216	           98 	
      217	          118 	
      218	          126 	
      219	           95 	
      220	          113 	
      221	          150 	
      222	          121 	
      223	          128 	
      224	          133 	
      225	          133 	
      226	          121 	
      227	          103 	
      228	          117 	
      229	          139 	
      230	          129 	
      231	          116 	
      232	          116 	
      233	          131 	
      234	          114 	
      235	          145 	
      236	          116 	
      237	          126 	
      238	          123 	
      239	          103 	
      240	          131 	
      241	          114 	
      242	          128 	
      243	          127 	
      244	          110 	
      245	          125 	
      246	          117 	
      247	          128 	
      248	          103 	
      249	          129 	
      250	          136 	
      251	          100 	
      252	          111 	
      253	          130 	
      254	          111 	
      255	          116 	
      256	          104 	
      257	          115 	
      258	          135 	
      259	          113 	
      260	          114 	
      261	          115 	
      262	          126 	
      263	          121 	
      264	          113 	
      265	          117 	
      266	           96 	
      267	          130 	
      268	          127 	
      269	          129 	
      270	          115 	
      271	          130 	
      272	          131 	
      273	          147 	
      274	          147 	
      275	          116 	
      276	          122 	
      277	          129 	
      278	          112 	
      279	          121 	
      280	          101 	
      281	          120 	
      282	          138 	
      283	          116 	
      284	          136 	
      285	          111 	
      286	          128 	
      287	          107 	
      288	          112 	
      289	          121 	
      290	          107 	
      291	          134 	
      292	          127 	
      293	          138 	
      294	          125 	
      295	          116 	
      296	          132 	
      297	          123 	
      298	          131 	
      299	          122 	
      300	          142 	
      301	          129 	
      302	          113 	
      303	          129 	
      304	          102 	
      305	          112 	
      306	          120 	
      307	          100 	
      308	          123 	
      309	          114 	
      310	          118 	
      311	          114 	
      312	          119 	
      313	          128 	
      314	          128 	
      315	          129 	
      316	          120 	
      317	          123 	
      318	          120 	
      319	          140 	
      320	           92 	
      321	          119 	
      322	          112 	
      323	          132 	
      324	          129 	
      325	          130 	
      326	          123 	
      327	          125 	
      328	          118 	
      329	          128 	
      330	          123 	
      331	          114 	
      332	          132 	
      333	          101 	
      334	          105 	
      335	          114 	
      336	          133 	
      337	          119 	
      338	          124 	
      339	          115 	
      340	          122 	
      341	          112 	
      342	          109 	
      343	          115 	
      344	          114 	
      345	           88 	
      346	          129 	
      347	          119 	
      348	          122 	
      349	          122 	
      350	          115 	
      351	          120 	
      352	          127 	
      353	          108 	
      354	          133 	
      355	          133 	
      356	          124 	
      357	          136 	
      358	          137 	
      359	          124 	
      360	          113 	
      361	          125 	
      362	          115 	
      363	          107 	
      364	          123 	
      365	          122 	
      366	          139 	
      367	          127 	
      368	          136 	
      369	          131 	
      370	          133 	
      371	          127 	
      372	          120 	
      373	          135 	
      374	          145 	
      375	          108 	
      376	          141 	
      377	          113 	
      378	          146 	
      379	          110 	
      380	          116 	
      381	           97 	
      382	          126 	
      383	          137 	
      384	          124 	
      385	          135 	
      386	          131 	
      387	          127 	
      388	          124 	
      389	          122 	
      390	          158 	
      391	          126 	
      392	          115 	
      393	           99 	
      394	          117 	
      395	          118 	
      396	          109 	
      397	           99 	
      398	          109 	
      399	          127 	
      400	          125 	
      401	          118 	
      402	          144 	
      403	          100 	
      404	          114 	
      405	          107 	
      406	          115 	
      407	          119 	
      408	          103 	
      409	          129 	
      410	          108 	
      411	          127 	
      412	          107 	
      413	          100 	
      414	          125 	
      415	          122 	
      416	          130 	
      417	          128 	
      418	          126 	
      419	          109 	
      420	          123 	
      421	          101 	
      422	          121 	
      423	          114 	
      424	          125 	
      425	          128 	
      426	          106 	
      427	          129 	
      428	          143 	
      429	          126 	
      430	           89 	
      431	          133 	
      432	          111 	
      433	          115 	
      434	           98 	
      435	          128 	
      436	          121 	
      437	          117 	
      438	          109 	
      439	          114 	
      440	          151 	
      441	           99 	
      442	          119 	
      443	          134 	
      444	          136 	
      445	          105 	
      446	          127 	
      447	          123 	
      448	          137 	
      449	          136 	
      450	          123 	
      451	          114 	
      452	          134 	
      453	          124 	
      454	          149 	
      455	          126 	
      456	          105 	
      457	          113 	
      458	          106 	
      459	          115 	
      460	          112 	
      461	          120 	
      462	          122 	
      463	          119 	
      464	          120 	
      465	          141 	
      466	          117 	
      467	          103 	
      468	          132 	
      469	          114 	
      470	          133 	
      471	          116 	
      472	          141 	
      473	          122 	
      474	          133 	
      475	          108 	
      476	          147 	
      477	          112 	
      478	          129 	
      479	          103 	
      480	           96 	
      481	          132 	
      482	          110 	
      483	          131 	
      484	          115 	
      485	          136 	
      486	          119 	
      487	          111 	
      488	          120 	
      489	          105 	
      490	          122 	
      491	          129 	
      492	          111 	
      493	          113 	
      494	          126 	
      495	          152 	
      496	          117 	
      497	          123 	
      498	          126 	
      499	          100 	
      500	          121 	
      501	          125 	
      502	          105 	
      503	          119 	
      504	          124 	
      505	          133 	
      506	          104 	
      507	          127 	
