Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-29
Time (HH:MM:SS):	14:46:13
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          168 	
        2	          173 	
        3	          165 	
        4	          181 	
        5	          190 	
        6	          179 	
        7	          188 	
        8	          199 	
        9	          180 	
       10	          164 	
       11	          186 	
       12	          162 	
       13	          162 	
       14	          214 	
       15	          179 	
       16	          192 	
       17	          203 	
       18	          184 	
       19	          185 	
       20	          198 	
       21	          182 	
       22	          180 	
       23	          174 	
       24	          168 	
       25	          191 	
       26	          176 	
       27	          177 	
       28	          183 	
       29	          200 	
       30	          172 	
       31	          219 	
       32	          167 	
       33	          212 	
       34	          189 	
       35	          170 	
       36	          141 	
       37	          201 	
       38	          187 	
       39	          211 	
       40	          181 	
       41	          178 	
       42	          164 	
       43	          191 	
       44	          172 	
       45	          194 	
       46	          183 	
       47	          184 	
       48	          174 	
       49	          176 	
       50	          201 	
       51	          196 	
       52	          196 	
       53	          187 	
       54	          208 	
       55	          156 	
       56	          196 	
       57	          192 	
       58	          181 	
       59	          165 	
       60	          188 	
       61	          191 	
       62	          174 	
       63	          186 	
       64	          192 	
       65	          189 	
       66	          176 	
       67	          190 	
       68	          193 	
       69	          175 	
       70	          178 	
       71	          192 	
       72	          188 	
       73	          182 	
       74	          201 	
       75	          176 	
       76	          186 	
       77	          161 	
       78	          182 	
       79	          179 	
       80	          189 	
       81	          184 	
       82	          174 	
       83	          162 	
       84	          169 	
       85	          183 	
       86	          207 	
       87	          176 	
       88	          185 	
       89	          166 	
       90	          211 	
       91	          178 	
       92	          182 	
       93	          189 	
       94	          152 	
       95	          165 	
       96	          157 	
       97	          186 	
       98	          200 	
       99	          176 	
      100	          168 	
      101	          179 	
      102	          188 	
      103	          175 	
      104	          197 	
      105	          196 	
      106	          195 	
      107	          183 	
      108	          190 	
      109	          187 	
      110	          180 	
      111	          210 	
      112	          204 	
      113	          171 	
      114	          190 	
      115	          169 	
      116	          175 	
      117	          209 	
      118	          183 	
      119	          174 	
      120	          210 	
      121	          181 	
      122	          202 	
      123	          185 	
      124	          173 	
      125	          183 	
      126	          191 	
      127	          206 	
      128	          197 	
      129	          199 	
      130	          176 	
      131	          186 	
      132	          182 	
      133	          181 	
      134	          175 	
      135	          158 	
      136	          182 	
      137	          185 	
      138	          184 	
      139	          187 	
      140	          173 	
      141	          204 	
      142	          177 	
      143	          187 	
      144	          155 	
      145	          199 	
      146	          201 	
      147	          204 	
      148	          193 	
      149	          195 	
      150	          182 	
      151	          171 	
      152	          176 	
      153	          172 	
      154	          188 	
      155	          161 	
      156	          172 	
      157	          177 	
      158	          170 	
      159	          183 	
      160	          214 	
      161	          187 	
      162	          193 	
      163	          143 	
      164	          176 	
      165	          190 	
      166	          195 	
      167	          199 	
      168	          193 	
      169	          174 	
      170	          197 	
      171	          191 	
      172	          176 	
      173	          182 	
      174	          204 	
      175	          189 	
      176	          203 	
      177	          197 	
      178	          212 	
      179	          182 	
      180	          208 	
      181	          199 	
      182	          188 	
      183	          185 	
      184	          183 	
      185	          193 	
      186	          188 	
      187	          207 	
      188	          193 	
      189	          187 	
      190	          185 	
      191	          178 	
      192	          193 	
      193	          183 	
      194	          186 	
      195	          183 	
      196	          194 	
      197	          197 	
      198	          171 	
      199	          166 	
      200	          186 	
      201	          174 	
      202	          187 	
      203	          180 	
      204	          174 	
      205	          176 	
      206	          181 	
      207	          205 	
      208	          195 	
      209	          194 	
      210	          178 	
      211	          182 	
      212	          177 	
      213	          192 	
      214	          180 	
      215	          198 	
      216	          172 	
      217	          188 	
      218	          176 	
      219	          194 	
      220	          165 	
      221	          198 	
      222	          188 	
      223	          164 	
      224	          185 	
      225	          168 	
      226	          173 	
      227	          179 	
      228	          168 	
      229	          163 	
      230	          200 	
      231	          164 	
      232	          193 	
      233	          163 	
      234	          191 	
      235	          174 	
      236	          189 	
      237	          157 	
      238	          190 	
      239	          189 	
      240	          187 	
      241	          174 	
      242	          199 	
      243	          190 	
      244	          153 	
      245	          164 	
      246	          161 	
      247	          183 	
      248	          190 	
      249	          194 	
      250	          193 	
      251	          178 	
      252	          170 	
      253	          169 	
      254	          176 	
      255	          180 	
      256	          207 	
      257	          194 	
      258	          210 	
      259	          203 	
      260	          186 	
      261	          176 	
      262	          190 	
      263	          179 	
      264	          168 	
      265	          179 	
      266	          203 	
      267	          192 	
      268	          160 	
      269	          164 	
      270	          191 	
      271	          181 	
      272	          174 	
      273	          170 	
      274	          207 	
      275	          181 	
      276	          176 	
      277	          177 	
      278	          173 	
      279	          208 	
      280	          192 	
      281	          187 	
      282	          178 	
      283	          213 	
      284	          202 	
      285	          204 	
      286	          183 	
      287	          196 	
      288	          176 	
      289	          168 	
      290	          190 	
      291	          194 	
      292	          189 	
      293	          188 	
      294	          197 	
      295	          199 	
      296	          182 	
      297	          177 	
      298	          195 	
      299	          169 	
      300	          189 	
      301	          169 	
      302	          188 	
      303	          196 	
      304	          173 	
      305	          171 	
      306	          208 	
      307	          170 	
      308	          159 	
      309	          179 	
      310	          191 	
      311	          175 	
      312	          193 	
      313	          193 	
      314	          166 	
      315	          200 	
      316	          203 	
      317	          164 	
      318	          177 	
      319	          164 	
      320	          179 	
      321	          176 	
      322	          193 	
      323	          179 	
      324	          187 	
      325	          199 	
      326	          187 	
      327	          176 	
      328	          194 	
      329	          160 	
      330	          187 	
      331	          189 	
      332	          175 	
      333	          208 	
      334	          180 	
      335	          185 	
      336	          164 	
      337	          190 	
      338	          195 	
      339	          201 	
      340	          189 	
      341	          221 	
      342	          193 	
      343	          165 	
      344	          180 	
      345	          162 	
      346	          181 	
      347	          178 	
      348	          166 	
      349	          182 	
      350	          177 	
      351	          175 	
      352	          197 	
      353	          202 	
      354	          181 	
      355	          183 	
      356	          193 	
      357	          184 	
      358	          188 	
      359	          178 	
      360	          152 	
      361	          181 	
      362	          180 	
