Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-29
Time (HH:MM:SS):	14:51:19
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          571 	
        2	          618 	
        3	          598 	
        4	          609 	
        5	          609 	
        6	          585 	
        7	          640 	
        8	          615 	
        9	          610 	
       10	          605 	
       11	          611 	
       12	          627 	
       13	          622 	
       14	          583 	
       15	          635 	
       16	          625 	
       17	          635 	
       18	          676 	
       19	          577 	
       20	          658 	
       21	          638 	
       22	          615 	
       23	          595 	
       24	          588 	
       25	          617 	
       26	          675 	
       27	          628 	
       28	          656 	
       29	          604 	
       30	          607 	
       31	          623 	
       32	          645 	
       33	          607 	
       34	          593 	
       35	          594 	
       36	          600 	
       37	          602 	
       38	          617 	
       39	          631 	
       40	          635 	
       41	          614 	
       42	          611 	
       43	          595 	
       44	          629 	
       45	          618 	
       46	          673 	
       47	          648 	
       48	          632 	
       49	          656 	
       50	          638 	
       51	          650 	
       52	          635 	
       53	          593 	
       54	          633 	
       55	          662 	
       56	          653 	
       57	          646 	
       58	          630 	
       59	          717 	
       60	          651 	
       61	          648 	
       62	          653 	
       63	          610 	
       64	          618 	
       65	          653 	
       66	          607 	
       67	          687 	
       68	          613 	
       69	          678 	
       70	          660 	
       71	          664 	
       72	          616 	
       73	          670 	
       74	          610 	
       75	          676 	
       76	          654 	
       77	          643 	
       78	          664 	
       79	          616 	
       80	          619 	
       81	          657 	
       82	          636 	
       83	          638 	
       84	          636 	
       85	          640 	
       86	          611 	
       87	          580 	
       88	          663 	
       89	          617 	
       90	          621 	
       91	          649 	
       92	          645 	
       93	          652 	
       94	          616 	
       95	          629 	
       96	          642 	
       97	          642 	
       98	          642 	
       99	          594 	
      100	          611 	
      101	          634 	
      102	          635 	
      103	          622 	
      104	          644 	
      105	          607 	
      106	          602 	
      107	          620 	
      108	          620 	
      109	          656 	
      110	          657 	
      111	          621 	
      112	          645 	
      113	          661 	
      114	          644 	
      115	          594 	
      116	          636 	
      117	          661 	
      118	          625 	
      119	          627 	
      120	          655 	
      121	          631 	
      122	          632 	
      123	          612 	
      124	          649 	
      125	          668 	
      126	          628 	
      127	          607 	
      128	          628 	
      129	          571 	
      130	          619 	
      131	          617 	
      132	          650 	
      133	          631 	
      134	          645 	
      135	          643 	
      136	          595 	
      137	          562 	
      138	          682 	
      139	          621 	
      140	          646 	
      141	          605 	
      142	          645 	
      143	          606 	
      144	          629 	
      145	          571 	
      146	          617 	
      147	          638 	
      148	          622 	
      149	          612 	
      150	          632 	
      151	          639 	
      152	          648 	
      153	          620 	
      154	          638 	
      155	          633 	
      156	          628 	
      157	          593 	
      158	          634 	
      159	          614 	
      160	          649 	
      161	          608 	
      162	          622 	
      163	          648 	
      164	          679 	
      165	          650 	
      166	          634 	
      167	          607 	
      168	          641 	
      169	          589 	
      170	          630 	
      171	          632 	
      172	          584 	
      173	          623 	
      174	          613 	
      175	          656 	
      176	          591 	
      177	          652 	
      178	          669 	
      179	          639 	
      180	          613 	
      181	          639 	
      182	          618 	
      183	          632 	
      184	          664 	
      185	          611 	
      186	          670 	
      187	          673 	
      188	          595 	
      189	          729 	
      190	          648 	
      191	          574 	
      192	          676 	
      193	          611 	
      194	          592 	
      195	          642 	
      196	          646 	
      197	          659 	
      198	          623 	
      199	          574 	
      200	          603 	
      201	          618 	
      202	          606 	
      203	          628 	
      204	          602 	
      205	          617 	
      206	          627 	
      207	          624 	
      208	          603 	
      209	          641 	
      210	          624 	
      211	          622 	
      212	          640 	
      213	          622 	
      214	          620 	
      215	          650 	
      216	          624 	
      217	          578 	
      218	          652 	
      219	          577 	
      220	          619 	
      221	          634 	
      222	          614 	
      223	          617 	
      224	          621 	
      225	          597 	
      226	          634 	
      227	          587 	
      228	          605 	
      229	          586 	
      230	          630 	
      231	          595 	
      232	          681 	
      233	          623 	
      234	          642 	
      235	          661 	
      236	          624 	
      237	          658 	
      238	          614 	
      239	          610 	
      240	          656 	
      241	          681 	
      242	          635 	
      243	          641 	
      244	          621 	
      245	          627 	
      246	          605 	
      247	          613 	
      248	          652 	
      249	          645 	
      250	          649 	
      251	          636 	
      252	          678 	
      253	          638 	
      254	          700 	
      255	          621 	
      256	          625 	
      257	          599 	
      258	          643 	
      259	          598 	
      260	          648 	
      261	          667 	
      262	          664 	
      263	          664 	
      264	          606 	
      265	          677 	
      266	          644 	
      267	          671 	
      268	          675 	
      269	          626 	
      270	          619 	
      271	          653 	
      272	          663 	
      273	          663 	
      274	          620 	
      275	          648 	
      276	          616 	
      277	          621 	
      278	          621 	
      279	          654 	
      280	          646 	
      281	          620 	
      282	          667 	
      283	          678 	
      284	          627 	
      285	          638 	
      286	          635 	
      287	          641 	
      288	          587 	
      289	          581 	
      290	          629 	
      291	          635 	
      292	          639 	
      293	          649 	
      294	          639 	
      295	          650 	
      296	          617 	
      297	          609 	
      298	          627 	
      299	          610 	
      300	          621 	
      301	          629 	
      302	          632 	
      303	          628 	
      304	          638 	
      305	          634 	
      306	          636 	
      307	          669 	
      308	          697 	
      309	          663 	
      310	          711 	
      311	          609 	
      312	          594 	
      313	          666 	
      314	          605 	
      315	          685 	
      316	          625 	
      317	          651 	
      318	          652 	
      319	          606 	
      320	          602 	
      321	          611 	
      322	          631 	
      323	          614 	
      324	          587 	
      325	          609 	
      326	          630 	
      327	          659 	
      328	          578 	
      329	          615 	
      330	          650 	
      331	          639 	
      332	          634 	
      333	          642 	
      334	          630 	
      335	          612 	
      336	          613 	
      337	          609 	
      338	          597 	
      339	          609 	
      340	          619 	
      341	          646 	
      342	          596 	
      343	          578 	
      344	          609 	
      345	          585 	
      346	          611 	
      347	          580 	
      348	          639 	
      349	          585 	
      350	          586 	
      351	          671 	
      352	          616 	
      353	          612 	
      354	          573 	
      355	          674 	
      356	          634 	
      357	          610 	
      358	          598 	
      359	          628 	
      360	          634 	
      361	          662 	
      362	          630 	
      363	          657 	
      364	          612 	
      365	          651 	
      366	          619 	
      367	          627 	
      368	          617 	
      369	          632 	
      370	          637 	
      371	          615 	
      372	          644 	
      373	          611 	
      374	          594 	
      375	          628 	
      376	          634 	
      377	          638 	
      378	          612 	
      379	          626 	
      380	          604 	
      381	          655 	
      382	          671 	
      383	          643 	
      384	          592 	
      385	          665 	
      386	          632 	
      387	          665 	
      388	          620 	
      389	          625 	
      390	          633 	
      391	          692 	
      392	          597 	
      393	          645 	
      394	          648 	
      395	          643 	
      396	          650 	
      397	          665 	
      398	          633 	
      399	          629 	
      400	          668 	
      401	          694 	
      402	          650 	
      403	          643 	
      404	          663 	
      405	          612 	
      406	          669 	
      407	          625 	
      408	          617 	
      409	          631 	
      410	          625 	
      411	          673 	
      412	          619 	
      413	          609 	
      414	          621 	
      415	          645 	
      416	          631 	
      417	          622 	
      418	          628 	
      419	          643 	
      420	          656 	
      421	          666 	
      422	          582 	
      423	          639 	
      424	          606 	
      425	          596 	
      426	          610 	
      427	          627 	
      428	          663 	
      429	          668 	
      430	          607 	
      431	          654 	
      432	          656 	
      433	          628 	
      434	          620 	
      435	          619 	
      436	          660 	
      437	          663 	
      438	          652 	
      439	          646 	
      440	          664 	
      441	          590 	
      442	          604 	
      443	          597 	
      444	          604 	
      445	          645 	
      446	          668 	
      447	          645 	
      448	          595 	
      449	          653 	
      450	          629 	
      451	          634 	
      452	          602 	
      453	          647 	
      454	          638 	
      455	          644 	
      456	          614 	
      457	          689 	
      458	          656 	
      459	          625 	
      460	          598 	
      461	          645 	
      462	          664 	
      463	          610 	
      464	          617 	
      465	          670 	
      466	          607 	
      467	          627 	
      468	          618 	
      469	          677 	
      470	          634 	
      471	          606 	
      472	          676 	
      473	          636 	
      474	          614 	
      475	          636 	
      476	          668 	
      477	          626 	
      478	          631 	
      479	          665 	
      480	          604 	
      481	          636 	
      482	          682 	
      483	          649 	
      484	          603 	
      485	          636 	
      486	          653 	
      487	          591 	
      488	          632 	
      489	          669 	
      490	          604 	
      491	          613 	
      492	          625 	
      493	          591 	
      494	          598 	
      495	          625 	
      496	          644 	
      497	          672 	
      498	          651 	
      499	          651 	
      500	          596 	
      501	          571 	
      502	          666 	
      503	          641 	
      504	          633 	
      505	          647 	
      506	          626 	
