Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-29
Time (HH:MM:SS):	14:41:51
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          668 	
        2	          633 	
        3	          679 	
        4	          626 	
        5	          599 	
        6	          713 	
        7	          660 	
        8	          709 	
        9	          636 	
       10	          691 	
       11	          654 	
       12	          644 	
       13	          676 	
       14	          674 	
       15	          682 	
       16	          692 	
       17	          654 	
       18	          644 	
       19	          628 	
       20	          664 	
       21	          676 	
       22	          720 	
       23	          647 	
       24	          690 	
       25	          650 	
       26	          650 	
       27	          676 	
       28	          687 	
       29	          666 	
       30	          681 	
       31	          672 	
       32	          645 	
       33	          661 	
       34	          679 	
       35	          694 	
       36	          714 	
       37	          687 	
       38	          645 	
       39	          670 	
       40	          642 	
       41	          628 	
       42	          677 	
       43	          689 	
       44	          687 	
       45	          658 	
       46	          667 	
       47	          666 	
       48	          596 	
       49	          667 	
       50	          700 	
       51	          682 	
       52	          665 	
       53	          676 	
       54	          676 	
       55	          641 	
       56	          674 	
       57	          596 	
       58	          617 	
       59	          653 	
       60	          673 	
       61	          641 	
       62	          664 	
       63	          683 	
       64	          683 	
       65	          699 	
       66	          662 	
       67	          691 	
       68	          667 	
       69	          664 	
       70	          670 	
       71	          699 	
       72	          639 	
       73	          656 	
       74	          644 	
       75	          654 	
       76	          664 	
       77	          716 	
       78	          672 	
       79	          647 	
       80	          657 	
       81	          645 	
       82	          703 	
       83	          662 	
       84	          667 	
       85	          683 	
       86	          676 	
       87	          658 	
       88	          678 	
       89	          694 	
       90	          652 	
       91	          631 	
       92	          710 	
       93	          688 	
       94	          653 	
       95	          639 	
       96	          670 	
       97	          630 	
       98	          677 	
       99	          689 	
      100	          651 	
      101	          645 	
      102	          679 	
      103	          648 	
      104	          670 	
      105	          666 	
      106	          659 	
      107	          645 	
      108	          678 	
      109	          664 	
      110	          669 	
      111	          655 	
      112	          648 	
      113	          651 	
      114	          699 	
      115	          658 	
      116	          706 	
      117	          710 	
      118	          672 	
      119	          737 	
      120	          671 	
      121	          683 	
      122	          648 	
      123	          699 	
      124	          705 	
      125	          714 	
      126	          678 	
      127	          619 	
      128	          652 	
      129	          691 	
      130	          667 	
      131	          641 	
      132	          667 	
      133	          666 	
      134	          721 	
      135	          639 	
