Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-29
Time (HH:MM:SS):	14:14:21
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           27 	
        2	           28 	
        3	           28 	
        4	           30 	
        5	           25 	
        6	           25 	
        7	           30 	
        8	           33 	
        9	           33 	
       10	           23 	
       11	           31 	
       12	           32 	
       13	           26 	
       14	           30 	
       15	           28 	
       16	           33 	
       17	           36 	
       18	           33 	
       19	           27 	
       20	           30 	
       21	           18 	
       22	           33 	
       23	           33 	
       24	           38 	
       25	           21 	
       26	           45 	
       27	           27 	
       28	           24 	
       29	           31 	
       30	           25 	
       31	           35 	
       32	           35 	
       33	           31 	
       34	           19 	
       35	           29 	
       36	           38 	
       37	           31 	
       38	           35 	
       39	           31 	
       40	           36 	
       41	           26 	
       42	           36 	
       43	           31 	
       44	           26 	
       45	           24 	
       46	           28 	
       47	           25 	
       48	           33 	
       49	           22 	
       50	           23 	
       51	           28 	
       52	           30 	
       53	           29 	
       54	           35 	
       55	           35 	
       56	           24 	
       57	           23 	
       58	           34 	
       59	           32 	
       60	           32 	
       61	           38 	
       62	           28 	
       63	           35 	
       64	           32 	
       65	           24 	
       66	           43 	
       67	           29 	
       68	           38 	
       69	           28 	
       70	           31 	
       71	           33 	
       72	           23 	
       73	           27 	
       74	           40 	
       75	           24 	
       76	           24 	
       77	           22 	
       78	           29 	
       79	           31 	
       80	           23 	
       81	           32 	
       82	           37 	
       83	           31 	
       84	           40 	
       85	           30 	
       86	           34 	
       87	           29 	
       88	           32 	
       89	           18 	
       90	           30 	
       91	           39 	
       92	           25 	
       93	           39 	
       94	           38 	
       95	           37 	
       96	           40 	
       97	           25 	
       98	           29 	
       99	           25 	
      100	           32 	
      101	           35 	
      102	           30 	
      103	           25 	
      104	           20 	
      105	           32 	
      106	           33 	
      107	           26 	
      108	           35 	
      109	           31 	
      110	           35 	
      111	           29 	
      112	           35 	
      113	           24 	
      114	           24 	
      115	           33 	
      116	           27 	
      117	           37 	
      118	           32 	
      119	           31 	
      120	           23 	
      121	           28 	
      122	           31 	
      123	           32 	
      124	           27 	
      125	           34 	
      126	           28 	
      127	           30 	
      128	           42 	
      129	           25 	
      130	           26 	
      131	           37 	
      132	           29 	
      133	           34 	
      134	           29 	
      135	           24 	
      136	           31 	
      137	           26 	
      138	           27 	
      139	           28 	
      140	           21 	
      141	           15 	
      142	           35 	
      143	           37 	
      144	           35 	
      145	           43 	
      146	           30 	
      147	           22 	
      148	           28 	
      149	           31 	
      150	           30 	
      151	           24 	
      152	           24 	
      153	           28 	
      154	           37 	
      155	           25 	
      156	           32 	
      157	           29 	
      158	           30 	
      159	           34 	
      160	           33 	
      161	           36 	
      162	           39 	
      163	           27 	
      164	           21 	
      165	           30 	
      166	           26 	
      167	           25 	
      168	           34 	
      169	           17 	
      170	           30 	
      171	           19 	
      172	           32 	
      173	           31 	
      174	           34 	
      175	           49 	
      176	           26 	
      177	           41 	
      178	           36 	
      179	           31 	
      180	           18 	
      181	           37 	
      182	           38 	
      183	           28 	
      184	           28 	
      185	           21 	
      186	           21 	
      187	           31 	
      188	           34 	
      189	           31 	
      190	           28 	
      191	           32 	
      192	           21 	
      193	           39 	
      194	           27 	
      195	           23 	
      196	           29 	
      197	           28 	
      198	           32 	
      199	           30 	
      200	           26 	
      201	           27 	
      202	           31 	
      203	           16 	
      204	           30 	
