Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	14:28:00
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            5 	
        2	            7 	
        3	           10 	
        4	            8 	
        5	           10 	
        6	            6 	
        7	            6 	
        8	           15 	
        9	            5 	
       10	            5 	
       11	            8 	
       12	            6 	
       13	            7 	
       14	            8 	
       15	            7 	
       16	            9 	
       17	            4 	
       18	            2 	
       19	            8 	
       20	            8 	
       21	            6 	
       22	            7 	
       23	            5 	
       24	           11 	
       25	            5 	
       26	            2 	
       27	            5 	
       28	            5 	
       29	            6 	
       30	            5 	
       31	            7 	
       32	           11 	
       33	           10 	
       34	            4 	
       35	            5 	
       36	           11 	
       37	           11 	
       38	            7 	
       39	           13 	
       40	            1 	
       41	           12 	
       42	            6 	
       43	           10 	
       44	            6 	
       45	           16 	
       46	            6 	
       47	            6 	
       48	           11 	
       49	            7 	
       50	           11 	
       51	           10 	
       52	           10 	
       53	            9 	
       54	            9 	
       55	            8 	
       56	            3 	
       57	           10 	
       58	            8 	
       59	            7 	
       60	            5 	
       61	            6 	
       62	            9 	
       63	            7 	
       64	            8 	
       65	            4 	
       66	            7 	
       67	            8 	
       68	            7 	
       69	            4 	
       70	            8 	
       71	            6 	
       72	           10 	
       73	            9 	
       74	            9 	
       75	           11 	
       76	           10 	
       77	           13 	
       78	            5 	
       79	            4 	
       80	            7 	
       81	           13 	
       82	            7 	
       83	           11 	
       84	            7 	
       85	           11 	
       86	            7 	
       87	           10 	
       88	            5 	
       89	            8 	
       90	           11 	
       91	            5 	
       92	            7 	
       93	            5 	
       94	           14 	
       95	            5 	
       96	            5 	
       97	            6 	
       98	            8 	
       99	            5 	
      100	            5 	
      101	            4 	
      102	            6 	
      103	            5 	
      104	            8 	
      105	            5 	
      106	            6 	
      107	            9 	
      108	            9 	
      109	           10 	
      110	            7 	
      111	            6 	
      112	            7 	
      113	            8 	
      114	            5 	
      115	            7 	
      116	            4 	
      117	            8 	
      118	            8 	
      119	            7 	
      120	            7 	
      121	            8 	
      122	            8 	
      123	            9 	
      124	            7 	
      125	            4 	
      126	            9 	
      127	            7 	
      128	            6 	
      129	            5 	
      130	            8 	
      131	            7 	
      132	            8 	
      133	           11 	
      134	            8 	
      135	            9 	
      136	           10 	
      137	            6 	
      138	            9 	
      139	            6 	
      140	           11 	
      141	           10 	
      142	            4 	
      143	            6 	
      144	            9 	
      145	            7 	
      146	            6 	
      147	           12 	
      148	            9 	
      149	            7 	
      150	            5 	
      151	            8 	
      152	            3 	
      153	            5 	
      154	            5 	
      155	            8 	
      156	            6 	
      157	            7 	
      158	           10 	
      159	            4 	
      160	           11 	
      161	            3 	
      162	            5 	
      163	            7 	
      164	            8 	
      165	            6 	
      166	            7 	
      167	            3 	
      168	            8 	
      169	            5 	
      170	            9 	
      171	           10 	
      172	            5 	
      173	            8 	
      174	            2 	
      175	           16 	
      176	           10 	
      177	            5 	
      178	           13 	
      179	            9 	
      180	            8 	
      181	           10 	
      182	           10 	
      183	           12 	
      184	           10 	
      185	            8 	
      186	            9 	
      187	            8 	
      188	            7 	
      189	            6 	
      190	            9 	
      191	            9 	
      192	           10 	
      193	            4 	
      194	            7 	
      195	            9 	
      196	            9 	
      197	            8 	
      198	            6 	
      199	           12 	
      200	            6 	
      201	            2 	
      202	            5 	
      203	            9 	
      204	           12 	
      205	            7 	
      206	            5 	
      207	            8 	
      208	            5 	
      209	           10 	
      210	            7 	
      211	            8 	
      212	            8 	
      213	           10 	
      214	            9 	
      215	            8 	
      216	            8 	
      217	           10 	
      218	            8 	
      219	           11 	
      220	            7 	
      221	            8 	
      222	            9 	
      223	            5 	
      224	            6 	
      225	            7 	
      226	            7 	
      227	           13 	
      228	           11 	
      229	            7 	
      230	            5 	
      231	            5 	
      232	            9 	
      233	            7 	
      234	            6 	
      235	            7 	
      236	           10 	
      237	            9 	
      238	            7 	
      239	            8 	
      240	           16 	
      241	            4 	
      242	           11 	
      243	            2 	
      244	            3 	
      245	            8 	
      246	           11 	
      247	           11 	
      248	           10 	
      249	            6 	
      250	            5 	
      251	            9 	
      252	            7 	
      253	            7 	
      254	           11 	
      255	           14 	
      256	            7 	
      257	            9 	
      258	            7 	
      259	           10 	
      260	            8 	
      261	            7 	
      262	           13 	
      263	            8 	
      264	            3 	
      265	            9 	
      266	            9 	
      267	           13 	
      268	            5 	
      269	            6 	
      270	            6 	
      271	            5 	
      272	            7 	
      273	            4 	
      274	            7 	
      275	            7 	
      276	            8 	
      277	            7 	
      278	            7 	
      279	            7 	
      280	            6 	
      281	            5 	
      282	            6 	
      283	            4 	
      284	            7 	
      285	            8 	
      286	            6 	
      287	            4 	
      288	            9 	
      289	           12 	
      290	            6 	
      291	            5 	
      292	            8 	
      293	           12 	
      294	            8 	
      295	           12 	
      296	           12 	
      297	           10 	
      298	            4 	
      299	            7 	
      300	            3 	
      301	            5 	
      302	           13 	
      303	            8 	
      304	            7 	
      305	            9 	
      306	            7 	
      307	            8 	
      308	            5 	
      309	            9 	
      310	            8 	
      311	            8 	
      312	            8 	
      313	            5 	
      314	            4 	
      315	            8 	
      316	            9 	
      317	            7 	
      318	            9 	
      319	            7 	
      320	            7 	
      321	           12 	
      322	            6 	
      323	            5 	
      324	            9 	
      325	            2 	
      326	            9 	
      327	            8 	
      328	            3 	
      329	            6 	
      330	           11 	
      331	           11 	
      332	           10 	
      333	            5 	
      334	           10 	
      335	           16 	
      336	            5 	
      337	            4 	
      338	            5 	
      339	           10 	
      340	           10 	
      341	           10 	
      342	            7 	
      343	            7 	
      344	            7 	
      345	            6 	
      346	           10 	
      347	            5 	
      348	            3 	
      349	           11 	
      350	            6 	
      351	           11 	
      352	           12 	
      353	            9 	
      354	            7 	
      355	           12 	
      356	           11 	
      357	            9 	
      358	           11 	
      359	            8 	
      360	            7 	
      361	            8 	
      362	            8 	
      363	            7 	
      364	           10 	
      365	            9 	
      366	           12 	
      367	            4 	
      368	            8 	
      369	            7 	
      370	            4 	
      371	           13 	
      372	            7 	
      373	            7 	
      374	            4 	
      375	            7 	
      376	            6 	
      377	            7 	
      378	            9 	
      379	            5 	
      380	            6 	
      381	           10 	
      382	            9 	
      383	           15 	
      384	           11 	
      385	            2 	
      386	           10 	
      387	            9 	
      388	            4 	
      389	            9 	
      390	           10 	
      391	            9 	
      392	            9 	
      393	            9 	
      394	            9 	
      395	            8 	
      396	            3 	
      397	            7 	
      398	            8 	
      399	            5 	
      400	            4 	
      401	            9 	
      402	            2 	
      403	            6 	
      404	           10 	
      405	            7 	
      406	            6 	
      407	            6 	
      408	            6 	
      409	            4 	
      410	            7 	
      411	            2 	
      412	           11 	
      413	            2 	
      414	            8 	
      415	            7 	
      416	            3 	
      417	           12 	
      418	            7 	
      419	           10 	
      420	            4 	
      421	            2 	
      422	            7 	
      423	           11 	
      424	           11 	
      425	            6 	
      426	            8 	
      427	            6 	
      428	            9 	
      429	            6 	
      430	            9 	
      431	            8 	
      432	            6 	
      433	            7 	
      434	           10 	
      435	            6 	
      436	            8 	
      437	            5 	
      438	            5 	
      439	            4 	
      440	            9 	
      441	            7 	
      442	            5 	
      443	           11 	
      444	            7 	
      445	           10 	
      446	            6 	
      447	            6 	
      448	            5 	
      449	            8 	
      450	           10 	
      451	            6 	
      452	            6 	
      453	            6 	
      454	            5 	
      455	            8 	
      456	            9 	
      457	            5 	
      458	            6 	
      459	           11 	
      460	           11 	
      461	            5 	
      462	            6 	
      463	           13 	
      464	            9 	
      465	           11 	
      466	            6 	
      467	            3 	
      468	           12 	
      469	            5 	
      470	            9 	
      471	            8 	
      472	            8 	
      473	            4 	
      474	            8 	
      475	            8 	
      476	            6 	
      477	            6 	
      478	           10 	
      479	            7 	
      480	            6 	
      481	            7 	
      482	           10 	
      483	            3 	
      484	            5 	
      485	            6 	
      486	            3 	
      487	           12 	
      488	           15 	
      489	            3 	
      490	           10 	
      491	            3 	
      492	            6 	
      493	            6 	
      494	            9 	
      495	            6 	
      496	            5 	
      497	            2 	
      498	            7 	
      499	            8 	
      500	           10 	
      501	            6 	
      502	            7 	
