Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	13:06:23
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          351 	
        2	          365 	
        3	          334 	
        4	          329 	
        5	          334 	
        6	          352 	
        7	          383 	
        8	          356 	
        9	          361 	
       10	          345 	
       11	          356 	
       12	          313 	
       13	          346 	
       14	          343 	
       15	          353 	
       16	          321 	
       17	          318 	
       18	          354 	
       19	          344 	
       20	          388 	
       21	          344 	
       22	          309 	
       23	          336 	
       24	          323 	
       25	          343 	
       26	          308 	
       27	          353 	
       28	          344 	
       29	          382 	
       30	          344 	
       31	          361 	
       32	          351 	
       33	          351 	
       34	          353 	
       35	          364 	
       36	          359 	
       37	          325 	
       38	          349 	
       39	          353 	
       40	          332 	
       41	          318 	
       42	          375 	
       43	          344 	
       44	          379 	
       45	          348 	
       46	          327 	
       47	          337 	
       48	          307 	
       49	          320 	
       50	          335 	
       51	          367 	
       52	          291 	
       53	          346 	
       54	          345 	
       55	          332 	
       56	          377 	
       57	          336 	
       58	          349 	
       59	          378 	
       60	          353 	
       61	          344 	
       62	          335 	
       63	          336 	
       64	          321 	
       65	          349 	
       66	          332 	
       67	          352 	
       68	          359 	
       69	          317 	
       70	          322 	
       71	          331 	
       72	          340 	
       73	          366 	
       74	          351 	
       75	          349 	
       76	          351 	
       77	          336 	
       78	          357 	
       79	          325 	
       80	          385 	
       81	          341 	
       82	          348 	
       83	          371 	
       84	          378 	
       85	          341 	
       86	          330 	
       87	          310 	
       88	          344 	
       89	          342 	
       90	          345 	
       91	          348 	
       92	          354 	
       93	          323 	
       94	          354 	
       95	          363 	
       96	          330 	
       97	          335 	
       98	          317 	
       99	          335 	
      100	          380 	
      101	          342 	
      102	          321 	
      103	          332 	
      104	          380 	
      105	          343 	
      106	          341 	
      107	          324 	
      108	          375 	
      109	          342 	
      110	          362 	
      111	          334 	
      112	          343 	
      113	          342 	
      114	          363 	
      115	          360 	
      116	          349 	
      117	          308 	
      118	          373 	
      119	          381 	
      120	          343 	
      121	          333 	
      122	          363 	
      123	          347 	
      124	          329 	
      125	          360 	
      126	          348 	
      127	          347 	
      128	          345 	
      129	          330 	
      130	          356 	
      131	          313 	
      132	          306 	
      133	          360 	
      134	          323 	
      135	          350 	
      136	          372 	
      137	          348 	
      138	          329 	
      139	          362 	
      140	          374 	
      141	          322 	
      142	          350 	
      143	          345 	
      144	          344 	
      145	          361 	
      146	          345 	
      147	          387 	
      148	          357 	
      149	          351 	
      150	          376 	
      151	          363 	
      152	          343 	
      153	          334 	
      154	          364 	
      155	          350 	
      156	          347 	
      157	          384 	
      158	          337 	
      159	          339 	
      160	          326 	
      161	          329 	
      162	          344 	
      163	          350 	
      164	          341 	
      165	          365 	
      166	          355 	
      167	          341 	
      168	          374 	
      169	          376 	
      170	          342 	
      171	          342 	
      172	          333 	
      173	          381 	
      174	          353 	
      175	          330 	
      176	          329 	
      177	          364 	
      178	          360 	
      179	          333 	
      180	          353 	
      181	          344 	
      182	          355 	
      183	          374 	
      184	          386 	
      185	          386 	
      186	          356 	
      187	          344 	
      188	          335 	
      189	          340 	
      190	          337 	
      191	          346 	
      192	          343 	
      193	          341 	
      194	          361 	
      195	          351 	
      196	          377 	
      197	          324 	
      198	          323 	
      199	          381 	
      200	          369 	
      201	          358 	
      202	          373 	
      203	          320 	
      204	          354 	
      205	          346 	
      206	          328 	
      207	          320 	
      208	          340 	
      209	          336 	
      210	          340 	
      211	          330 	
      212	          333 	
      213	          349 	
      214	          370 	
      215	          370 	
      216	          327 	
      217	          349 	
      218	          365 	
      219	          320 	
      220	          350 	
      221	          346 	
      222	          317 	
      223	          336 	
      224	          344 	
      225	          356 	
      226	          329 	
      227	          371 	
      228	          371 	
      229	          339 	
      230	          382 	
      231	          330 	
      232	          314 	
      233	          295 	
      234	          329 	
      235	          357 	
      236	          349 	
      237	          329 	
      238	          359 	
      239	          362 	
      240	          355 	
      241	          339 	
      242	          337 	
      243	          340 	
      244	          369 	
      245	          375 	
      246	          352 	
      247	          391 	
      248	          366 	
      249	          338 	
      250	          333 	
      251	          325 	
      252	          376 	
      253	          343 	
      254	          380 	
      255	          316 	
      256	          378 	
      257	          337 	
      258	          334 	
      259	          345 	
      260	          353 	
      261	          361 	
      262	          340 	
      263	          333 	
      264	          357 	
      265	          342 	
      266	          352 	
      267	          345 	
      268	          363 	
      269	          322 	
      270	          372 	
      271	          331 	
      272	          339 	
      273	          337 	
      274	          334 	
      275	          331 	
      276	          352 	
      277	          343 	
      278	          353 	
      279	          304 	
      280	          361 	
      281	          322 	
      282	          321 	
      283	          356 	
      284	          354 	
      285	          314 	
      286	          320 	
      287	          350 	
      288	          383 	
      289	          354 	
      290	          327 	
      291	          359 	
      292	          342 	
      293	          340 	
      294	          338 	
      295	          356 	
      296	          346 	
      297	          363 	
      298	          331 	
      299	          384 	
      300	          320 	
      301	          342 	
      302	          368 	
      303	          357 	
      304	          357 	
      305	          365 	
      306	          337 	
      307	          381 	
      308	          347 	
      309	          372 	
      310	          323 	
      311	          332 	
      312	          371 	
      313	          334 	
      314	          349 	
      315	          361 	
      316	          368 	
      317	          348 	
      318	          343 	
      319	          337 	
      320	          367 	
      321	          348 	
      322	          315 	
      323	          332 	
      324	          341 	
      325	          371 	
      326	          335 	
      327	          335 	
      328	          325 	
      329	          352 	
      330	          315 	
      331	          326 	
      332	          339 	
      333	          366 	
      334	          343 	
      335	          335 	
      336	          374 	
      337	          358 	
      338	          353 	
      339	          343 	
      340	          324 	
      341	          360 	
      342	          315 	
      343	          376 	
      344	          334 	
      345	          328 	
      346	          311 	
      347	          372 	
      348	          385 	
      349	          348 	
      350	          314 	
      351	          356 	
      352	          360 	
      353	          382 	
      354	          326 	
      355	          340 	
      356	          339 	
      357	          377 	
      358	          336 	
      359	          331 	
      360	          345 	
      361	          341 	
      362	          337 	
      363	          345 	
      364	          343 	
      365	          360 	
      366	          332 	
      367	          335 	
      368	          365 	
      369	          314 	
      370	          317 	
      371	          342 	
      372	          350 	
      373	          339 	
      374	          336 	
      375	          371 	
      376	          313 	
      377	          345 	
      378	          365 	
      379	          364 	
      380	          343 	
      381	          306 	
      382	          336 	
      383	          350 	
      384	          302 	
      385	          320 	
      386	          323 	
      387	          318 	
      388	          344 	
      389	          350 	
      390	          337 	
      391	          358 	
      392	          332 	
      393	          367 	
      394	          357 	
      395	          347 	
      396	          349 	
      397	          330 	
      398	          334 	
      399	          360 	
      400	          370 	
      401	          327 	
      402	          329 	
      403	          349 	
      404	          359 	
      405	          345 	
      406	          316 	
      407	          333 	
      408	          338 	
      409	          347 	
      410	          322 	
      411	          274 	
      412	          355 	
      413	          342 	
      414	          351 	
      415	          350 	
      416	          364 	
      417	          384 	
      418	          360 	
      419	          343 	
      420	          370 	
      421	          350 	
      422	          363 	
      423	          341 	
      424	          365 	
      425	          363 	
      426	          374 	
      427	          344 	
      428	          362 	
      429	          338 	
      430	          312 	
      431	          330 	
      432	          350 	
      433	          319 	
      434	          356 	
      435	          344 	
      436	          332 	
      437	          324 	
      438	          335 	
      439	          355 	
      440	          347 	
      441	          308 	
      442	          327 	
      443	          360 	
      444	          358 	
      445	          357 	
      446	          346 	
      447	          368 	
      448	          336 	
      449	          365 	
      450	          329 	
      451	          325 	
      452	          332 	
      453	          356 	
      454	          370 	
      455	          354 	
      456	          353 	
      457	          340 	
      458	          337 	
      459	          366 	
      460	          366 	
      461	          343 	
      462	          346 	
      463	          322 	
      464	          336 	
      465	          339 	
      466	          335 	
      467	          316 	
      468	          324 	
      469	          356 	
      470	          332 	
      471	          332 	
      472	          347 	
      473	          302 	
      474	          352 	
      475	          329 	
      476	          351 	
      477	          348 	
      478	          345 	
      479	          382 	
      480	          325 	
      481	          326 	
      482	          353 	
      483	          343 	
      484	          312 	
      485	          377 	
      486	          354 	
      487	          362 	
      488	          393 	
      489	          302 	
      490	          346 	
      491	          370 	
      492	          339 	
      493	          340 	
      494	          349 	
      495	          338 	
      496	          311 	
      497	          367 	
      498	          391 	
      499	          324 	
      500	          316 	
      501	          319 	
      502	          355 	
      503	          332 	
      504	          343 	
      505	          346 	
