Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	15:05:23
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           59 	
        2	           68 	
        3	           70 	
        4	           71 	
        5	           64 	
        6	           68 	
        7	           47 	
        8	           67 	
        9	           62 	
       10	           57 	
       11	           78 	
       12	           67 	
       13	           74 	
       14	           63 	
       15	           85 	
       16	           78 	
       17	           83 	
       18	           75 	
       19	           74 	
       20	           56 	
       21	           63 	
       22	           55 	
       23	           48 	
       24	           70 	
       25	           61 	
       26	           67 	
       27	           71 	
       28	           62 	
       29	           64 	
       30	           69 	
       31	           66 	
       32	           63 	
       33	           68 	
       34	           73 	
       35	           73 	
       36	           63 	
       37	           55 	
       38	           64 	
       39	           61 	
       40	           64 	
       41	           70 	
       42	           75 	
       43	           56 	
       44	           59 	
       45	           62 	
       46	           70 	
       47	           67 	
       48	           58 	
       49	           61 	
       50	           64 	
       51	           60 	
       52	           61 	
       53	           82 	
       54	           53 	
       55	           57 	
       56	           61 	
       57	           74 	
       58	           76 	
       59	           78 	
       60	           62 	
       61	           59 	
       62	           52 	
       63	           74 	
       64	           52 	
       65	           72 	
       66	           81 	
       67	           70 	
       68	           58 	
       69	           69 	
       70	           53 	
       71	           68 	
       72	           69 	
       73	           59 	
       74	           68 	
       75	           79 	
       76	           58 	
       77	           53 	
       78	           69 	
       79	           70 	
       80	           55 	
       81	           57 	
       82	           54 	
       83	           70 	
       84	           65 	
       85	           71 	
       86	           62 	
       87	           63 	
       88	           55 	
       89	           61 	
       90	           57 	
       91	           56 	
       92	           69 	
       93	           67 	
       94	           73 	
       95	           58 	
       96	           59 	
       97	           59 	
       98	           64 	
       99	           75 	
      100	           47 	
      101	           72 	
      102	           47 	
      103	           61 	
      104	           66 	
      105	           58 	
      106	           66 	
      107	           54 	
      108	           64 	
      109	           56 	
      110	           62 	
      111	           49 	
      112	           57 	
      113	           58 	
      114	           55 	
      115	           65 	
      116	           64 	
      117	           57 	
      118	           64 	
      119	           55 	
      120	           55 	
      121	           62 	
      122	           62 	
      123	           65 	
      124	           50 	
      125	           54 	
      126	           64 	
      127	           67 	
      128	           81 	
      129	           76 	
      130	           39 	
      131	           70 	
      132	           53 	
      133	           70 	
      134	           62 	
      135	           65 	
      136	           56 	
      137	           81 	
      138	           66 	
      139	           71 	
      140	           60 	
      141	           57 	
      142	           80 	
      143	           65 	
      144	           70 	
      145	           53 	
      146	           60 	
      147	           56 	
      148	           74 	
      149	           63 	
      150	           77 	
      151	           61 	
      152	           65 	
      153	           58 	
      154	           56 	
      155	           64 	
      156	           57 	
      157	           59 	
      158	           65 	
      159	           53 	
      160	           60 	
      161	           55 	
      162	           71 	
      163	           66 	
      164	           52 	
      165	           65 	
      166	           51 	
      167	           71 	
      168	           53 	
      169	           70 	
      170	           53 	
      171	           75 	
      172	           63 	
      173	           57 	
      174	           56 	
      175	           65 	
      176	           71 	
      177	           65 	
      178	           49 	
      179	           81 	
      180	           66 	
      181	           62 	
      182	           66 	
      183	           60 	
      184	           57 	
      185	           60 	
      186	           50 	
      187	           78 	
      188	           47 	
      189	           72 	
      190	           66 	
      191	           58 	
      192	           74 	
      193	           63 	
      194	           71 	
      195	           54 	
      196	           73 	
      197	           55 	
      198	           55 	
      199	           65 	
      200	           56 	
      201	           74 	
      202	           62 	
      203	           57 	
      204	           67 	
      205	           57 	
      206	           70 	
      207	           53 	
      208	           66 	
      209	           59 	
      210	           61 	
      211	           62 	
      212	           67 	
      213	           57 	
      214	           71 	
      215	           64 	
      216	           68 	
      217	           65 	
      218	           52 	
      219	           61 	
      220	           63 	
      221	           66 	
      222	           71 	
      223	           59 	
      224	           58 	
      225	           68 	
      226	           78 	
      227	           55 	
      228	           45 	
      229	           52 	
      230	           69 	
      231	           51 	
      232	           71 	
      233	           69 	
      234	           65 	
      235	           63 	
      236	           70 	
      237	           68 	
      238	           49 	
      239	           57 	
      240	           75 	
      241	           70 	
      242	           64 	
      243	           63 	
      244	           54 	
      245	           66 	
      246	           60 	
      247	           48 	
      248	           68 	
      249	           63 	
      250	           48 	
      251	           61 	
      252	           59 	
      253	           55 	
      254	           49 	
      255	           44 	
      256	           58 	
      257	           64 	
      258	           64 	
      259	           50 	
      260	           62 	
      261	           62 	
      262	           62 	
      263	           64 	
      264	           60 	
      265	           53 	
      266	           50 	
