Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	15:14:08
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           18 	
        2	           32 	
        3	           42 	
        4	           31 	
        5	           23 	
        6	           24 	
        7	           18 	
        8	           32 	
        9	           31 	
       10	           22 	
       11	           29 	
       12	           23 	
       13	           25 	
       14	           25 	
       15	           23 	
       16	           22 	
       17	           22 	
       18	           31 	
       19	           36 	
       20	           22 	
       21	           23 	
       22	           16 	
       23	           20 	
       24	           19 	
       25	           15 	
       26	           26 	
       27	           25 	
       28	           21 	
       29	           32 	
       30	           29 	
       31	           24 	
       32	           22 	
       33	           28 	
       34	           20 	
       35	           25 	
       36	           20 	
       37	           38 	
       38	           27 	
       39	           23 	
       40	           30 	
       41	           27 	
       42	           28 	
       43	           19 	
       44	           32 	
       45	           16 	
       46	           22 	
       47	           17 	
       48	           27 	
       49	           20 	
       50	           26 	
       51	           28 	
       52	           31 	
       53	           34 	
       54	           34 	
       55	           25 	
       56	           28 	
       57	           23 	
       58	           18 	
       59	           21 	
       60	           41 	
       61	           28 	
       62	           21 	
       63	           37 	
       64	           31 	
       65	           27 	
       66	           33 	
       67	           25 	
       68	           27 	
       69	           24 	
       70	           27 	
       71	           25 	
       72	           25 	
       73	           20 	
       74	           24 	
       75	           19 	
       76	           22 	
       77	           22 	
       78	           19 	
       79	           27 	
       80	           33 	
       81	           27 	
       82	           16 	
       83	           28 	
       84	           30 	
       85	           23 	
       86	           23 	
       87	           13 	
       88	           15 	
       89	           26 	
       90	           28 	
       91	           17 	
       92	           28 	
       93	           21 	
       94	           27 	
       95	           24 	
       96	           23 	
       97	           20 	
       98	           32 	
       99	           25 	
      100	           24 	
      101	           23 	
      102	           22 	
      103	           20 	
      104	           12 	
      105	           27 	
      106	           28 	
      107	           23 	
      108	           25 	
      109	           36 	
      110	           28 	
      111	           22 	
      112	           18 	
      113	           22 	
      114	           19 	
      115	           33 	
      116	           22 	
      117	           18 	
      118	           19 	
      119	           28 	
      120	           34 	
      121	           32 	
      122	           34 	
      123	           21 	
      124	           18 	
      125	           22 	
      126	           25 	
      127	           25 	
      128	           21 	
      129	           24 	
      130	           33 	
      131	           22 	
      132	           23 	
      133	           22 	
      134	           26 	
      135	           25 	
      136	           22 	
      137	           24 	
      138	           21 	
      139	           15 	
      140	           31 	
      141	           25 	
      142	           28 	
      143	           22 	
      144	           24 	
      145	           25 	
      146	           22 	
      147	           29 	
      148	           22 	
      149	           22 	
      150	           21 	
      151	           26 	
      152	           31 	
      153	           17 	
      154	           30 	
      155	           11 	
      156	           20 	
      157	           29 	
      158	           24 	
      159	           25 	
      160	           26 	
      161	           18 	
      162	           35 	
      163	           19 	
      164	           26 	
      165	           25 	
      166	           23 	
      167	           14 	
      168	           28 	
      169	           30 	
      170	           30 	
      171	           33 	
      172	           20 	
      173	           28 	
      174	           24 	
      175	           18 	
      176	           30 	
      177	           27 	
      178	           19 	
      179	           26 	
      180	           29 	
      181	           30 	
      182	           26 	
      183	           17 	
      184	           33 	
      185	           30 	
      186	           15 	
      187	           30 	
      188	           25 	
      189	           19 	
      190	           31 	
      191	           17 	
      192	           27 	
      193	           27 	
      194	           21 	
      195	           24 	
      196	           27 	
      197	           30 	
      198	           30 	
      199	           38 	
      200	           25 	
      201	           38 	
      202	           17 	
      203	           27 	
      204	           18 	
      205	           27 	
      206	           22 	
      207	           18 	
      208	           25 	
      209	           28 	
      210	           29 	
      211	           31 	
      212	           23 	
      213	           24 	
      214	           25 	
      215	           28 	
      216	           30 	
      217	           15 	
      218	           27 	
      219	           30 	
      220	           32 	
      221	           29 	
      222	           19 	
      223	           23 	
      224	           21 	
      225	           31 	
      226	           24 	
      227	           24 	
      228	           20 	
      229	           25 	
      230	           31 	
      231	           26 	
      232	           20 	
      233	           21 	
      234	           29 	
      235	           30 	
      236	           25 	
      237	           23 	
      238	           24 	
      239	           24 	
      240	           26 	
      241	           31 	
      242	           26 	
      243	           23 	
      244	           17 	
      245	           28 	
      246	           25 	
      247	           30 	
      248	           24 	
      249	           17 	
