Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-26
Time (HH:MM:SS):	14:02:07
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          187 	
        2	          165 	
        3	          195 	
        4	          221 	
        5	          225 	
        6	          211 	
        7	          189 	
        8	          199 	
        9	          229 	
       10	          213 	
       11	          218 	
       12	          192 	
       13	          215 	
       14	          212 	
       15	          215 	
       16	          210 	
       17	          186 	
       18	          199 	
       19	          191 	
       20	          187 	
       21	          177 	
       22	          175 	
       23	          203 	
       24	          214 	
       25	          199 	
       26	          188 	
       27	          192 	
       28	          168 	
       29	          197 	
       30	          191 	
       31	          197 	
       32	          200 	
       33	          197 	
       34	          180 	
       35	          199 	
       36	          193 	
       37	          214 	
       38	          180 	
       39	          185 	
       40	          185 	
       41	          188 	
       42	          200 	
       43	          177 	
       44	          162 	
       45	          220 	
       46	          202 	
       47	          219 	
       48	          196 	
       49	          203 	
       50	          219 	
       51	          192 	
       52	          209 	
       53	          175 	
       54	          197 	
       55	          212 	
       56	          228 	
       57	          193 	
       58	          225 	
       59	          192 	
       60	          199 	
       61	          183 	
       62	          198 	
       63	          211 	
       64	          189 	
       65	          177 	
       66	          198 	
       67	          193 	
       68	          177 	
       69	          190 	
       70	          188 	
       71	          191 	
       72	          193 	
       73	          206 	
       74	          188 	
       75	          165 	
       76	          205 	
       77	          201 	
       78	          209 	
       79	          196 	
       80	          193 	
       81	          173 	
       82	          204 	
       83	          197 	
       84	          240 	
       85	          211 	
       86	          208 	
       87	          184 	
       88	          187 	
       89	          207 	
       90	          202 	
       91	          223 	
       92	          197 	
       93	          181 	
       94	          207 	
       95	          210 	
       96	          181 	
       97	          202 	
       98	          180 	
       99	          163 	
      100	          217 	
      101	          175 	
      102	          192 	
      103	          183 	
      104	          183 	
      105	          195 	
      106	          217 	
      107	          202 	
      108	          189 	
      109	          214 	
      110	          190 	
      111	          216 	
      112	          209 	
      113	          206 	
      114	          187 	
      115	          208 	
      116	          182 	
      117	          198 	
      118	          197 	
      119	          188 	
      120	          206 	
      121	          182 	
      122	          222 	
      123	          180 	
      124	          218 	
      125	          182 	
      126	          196 	
      127	          201 	
      128	          240 	
      129	          203 	
      130	          208 	
      131	          164 	
      132	          179 	
      133	          194 	
      134	          177 	
      135	          190 	
      136	          188 	
      137	          172 	
      138	          160 	
      139	          216 	
      140	          173 	
      141	          176 	
      142	          195 	
      143	          197 	
      144	          205 	
      145	          205 	
      146	          221 	
      147	          178 	
      148	          186 	
      149	          218 	
      150	          204 	
      151	          216 	
      152	          181 	
      153	          219 	
      154	          209 	
      155	          207 	
      156	          216 	
      157	          203 	
      158	          192 	
      159	          202 	
      160	          219 	
      161	          204 	
      162	          212 	
      163	          204 	
      164	          174 	
      165	          221 	
      166	          177 	
      167	          209 	
      168	          168 	
      169	          176 	
      170	          220 	
      171	          194 	
      172	          173 	
      173	          187 	
      174	          214 	
      175	          195 	
      176	          199 	
      177	          213 	
      178	          192 	
      179	          190 	
      180	          225 	
      181	          210 	
      182	          199 	
      183	          183 	
      184	          223 	
      185	          192 	
      186	          201 	
      187	          190 	
      188	          173 	
      189	          183 	
      190	          201 	
      191	          172 	
      192	          195 	
      193	          214 	
      194	          189 	
      195	          215 	
      196	          195 	
      197	          169 	
      198	          188 	
      199	          183 	
      200	          198 	
      201	          178 	
      202	          182 	
      203	          211 	
      204	          208 	
      205	          181 	
      206	          200 	
      207	          183 	
      208	          203 	
      209	          206 	
      210	          197 	
      211	          226 	
      212	          209 	
      213	          215 	
      214	          219 	
      215	          200 	
      216	          199 	
      217	          201 	
      218	          187 	
      219	          180 	
      220	          171 	
      221	          184 	
      222	          212 	
      223	          184 	
      224	          182 	
      225	          201 	
      226	          194 	
      227	          195 	
      228	          212 	
      229	          193 	
      230	          178 	
      231	          206 	
      232	          200 	
      233	          192 	
      234	          210 	
      235	          178 	
      236	          228 	
      237	          200 	
      238	          190 	
      239	          194 	
      240	          184 	
      241	          227 	
      242	          192 	
      243	          180 	
      244	          212 	
      245	          200 	
      246	          204 	
      247	          183 	
      248	          192 	
      249	          231 	
      250	          196 	
      251	          201 	
      252	          190 	
      253	          199 	
      254	          181 	
      255	          208 	
      256	          226 	
      257	          188 	
      258	          210 	
      259	          187 	
      260	          203 	
      261	          215 	
      262	          217 	
      263	          195 	
      264	          209 	
      265	          194 	
      266	          194 	
      267	          181 	
      268	          165 	
      269	          196 	
      270	          187 	
      271	          211 	
      272	          215 	
      273	          182 	
      274	          212 	
      275	          201 	
      276	          206 	
      277	          182 	
      278	          213 	
      279	          201 	
      280	          150 	
      281	          217 	
      282	          187 	
      283	          203 	
      284	          181 	
      285	          249 	
      286	          192 	
      287	          181 	
      288	          212 	
      289	          183 	
      290	          198 	
      291	          199 	
      292	          206 	
      293	          193 	
      294	          176 	
      295	          186 	
      296	          199 	
      297	          187 	
      298	          192 	
      299	          174 	
      300	          186 	
      301	          197 	
      302	          200 	
      303	          189 	
      304	          202 	
      305	          194 	
      306	          194 	
      307	          190 	
      308	          213 	
      309	          199 	
