Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-27
Time (HH:MM:SS):	13:04:00
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            6 	
        2	            5 	
        3	           10 	
        4	           10 	
        5	           12 	
        6	            6 	
        7	            9 	
        8	            7 	
        9	            8 	
       10	           11 	
       11	           10 	
       12	            8 	
       13	            5 	
       14	           12 	
       15	            5 	
       16	            9 	
       17	            6 	
       18	            4 	
       19	            9 	
       20	            6 	
       21	           10 	
       22	            6 	
       23	           10 	
       24	            5 	
       25	            8 	
       26	           12 	
       27	           12 	
       28	            4 	
       29	           11 	
       30	            6 	
       31	            4 	
       32	            8 	
       33	            9 	
       34	           11 	
       35	           14 	
       36	            8 	
       37	            7 	
       38	           10 	
       39	           17 	
       40	           11 	
       41	            3 	
       42	            8 	
       43	            8 	
       44	            9 	
       45	            6 	
       46	            9 	
       47	            5 	
       48	            9 	
       49	            8 	
       50	            9 	
       51	            7 	
       52	           13 	
       53	            7 	
       54	            6 	
       55	            9 	
       56	           12 	
       57	           12 	
       58	            8 	
       59	           11 	
       60	            3 	
       61	            7 	
       62	           10 	
       63	           11 	
       64	           16 	
       65	            8 	
       66	            9 	
       67	            9 	
       68	           11 	
       69	           15 	
       70	           13 	
       71	           10 	
       72	            5 	
       73	            6 	
       74	            7 	
       75	            3 	
       76	            9 	
       77	            9 	
       78	           11 	
       79	            7 	
       80	           13 	
       81	            6 	
       82	            7 	
       83	            9 	
       84	           11 	
       85	            6 	
       86	            5 	
       87	            9 	
       88	            6 	
       89	            9 	
       90	            8 	
       91	            8 	
       92	           10 	
       93	            8 	
       94	            7 	
       95	           12 	
       96	           15 	
       97	            9 	
       98	            5 	
       99	           12 	
      100	           10 	
      101	            4 	
      102	            9 	
      103	            8 	
      104	           11 	
      105	            9 	
      106	           12 	
      107	            3 	
      108	            7 	
      109	            5 	
      110	           11 	
      111	            5 	
      112	            7 	
      113	           11 	
      114	            9 	
      115	           11 	
      116	            4 	
      117	            8 	
      118	            3 	
      119	            8 	
      120	            9 	
      121	           10 	
      122	           12 	
      123	           10 	
      124	           13 	
      125	            8 	
      126	            2 	
      127	            9 	
      128	            9 	
      129	            6 	
      130	            4 	
      131	            6 	
      132	           10 	
      133	           13 	
      134	            9 	
      135	            6 	
      136	           12 	
      137	           16 	
      138	            9 	
      139	           13 	
      140	           11 	
      141	           12 	
      142	           10 	
      143	           10 	
      144	            6 	
      145	            6 	
      146	            7 	
      147	           14 	
      148	            5 	
      149	            5 	
      150	            8 	
      151	            6 	
      152	            7 	
      153	            7 	
      154	            8 	
      155	            5 	
      156	            6 	
      157	            7 	
      158	            8 	
      159	           16 	
      160	            7 	
      161	           12 	
      162	            9 	
      163	            8 	
      164	            8 	
      165	            7 	
      166	           13 	
      167	           10 	
      168	            7 	
      169	            7 	
      170	            7 	
      171	            6 	
      172	            9 	
      173	           13 	
      174	            7 	
      175	           10 	
      176	            4 	
      177	            5 	
      178	           10 	
      179	            8 	
      180	           11 	
      181	            3 	
      182	            9 	
      183	            8 	
      184	            9 	
      185	            8 	
      186	            2 	
      187	           16 	
      188	            8 	
      189	           12 	
      190	            9 	
      191	            7 	
      192	            8 	
      193	            9 	
      194	           12 	
      195	            7 	
      196	           21 	
