Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-27
Time (HH:MM:SS):	14:49:13
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          118 	
        2	           98 	
        3	           93 	
        4	          115 	
        5	           93 	
        6	           98 	
        7	          102 	
        8	           99 	
        9	           87 	
       10	           96 	
       11	           94 	
       12	           88 	
       13	           88 	
       14	           99 	
       15	          110 	
       16	           91 	
       17	           95 	
       18	           97 	
       19	          110 	
       20	          123 	
       21	          103 	
       22	           96 	
       23	          103 	
       24	          101 	
       25	          105 	
       26	          109 	
       27	          106 	
       28	          107 	
       29	          102 	
       30	          104 	
       31	          106 	
       32	          122 	
       33	           98 	
       34	          113 	
       35	          113 	
       36	          114 	
       37	          103 	
       38	           87 	
       39	           88 	
       40	          123 	
       41	          103 	
       42	          108 	
       43	          102 	
       44	          111 	
       45	           96 	
       46	          101 	
       47	          109 	
       48	           97 	
       49	          113 	
       50	          124 	
       51	          111 	
       52	           97 	
       53	          127 	
       54	          123 	
       55	           96 	
       56	           96 	
       57	          103 	
       58	          102 	
       59	           94 	
       60	          115 	
       61	          112 	
       62	           95 	
       63	          102 	
       64	          104 	
       65	          118 	
       66	          124 	
       67	           87 	
       68	          104 	
       69	           98 	
       70	          108 	
       71	          106 	
       72	          105 	
       73	          119 	
       74	          107 	
       75	          104 	
       76	          123 	
       77	           94 	
       78	          109 	
       79	          103 	
       80	           89 	
       81	          115 	
       82	          123 	
       83	          104 	
       84	          112 	
       85	          104 	
       86	          106 	
       87	          128 	
       88	          109 	
       89	          102 	
       90	          114 	
       91	          111 	
       92	          129 	
       93	          127 	
       94	          119 	
       95	          136 	
       96	          110 	
       97	          100 	
       98	          109 	
       99	          132 	
      100	          100 	
      101	          113 	
      102	          101 	
      103	           99 	
      104	          110 	
      105	          111 	
      106	          102 	
      107	           81 	
      108	           99 	
      109	          109 	
      110	          112 	
      111	          116 	
      112	          100 	
      113	          116 	
      114	           99 	
      115	           97 	
      116	          108 	
      117	          111 	
      118	           88 	
      119	          111 	
      120	          126 	
      121	          116 	
      122	           77 	
      123	          117 	
      124	          113 	
      125	          105 	
      126	           90 	
      127	          101 	
      128	          104 	
      129	          136 	
      130	          113 	
      131	          109 	
      132	          120 	
      133	           87 	
      134	           93 	
      135	          119 	
      136	          101 	
      137	           96 	
      138	          109 	
      139	          103 	
      140	           98 	
      141	          110 	
      142	          110 	
      143	          101 	
      144	           97 	
      145	           92 	
      146	          112 	
      147	          111 	
      148	          123 	
      149	          115 	
      150	          106 	
      151	          115 	
      152	          101 	
      153	          103 	
      154	          106 	
      155	          114 	
      156	          106 	
      157	           96 	
      158	           96 	
      159	          114 	
      160	          103 	
      161	           81 	
      162	           93 	
      163	          115 	
      164	          107 	
      165	          106 	
      166	          116 	
      167	          122 	
      168	          138 	
      169	          129 	
      170	          109 	
      171	          105 	
      172	           94 	
      173	          104 	
      174	          123 	
      175	          109 	
      176	          110 	
      177	          105 	
      178	          122 	
      179	          107 	
      180	           98 	
      181	          110 	
      182	           97 	
      183	           95 	
      184	          100 	
      185	          122 	
      186	          121 	
      187	          119 	
      188	          102 	
      189	          107 	
      190	          100 	
      191	          119 	
      192	          123 	
      193	          111 	
      194	          109 	
      195	          123 	
      196	           97 	
      197	          118 	
      198	          113 	
      199	          109 	
      200	          114 	
