Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	12:52:26
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          151 	
        2	          164 	
        3	          155 	
        4	          139 	
        5	          157 	
        6	          139 	
        7	          147 	
        8	          165 	
        9	          164 	
       10	          142 	
       11	          163 	
       12	          153 	
       13	          177 	
       14	          149 	
       15	          180 	
       16	          170 	
       17	          159 	
       18	          151 	
       19	          159 	
       20	          158 	
       21	          165 	
       22	          154 	
       23	          171 	
       24	          163 	
       25	          146 	
       26	          159 	
       27	          148 	
       28	          176 	
       29	          158 	
       30	          154 	
       31	          158 	
       32	          165 	
       33	          154 	
       34	          156 	
       35	          154 	
       36	          161 	
       37	          173 	
       38	          147 	
       39	          127 	
       40	          147 	
       41	          179 	
       42	          149 	
       43	          174 	
       44	          114 	
       45	          189 	
       46	          127 	
       47	          166 	
       48	          162 	
       49	          171 	
       50	          184 	
       51	          132 	
       52	          168 	
       53	          137 	
       54	          169 	
       55	          168 	
       56	          152 	
       57	          166 	
       58	          179 	
       59	          139 	
       60	          173 	
       61	          152 	
       62	          136 	
       63	          158 	
       64	          149 	
       65	          165 	
       66	          177 	
       67	          151 	
       68	          134 	
       69	          170 	
       70	          145 	
       71	          132 	
       72	          175 	
       73	          147 	
       74	          148 	
       75	          153 	
       76	          156 	
       77	          170 	
       78	          162 	
       79	          171 	
       80	          135 	
       81	          158 	
       82	          171 	
       83	          148 	
       84	          161 	
       85	          135 	
       86	          152 	
       87	          157 	
       88	          157 	
       89	          154 	
       90	          161 	
       91	          153 	
       92	          146 	
       93	          155 	
       94	          159 	
       95	          172 	
       96	          153 	
       97	          161 	
       98	          159 	
       99	          153 	
      100	          161 	
      101	          145 	
      102	          164 	
      103	          145 	
      104	          150 	
      105	          157 	
      106	          177 	
      107	          178 	
      108	          171 	
      109	          151 	
      110	          182 	
      111	          177 	
      112	          142 	
      113	          158 	
      114	          135 	
      115	          157 	
      116	          184 	
      117	          160 	
      118	          143 	
      119	          162 	
      120	          162 	
      121	          144 	
      122	          167 	
      123	          168 	
      124	          156 	
      125	          167 	
      126	          155 	
      127	          144 	
      128	          155 	
      129	          143 	
      130	          133 	
      131	          161 	
      132	          164 	
      133	          156 	
      134	          161 	
      135	          179 	
      136	          163 	
      137	          179 	
      138	          152 	
      139	          146 	
      140	          180 	
      141	          154 	
      142	          157 	
      143	          185 	
      144	          141 	
      145	          188 	
      146	          155 	
      147	          149 	
      148	          163 	
      149	          134 	
      150	          158 	
      151	          159 	
      152	          164 	
      153	          153 	
      154	          154 	
      155	          150 	
      156	          178 	
      157	          152 	
      158	          152 	
      159	          154 	
      160	          146 	
      161	          166 	
      162	          176 	
      163	          157 	
      164	          153 	
      165	          131 	
      166	          151 	
      167	          171 	
      168	          136 	
      169	          162 	
      170	          163 	
      171	          149 	
      172	          157 	
      173	          147 	
      174	          176 	
      175	          147 	
      176	          145 	
      177	          139 	
      178	          167 	
