Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	15:08:50
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           86 	
        2	           81 	
        3	           88 	
        4	           96 	
        5	           93 	
        6	           93 	
        7	          111 	
        8	           96 	
        9	           83 	
       10	           94 	
       11	          101 	
       12	           78 	
       13	           92 	
       14	           92 	
       15	           86 	
       16	          103 	
       17	          104 	
       18	           93 	
       19	           98 	
       20	           93 	
       21	           94 	
       22	           82 	
       23	           83 	
       24	           89 	
       25	           88 	
       26	           99 	
       27	           92 	
       28	           96 	
       29	          101 	
       30	           96 	
       31	          100 	
       32	           86 	
       33	          109 	
       34	          108 	
       35	           92 	
       36	           96 	
       37	           75 	
       38	           78 	
       39	           96 	
       40	           97 	
       41	           85 	
       42	           74 	
       43	           90 	
       44	           81 	
       45	          102 	
       46	           93 	
       47	           91 	
       48	           89 	
       49	           93 	
       50	           86 	
       51	           96 	
       52	          101 	
       53	           80 	
       54	          104 	
       55	           94 	
       56	           82 	
       57	           94 	
       58	           92 	
       59	           89 	
       60	           77 	
       61	           86 	
       62	           81 	
       63	           80 	
       64	           81 	
       65	           82 	
       66	           84 	
       67	           85 	
       68	           90 	
       69	           97 	
       70	           82 	
       71	           87 	
       72	           94 	
       73	           81 	
       74	           85 	
       75	           96 	
       76	           98 	
       77	           74 	
       78	           82 	
       79	          100 	
       80	           84 	
       81	           93 	
       82	           89 	
       83	           90 	
       84	           85 	
       85	           95 	
       86	           79 	
       87	           84 	
       88	           95 	
       89	           76 	
       90	           83 	
       91	           77 	
       92	           82 	
       93	           82 	
       94	           78 	
       95	           84 	
       96	           84 	
       97	           90 	
       98	           81 	
       99	           79 	
      100	           76 	
      101	          107 	
      102	           91 	
      103	          108 	
      104	           96 	
      105	          103 	
      106	          102 	
      107	           89 	
      108	           87 	
      109	           89 	
      110	           97 	
      111	           94 	
      112	           97 	
      113	           80 	
      114	           79 	
      115	           97 	
      116	          103 	
      117	          134 	
      118	           87 	
      119	           93 	
      120	           79 	
      121	           92 	
      122	          103 	
      123	           88 	
      124	           79 	
