Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	15:07:32
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           92 	
        2	          106 	
        3	          106 	
        4	          112 	
        5	           94 	
        6	          109 	
        7	          104 	
        8	          113 	
        9	          105 	
       10	          112 	
       11	          100 	
       12	          105 	
       13	          104 	
       14	          108 	
       15	           93 	
       16	           99 	
       17	           94 	
       18	           81 	
       19	          104 	
       20	          101 	
       21	          112 	
       22	          110 	
       23	           89 	
       24	          121 	
       25	          100 	
       26	           87 	
       27	           77 	
       28	           92 	
       29	          105 	
       30	          112 	
       31	          102 	
       32	           95 	
       33	           88 	
       34	           98 	
       35	          104 	
       36	           98 	
       37	          108 	
       38	          101 	
       39	           84 	
       40	           96 	
       41	          101 	
       42	          103 	
       43	          102 	
       44	           95 	
       45	           85 	
       46	           98 	
       47	           96 	
       48	          100 	
       49	           94 	
       50	          119 	
       51	          111 	
       52	          112 	
       53	          104 	
       54	           97 	
       55	          103 	
       56	           85 	
       57	          121 	
       58	           98 	
       59	           97 	
       60	          106 	
       61	           99 	
       62	           98 	
       63	           92 	
       64	          112 	
       65	           87 	
       66	          107 	
       67	          103 	
       68	           83 	
       69	           85 	
       70	          106 	
       71	          119 	
       72	          113 	
       73	          108 	
       74	          107 	
       75	           83 	
       76	           96 	
       77	          120 	
       78	           90 	
       79	           92 	
       80	           93 	
       81	          110 	
       82	          103 	
       83	          100 	
       84	          106 	
       85	          108 	
       86	          111 	
       87	           98 	
       88	          119 	
       89	          112 	
       90	          103 	
       91	          105 	
       92	           98 	
       93	           78 	
       94	           84 	
       95	          116 	
       96	           93 	
       97	          103 	
       98	          108 	
       99	           96 	
      100	          108 	
      101	          104 	
      102	           93 	
      103	           96 	
      104	          105 	
      105	          101 	
      106	          114 	
      107	          117 	
      108	          109 	
      109	           90 	
      110	          109 	
      111	           99 	
      112	          106 	
      113	           91 	
      114	          108 	
      115	          113 	
      116	          107 	
      117	           98 	
      118	           94 	
      119	          105 	
      120	          112 	
      121	           94 	
      122	           79 	
      123	          110 	
      124	          116 	
      125	          108 	
      126	          106 	
      127	           88 	
      128	          120 	
      129	           91 	
      130	           79 	
      131	          113 	
      132	          123 	
      133	           94 	
      134	           96 	
      135	          109 	
      136	           87 	
      137	          114 	
      138	          103 	
      139	           93 	
      140	           98 	
      141	          100 	
      142	           98 	
      143	          103 	
      144	           86 	
      145	           89 	
      146	          104 	
      147	          109 	
      148	           89 	
      149	          109 	
      150	           96 	
      151	          101 	
      152	          103 	
      153	          109 	
      154	          106 	
      155	          104 	
      156	           97 	
      157	          102 	
      158	           87 	
      159	          101 	
      160	          100 	
      161	          101 	
      162	          111 	
      163	           96 	
      164	          119 	
      165	           97 	
      166	          104 	
      167	           88 	
      168	           88 	
      169	          103 	
      170	          116 	
      171	          108 	
      172	          114 	
      173	          103 	
      174	           87 	
      175	          103 	
      176	          107 	
      177	          107 	
      178	          114 	
      179	          113 	
      180	          101 	
      181	           87 	
      182	          103 	
      183	           98 	
      184	          106 	
      185	          105 	
      186	          102 	
      187	           82 	
      188	          117 	
      189	          113 	
      190	          108 	
      191	          115 	
      192	          114 	
      193	           90 	
      194	           90 	
      195	          105 	
      196	          104 	
      197	           84 	
      198	          102 	
      199	           99 	
      200	          112 	
      201	          119 	
      202	          104 	
      203	           97 	
      204	          100 	
      205	           91 	
      206	           93 	
      207	           94 	
      208	           97 	
      209	          101 	
      210	           92 	
      211	          101 	
      212	           86 	
      213	          115 	
      214	           93 	
      215	          110 	
      216	          111 	
      217	          119 	
      218	          100 	
      219	           91 	
      220	           88 	
      221	          100 	
      222	          105 	
      223	           89 	
      224	           91 	
      225	           94 	
      226	           87 	
      227	          101 	
      228	           98 	
      229	          100 	
      230	          101 	
      231	           94 	
      232	          118 	
      233	          106 	
      234	          104 	
      235	          103 	
      236	          104 	
      237	           96 	
      238	          111 	
      239	          104 	
      240	          102 	
      241	          106 	
      242	           75 	
      243	           97 	
      244	          111 	
      245	          113 	
      246	          116 	
      247	          114 	
      248	           93 	
      249	           89 	
      250	          104 	
      251	          106 	
      252	           90 	
      253	          100 	
      254	          105 	
      255	           87 	
      256	           90 	
      257	          105 	
      258	           87 	
      259	          108 	
      260	           86 	
      261	          105 	
      262	           97 	
      263	          103 	
      264	           88 	
      265	           97 	
      266	          117 	
      267	           99 	
      268	           89 	
      269	          113 	
      270	           94 	
      271	           93 	
      272	           92 	
      273	          110 	
      274	          108 	
      275	           77 	
      276	           96 	
      277	          120 	
      278	          105 	
      279	           85 	
      280	           92 	
      281	           91 	
      282	          106 	
      283	           95 	
      284	           85 	
      285	           99 	
      286	          104 	
      287	          108 	
      288	          123 	
      289	           88 	
      290	          109 	
      291	           84 	
      292	           97 	
      293	          110 	
      294	          100 	
      295	          107 	
      296	           92 	
      297	          105 	
      298	          105 	
      299	           95 	
      300	          111 	
      301	           93 	
      302	          108 	
      303	           94 	
      304	          104 	
      305	          113 	
      306	           85 	
      307	          118 	
      308	          109 	
      309	           99 	
      310	           82 	
      311	          106 	
      312	          108 	
      313	           89 	
      314	          102 	
      315	           80 	
      316	          105 	
      317	           97 	
      318	          102 	
      319	          112 	
      320	          108 	
      321	           88 	
      322	           97 	
      323	          109 	
      324	          104 	
      325	           94 	
      326	           85 	
      327	           93 	
      328	          118 	
      329	           90 	
      330	          100 	
      331	           90 	
      332	           90 	
      333	           98 	
      334	          128 	
      335	           95 	
      336	           91 	
      337	           97 	
      338	           98 	
      339	           96 	
      340	          123 	
      341	          109 	
      342	          104 	
      343	          104 	
      344	          117 	
      345	          120 	
      346	          108 	
      347	           90 	
      348	           96 	
      349	          106 	
      350	          118 	
      351	          102 	
      352	          107 	
      353	           94 	
      354	          106 	
      355	           96 	
      356	          107 	
      357	          108 	
      358	          117 	
      359	           83 	
      360	          103 	
      361	          102 	
      362	          111 	
      363	          116 	
      364	          100 	
      365	          124 	
      366	           91 	
      367	           98 	
      368	          120 	
      369	          105 	
      370	          117 	
      371	           92 	
      372	          114 	
      373	           82 	
      374	          113 	
      375	          115 	
      376	           93 	
      377	           85 	
      378	           89 	
      379	          106 	
      380	          113 	
      381	           89 	
      382	           92 	
      383	          110 	
      384	          108 	
      385	           94 	
      386	           80 	
      387	           94 	
      388	           96 	
      389	          110 	
      390	          104 	
      391	           94 	
      392	          117 	
      393	           82 	
      394	          107 	
      395	           81 	
      396	           90 	
      397	           98 	
      398	          107 	
      399	           86 	
      400	          119 	
      401	           91 	
      402	           95 	
      403	          105 	
      404	          101 	
      405	           92 	
      406	           91 	
      407	          107 	
      408	          114 	
      409	          109 	
      410	           97 	
      411	           81 	
      412	           88 	
      413	           94 	
      414	          101 	
      415	           98 	
      416	          110 	
      417	           91 	
      418	           98 	
      419	          104 	
      420	          104 	
      421	          106 	
      422	          109 	
      423	          113 	
      424	           77 	
      425	          103 	
      426	          104 	
      427	          117 	
      428	           99 	
      429	           86 	
      430	          106 	
      431	           97 	
      432	          109 	
      433	          105 	
      434	          115 	
      435	          103 	
      436	           96 	
      437	           94 	
      438	          104 	
      439	          110 	
      440	           98 	
      441	          110 	
      442	          100 	
      443	          100 	
      444	           93 	
      445	          101 	
      446	          102 	
      447	           92 	
      448	           85 	
      449	          106 	
      450	           98 	
      451	          114 	
      452	          109 	
      453	          115 	
      454	          103 	
      455	           91 	
      456	          105 	
      457	           95 	
      458	           93 	
      459	          115 	
      460	           96 	
      461	          113 	
      462	          108 	
      463	          104 	
      464	          105 	
      465	           96 	
      466	          113 	
      467	           93 	
      468	          112 	
      469	          100 	
      470	           89 	
      471	          108 	
      472	           97 	
      473	          127 	
      474	           97 	
      475	          111 	
      476	          101 	
      477	          112 	
      478	           99 	
      479	           93 	
      480	           98 	
      481	          100 	
      482	           95 	
      483	           92 	
      484	           97 	
      485	          118 	
      486	           84 	
      487	          102 	
      488	           92 	
      489	           97 	
      490	          113 	
      491	           95 	
      492	          118 	
      493	           94 	
      494	          131 	
      495	          111 	
      496	          105 	
      497	          101 	
      498	           92 	
      499	           91 	
      500	          108 	
      501	          102 	
      502	          123 	
      503	          109 	
      504	          103 	
      505	          106 	
      506	          103 	
      507	           95 	
      508	          103 	
      509	          109 	
      510	          101 	
      511	          113 	
      512	          102 	
      513	           97 	
      514	           94 	
      515	          101 	
      516	          103 	
      517	           82 	
      518	          106 	
      519	          107 	
      520	          110 	
      521	          100 	
      522	          111 	
      523	           92 	
      524	          116 	
      525	          127 	
      526	          119 	
      527	          114 	
      528	          105 	
      529	           89 	
      530	           92 	
      531	           95 	
      532	          125 	
      533	          104 	
      534	          108 	
      535	          101 	
