Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	15:05:48
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           78 	
        2	           85 	
        3	           97 	
        4	           99 	
        5	          101 	
        6	           97 	
        7	           98 	
        8	           82 	
        9	           92 	
       10	           83 	
       11	           92 	
       12	           92 	
       13	           94 	
       14	           80 	
       15	           79 	
       16	           80 	
       17	           77 	
       18	           95 	
       19	           74 	
       20	           95 	
       21	           77 	
       22	           92 	
       23	           85 	
       24	           84 	
       25	           82 	
       26	           86 	
       27	           89 	
       28	           90 	
       29	           79 	
       30	           89 	
       31	           86 	
       32	           85 	
       33	           99 	
       34	           83 	
       35	           95 	
       36	           90 	
       37	           89 	
       38	           81 	
       39	           95 	
       40	           82 	
       41	           91 	
       42	           78 	
       43	           77 	
       44	           91 	
       45	           81 	
       46	           79 	
       47	           86 	
       48	           89 	
       49	           94 	
       50	          103 	
       51	           85 	
       52	           77 	
       53	           77 	
       54	           98 	
       55	          103 	
       56	           73 	
       57	           93 	
       58	           84 	
       59	           75 	
       60	           87 	
       61	           79 	
       62	           87 	
       63	           86 	
       64	           80 	
       65	           70 	
       66	           95 	
       67	           58 	
       68	           93 	
       69	           97 	
       70	           97 	
       71	           89 	
       72	           88 	
       73	           85 	
       74	          104 	
       75	           80 	
       76	           85 	
       77	           84 	
       78	          109 	
       79	           87 	
       80	           83 	
       81	           91 	
       82	           87 	
       83	           78 	
       84	           91 	
       85	           93 	
       86	           82 	
       87	           88 	
       88	           77 	
       89	           84 	
       90	           88 	
       91	           83 	
       92	           83 	
       93	           95 	
       94	           93 	
       95	           97 	
       96	           85 	
       97	           62 	
       98	           86 	
       99	           92 	
      100	           96 	
      101	           99 	
      102	           79 	
      103	           73 	
      104	           81 	
      105	           95 	
      106	           98 	
      107	           88 	
      108	           91 	
      109	           90 	
      110	           95 	
      111	           74 	
      112	           82 	
      113	           99 	
      114	           98 	
      115	           60 	
      116	           78 	
      117	           76 	
      118	           74 	
      119	           89 	
      120	           94 	
      121	           83 	
      122	           96 	
      123	           88 	
      124	           77 	
      125	           88 	
      126	           87 	
      127	           69 	
      128	           84 	
      129	           89 	
      130	           78 	
      131	           85 	
      132	          110 	
      133	           82 	
      134	           82 	
      135	           96 	
      136	           83 	
      137	           88 	
      138	           91 	
      139	           82 	
      140	           82 	
      141	           72 	
      142	           62 	
      143	           96 	
      144	           68 	
      145	           90 	
      146	           68 	
      147	          100 	
      148	           65 	
      149	           89 	
      150	           91 	
      151	           71 	
      152	           86 	
      153	           82 	
      154	           72 	
      155	           98 	
      156	           88 	
      157	           90 	
      158	          101 	
      159	           81 	
      160	           89 	
      161	           82 	
      162	           58 	
      163	           76 	
      164	           79 	
      165	           92 	
      166	           87 	
      167	           86 	
      168	           91 	
      169	           68 	
      170	           87 	
      171	           88 	
      172	           83 	
      173	           72 	
      174	           80 	
      175	           94 	
      176	           82 	
      177	           93 	
      178	           80 	
      179	           95 	
      180	           88 	
      181	           94 	
      182	           90 	
      183	           89 	
      184	           80 	
      185	           81 	
      186	           85 	
      187	           89 	
      188	           79 	
