Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	15:11:28
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           54 	
        2	           55 	
        3	           45 	
        4	           37 	
        5	           51 	
        6	           46 	
        7	           52 	
        8	           49 	
        9	           45 	
       10	           54 	
       11	           44 	
       12	           45 	
       13	           57 	
       14	           59 	
       15	           36 	
       16	           43 	
       17	           61 	
       18	           41 	
       19	           52 	
       20	           49 	
       21	           27 	
       22	           45 	
       23	           42 	
       24	           47 	
       25	           43 	
       26	           52 	
       27	           52 	
       28	           47 	
       29	           45 	
       30	           47 	
       31	           51 	
       32	           56 	
       33	           47 	
       34	           53 	
       35	           40 	
       36	           53 	
       37	           44 	
       38	           36 	
       39	           57 	
       40	           41 	
       41	           47 	
       42	           38 	
       43	           51 	
       44	           39 	
       45	           42 	
       46	           42 	
       47	           45 	
       48	           40 	
       49	           50 	
       50	           51 	
       51	           54 	
       52	           46 	
       53	           52 	
       54	           49 	
       55	           45 	
       56	           50 	
       57	           54 	
       58	           36 	
       59	           45 	
       60	           52 	
       61	           54 	
       62	           40 	
       63	           47 	
       64	           57 	
       65	           34 	
       66	           51 	
       67	           47 	
       68	           54 	
       69	           41 	
       70	           45 	
       71	           44 	
       72	           49 	
       73	           45 	
       74	           40 	
       75	           63 	
       76	           61 	
       77	           41 	
       78	           56 	
       79	           37 	
       80	           54 	
       81	           35 	
       82	           43 	
       83	           55 	
       84	           45 	
       85	           56 	
       86	           35 	
       87	           40 	
       88	           54 	
       89	           47 	
       90	           39 	
       91	           48 	
       92	           35 	
       93	           45 	
       94	           39 	
       95	           41 	
       96	           52 	
       97	           49 	
       98	           54 	
       99	           52 	
      100	           45 	
      101	           52 	
      102	           66 	
      103	           54 	
      104	           51 	
      105	           30 	
      106	           47 	
      107	           64 	
      108	           51 	
      109	           49 	
      110	           58 	
      111	           47 	
      112	           57 	
      113	           34 	
      114	           38 	
      115	           37 	
      116	           40 	
      117	           64 	
      118	           51 	
      119	           37 	
      120	           44 	
      121	           50 	
      122	           50 	
      123	           41 	
      124	           42 	
      125	           49 	
      126	           46 	
      127	           44 	
      128	           56 	
      129	           45 	
      130	           52 	
      131	           55 	
      132	           32 	
      133	           42 	
      134	           49 	
      135	           44 	
      136	           48 	
      137	           39 	
      138	           42 	
      139	           47 	
      140	           50 	
      141	           44 	
      142	           46 	
      143	           44 	
      144	           50 	
      145	           39 	
      146	           45 	
      147	           55 	
      148	           34 	
      149	           54 	
      150	           51 	
      151	           49 	
      152	           44 	
      153	           43 	
