Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-28
Time (HH:MM:SS):	15:03:34
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          131 	
        2	          112 	
        3	          107 	
        4	          128 	
        5	          124 	
        6	          121 	
        7	          108 	
        8	          114 	
        9	          115 	
       10	          117 	
       11	          136 	
       12	          126 	
       13	          105 	
       14	          131 	
       15	          132 	
       16	          125 	
       17	          111 	
       18	          133 	
       19	          129 	
       20	          117 	
       21	          114 	
       22	          106 	
       23	          128 	
       24	          138 	
       25	          128 	
       26	          118 	
       27	          108 	
       28	          122 	
       29	          142 	
       30	          116 	
       31	          121 	
       32	          123 	
       33	          113 	
       34	          127 	
       35	          132 	
       36	          119 	
       37	          145 	
       38	          129 	
       39	          103 	
       40	          112 	
       41	          116 	
       42	          111 	
       43	          109 	
       44	          125 	
       45	          126 	
       46	           94 	
       47	          140 	
       48	           98 	
       49	          131 	
       50	          131 	
       51	          108 	
       52	          104 	
       53	          127 	
       54	          155 	
       55	          124 	
       56	          123 	
       57	          124 	
       58	          137 	
       59	          105 	
       60	          144 	
       61	          126 	
       62	          111 	
       63	          142 	
       64	          130 	
       65	          120 	
       66	          113 	
       67	          120 	
       68	          133 	
       69	          137 	
       70	          140 	
       71	          124 	
       72	          130 	
       73	          120 	
       74	          113 	
       75	          125 	
       76	          117 	
       77	          123 	
       78	          112 	
       79	          119 	
       80	          120 	
       81	          117 	
       82	          125 	
       83	          127 	
       84	          118 	
       85	          135 	
       86	          124 	
       87	          129 	
       88	          122 	
       89	          116 	
       90	          117 	
       91	          132 	
       92	          105 	
       93	          138 	
       94	          127 	
       95	          135 	
       96	          123 	
       97	          107 	
       98	          115 	
       99	          129 	
      100	          106 	
      101	          135 	
      102	          107 	
      103	           99 	
      104	          132 	
      105	          119 	
      106	          143 	
      107	          117 	
      108	          118 	
      109	          120 	
      110	          106 	
      111	          128 	
      112	          135 	
      113	          124 	
      114	          136 	
      115	          153 	
      116	          114 	
      117	          109 	
      118	          128 	
      119	          119 	
      120	          108 	
      121	          116 	
      122	          109 	
      123	          131 	
      124	          134 	
      125	          116 	
      126	          138 	
      127	          119 	
      128	          130 	
      129	          110 	
      130	          140 	
      131	          113 	
      132	          146 	
      133	          121 	
      134	          119 	
      135	          143 	
      136	           99 	
      137	          118 	
      138	          104 	
      139	          118 	
      140	          111 	
      141	          124 	
      142	          136 	
      143	          128 	
      144	          110 	
      145	          130 	
      146	          123 	
      147	          127 	
      148	          141 	
      149	          108 	
      150	          121 	
      151	          119 	
      152	          125 	
      153	          108 	
      154	          112 	
      155	          119 	
      156	          117 	
      157	          116 	
      158	          143 	
      159	          133 	
      160	          118 	
      161	          125 	
      162	          114 	
      163	          133 	
      164	          131 	
      165	          123 	
      166	          117 	
      167	          115 	
      168	          128 	
      169	          129 	
      170	          136 	
      171	           99 	
      172	          129 	
      173	          121 	
      174	          125 	
      175	          130 	
      176	           98 	
      177	          121 	
      178	          127 	
      179	          116 	
      180	          119 	
      181	          114 	
      182	          130 	
      183	          112 	
      184	          151 	
      185	          139 	
      186	          118 	
      187	          125 	
      188	          120 	
      189	          110 	
      190	          139 	
      191	          113 	
      192	          126 	
      193	          124 	
      194	          111 	
      195	          111 	
      196	          122 	
      197	          112 	
      198	          104 	
      199	          124 	
      200	          124 	
      201	          121 	
      202	          134 	
      203	          123 	
      204	          128 	
      205	          124 	
      206	          118 	
      207	          119 	
      208	          114 	
      209	          136 	
      210	          126 	
      211	          128 	
      212	          110 	
      213	          111 	
      214	          148 	
      215	          144 	
      216	          147 	
      217	          122 	
      218	          119 	
      219	          125 	
      220	          116 	
      221	          102 	
      222	          101 	
      223	          141 	
      224	          101 	
      225	          103 	
      226	          119 	
      227	          123 	
      228	           96 	
      229	          142 	
      230	          102 	
      231	          139 	
      232	           97 	
      233	          131 	
      234	          128 	
      235	          138 	
      236	          107 	
      237	          121 	
      238	          142 	
      239	          118 	
      240	          125 	
      241	          122 	
      242	          107 	
      243	          117 	
      244	          123 	
      245	           95 	
      246	          119 	
      247	          129 	
