Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-29
Time (HH:MM:SS):	14:40:17
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           79 	
        2	           68 	
        3	           77 	
        4	           71 	
        5	           68 	
        6	           75 	
        7	           75 	
        8	           67 	
        9	           65 	
       10	           77 	
       11	           72 	
       12	           61 	
       13	           87 	
       14	           74 	
       15	           82 	
       16	           90 	
       17	           73 	
       18	           67 	
       19	           58 	
       20	           83 	
       21	           89 	
       22	           87 	
       23	           60 	
       24	           80 	
       25	           63 	
       26	           67 	
       27	           63 	
       28	           70 	
       29	           63 	
       30	           77 	
       31	           76 	
       32	           66 	
       33	           69 	
       34	           63 	
       35	           89 	
       36	           69 	
       37	           67 	
       38	           75 	
       39	           70 	
       40	           67 	
       41	           84 	
       42	           68 	
       43	           66 	
       44	           83 	
       45	           90 	
       46	           75 	
       47	           71 	
       48	           80 	
       49	           70 	
       50	           75 	
       51	           69 	
       52	           76 	
       53	           77 	
       54	           75 	
       55	           79 	
       56	           75 	
       57	           76 	
       58	           82 	
       59	           78 	
       60	           82 	
       61	           76 	
       62	           69 	
       63	           73 	
       64	           65 	
       65	           71 	
       66	           86 	
       67	           76 	
       68	           78 	
       69	           67 	
       70	           71 	
       71	           81 	
       72	           70 	
       73	           93 	
       74	           80 	
       75	           65 	
       76	           82 	
       77	           84 	
       78	          102 	
       79	           70 	
       80	           67 	
       81	           69 	
       82	           74 	
       83	           89 	
       84	           89 	
       85	           84 	
       86	           76 	
       87	           52 	
       88	           86 	
       89	           89 	
       90	           53 	
       91	           82 	
       92	           67 	
       93	           78 	
       94	           52 	
       95	           66 	
       96	           71 	
       97	           78 	
       98	           65 	
       99	           70 	
      100	           69 	
      101	           82 	
      102	           61 	
      103	           57 	
      104	           76 	
      105	           62 	
      106	           62 	
      107	           65 	
      108	           80 	
      109	           65 	
      110	           62 	
      111	           57 	
      112	           72 	
      113	           76 	
      114	           57 	
      115	           83 	
      116	           65 	
      117	           78 	
      118	           85 	
      119	           60 	
      120	           67 	
      121	           85 	
      122	           70 	
      123	           61 	
      124	           73 	
      125	           67 	
      126	           78 	
      127	           72 	
      128	           60 	
      129	           68 	
      130	           77 	
      131	           75 	
      132	           73 	
      133	           58 	
      134	           70 	
      135	           64 	
      136	           64 	
      137	           69 	
      138	           66 	
      139	           79 	
      140	           73 	
      141	           64 	
      142	           71 	
      143	           68 	
      144	           87 	
      145	           56 	
      146	           63 	
      147	           58 	
      148	           78 	
      149	           78 	
      150	           86 	
      151	           91 	
      152	           70 	
      153	           71 	
      154	           80 	
      155	           72 	
      156	           73 	
      157	           78 	
      158	           59 	
      159	           58 	
      160	           73 	
      161	           69 	
      162	           79 	
      163	           81 	
      164	           63 	
      165	           60 	
      166	           76 	
      167	           69 	
      168	           72 	
      169	           60 	
      170	           62 	
      171	           62 	
      172	           68 	
      173	           67 	
      174	           65 	
      175	           75 	
      176	           82 	
      177	           80 	
      178	           71 	
      179	           63 	
      180	           89 	
      181	           80 	
      182	           85 	
      183	           68 	
      184	           86 	
      185	           85 	
      186	           86 	
      187	           74 	
      188	           80 	
      189	           89 	
      190	           83 	
      191	           74 	
      192	           85 	
      193	           65 	
      194	           84 	
      195	           62 	
      196	           62 	
      197	           89 	
      198	           75 	
      199	           66 	
      200	           88 	
      201	           71 	
      202	           61 	
      203	           90 	
      204	           57 	
      205	           70 	
      206	           61 	
      207	           78 	
      208	           80 	
      209	           61 	
      210	           71 	
      211	           82 	
      212	           52 	
      213	           72 	
      214	           56 	
      215	           71 	
      216	           66 	
      217	           81 	
      218	           83 	
      219	           81 	
      220	           89 	
      221	           72 	
      222	           59 	
      223	           65 	
      224	           71 	
      225	           66 	
      226	           69 	
      227	           71 	
      228	           73 	
      229	           71 	
      230	           72 	
      231	           65 	
      232	           77 	
      233	           82 	
      234	           62 	
      235	           81 	
      236	           61 	
      237	           63 	
      238	           64 	
      239	           50 	
      240	           72 	
      241	           70 	
      242	           67 	
      243	           70 	
      244	           83 	
      245	           88 	
      246	           70 	
      247	           59 	
      248	           55 	
      249	           68 	
      250	           60 	
      251	           66 	
      252	           62 	
      253	           77 	
      254	           76 	
      255	           88 	
      256	           60 	
      257	           72 	
      258	           67 	
      259	           75 	
      260	           68 	
      261	           65 	
      262	           71 	
      263	           62 	
      264	           60 	
      265	           66 	
      266	           67 	
      267	           76 	
      268	           61 	
      269	           75 	
      270	           73 	
      271	           75 	
      272	           58 	
      273	           69 	
      274	           69 	
      275	           72 	
      276	           59 	
      277	           65 	
      278	           76 	
      279	           73 	
      280	           76 	
      281	           88 	
      282	           88 	
      283	           82 	
      284	           87 	
      285	           91 	
      286	           68 	
      287	           73 	
      288	           88 	
      289	           88 	
      290	           78 	
      291	           75 	
      292	           55 	
      293	           89 	
      294	           79 	
      295	           92 	
      296	           78 	
      297	           95 	
      298	           79 	
      299	           75 	
      300	           95 	
      301	           82 	
      302	           67 	
      303	           78 	
      304	           83 	
      305	           78 	
      306	           85 	
      307	           75 	
      308	           64 	
      309	           72 	
      310	           69 	
      311	           63 	
      312	           76 	
      313	           65 	
      314	           70 	
      315	           84 	
      316	           88 	
      317	           79 	
      318	           83 	
      319	           94 	
      320	           74 	
      321	           67 	
      322	           85 	
      323	           74 	
      324	           64 	
      325	           69 	
      326	           78 	
      327	           54 	
      328	           76 	
      329	           60 	
      330	           77 	
      331	           82 	
      332	           63 	
      333	           51 	
      334	           65 	
      335	           71 	
      336	           75 	
      337	           62 	
      338	           76 	
      339	           57 	
      340	           67 	
      341	           91 	
      342	           66 	
      343	           71 	
      344	           70 	
      345	           76 	
      346	           69 	
      347	           68 	
      348	           68 	
      349	           69 	
      350	           63 	
      351	           68 	
      352	           85 	
      353	           64 	
      354	           73 	
      355	           70 	
      356	           72 	
      357	           68 	
      358	           95 	
      359	           90 	
      360	           94 	
      361	           70 	
      362	           93 	
      363	           83 	
      364	           90 	
      365	           79 	
      366	           80 	
      367	           75 	
      368	           70 	
      369	           72 	
      370	           74 	
      371	           78 	
      372	           75 	
      373	           76 	
      374	           59 	
      375	           79 	
      376	           75 	
      377	           76 	
      378	           73 	
      379	           67 	
      380	           89 	
      381	           61 	
      382	           70 	
      383	           64 	
      384	           71 	
      385	           78 	
      386	           57 	
      387	           69 	
      388	           84 	
      389	           62 	
      390	           51 	
      391	           72 	
      392	           67 	
      393	           67 	
      394	           68 	
      395	           77 	
      396	           74 	
      397	           71 	
      398	           70 	
      399	           64 	
      400	           71 	
      401	           73 	
      402	           70 	
      403	           63 	
      404	           62 	
      405	           81 	
