Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-29
Time (HH:MM:SS):	14:50:03
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	           88 	
        2	           72 	
        3	           70 	
        4	           80 	
        5	           87 	
        6	           89 	
        7	           70 	
        8	           96 	
        9	           97 	
       10	           85 	
       11	           78 	
       12	           70 	
       13	           79 	
       14	           69 	
       15	           81 	
       16	           77 	
       17	           75 	
       18	           82 	
       19	           84 	
       20	           62 	
       21	           95 	
       22	           69 	
       23	           79 	
       24	          100 	
       25	           87 	
       26	           72 	
       27	           75 	
       28	           75 	
       29	           75 	
       30	           72 	
       31	           59 	
       32	           75 	
       33	           90 	
       34	           77 	
       35	           56 	
       36	           69 	
       37	           82 	
       38	           84 	
       39	           80 	
       40	           72 	
       41	           95 	
       42	           72 	
       43	           76 	
       44	           89 	
       45	           83 	
       46	           75 	
       47	           73 	
       48	           61 	
       49	           73 	
       50	           96 	
       51	           71 	
       52	           64 	
       53	           88 	
       54	           70 	
       55	           96 	
       56	           67 	
       57	           76 	
       58	           74 	
       59	           77 	
       60	           63 	
       61	           62 	
       62	           68 	
       63	           75 	
       64	           87 	
       65	           71 	
       66	           82 	
       67	           64 	
       68	           64 	
       69	           77 	
       70	           77 	
       71	           83 	
       72	           66 	
       73	           92 	
       74	           75 	
       75	           77 	
       76	           62 	
       77	           79 	
       78	           64 	
       79	           73 	
       80	           82 	
       81	           92 	
       82	           74 	
       83	           74 	
       84	           72 	
       85	           74 	
       86	           83 	
       87	           72 	
       88	           83 	
       89	           80 	
       90	           89 	
       91	           82 	
       92	           79 	
       93	           80 	
       94	           78 	
       95	           82 	
       96	           95 	
       97	           73 	
       98	           74 	
       99	           77 	
      100	           70 	
      101	           81 	
      102	           79 	
      103	           87 	
      104	           93 	
      105	           85 	
      106	           72 	
      107	           74 	
      108	           93 	
      109	           60 	
      110	           75 	
      111	           70 	
      112	           85 	
      113	           76 	
      114	           75 	
      115	           76 	
      116	           67 	
      117	           80 	
      118	           72 	
      119	           76 	
      120	           78 	
      121	           69 	
      122	           74 	
      123	           78 	
      124	           74 	
      125	           77 	
      126	           64 	
      127	           68 	
      128	           74 	
      129	           73 	
      130	           69 	
      131	           78 	
      132	           76 	
      133	           81 	
      134	           87 	
      135	           75 	
      136	           81 	
      137	           83 	
      138	           74 	
      139	           79 	
      140	           89 	
      141	          102 	
      142	           78 	
      143	           82 	
      144	           68 	
      145	           82 	
      146	           79 	
      147	           86 	
      148	           81 	
      149	           88 	
      150	           92 	
      151	           85 	
      152	           75 	
      153	           80 	
      154	           73 	
      155	           85 	
      156	           97 	
      157	           60 	
      158	           76 	
      159	           81 	
      160	           68 	
      161	           81 	
      162	           71 	
      163	           77 	
      164	           79 	
      165	           51 	
      166	           68 	
      167	           64 	
      168	           74 	
      169	           58 	
      170	           87 	
      171	           66 	
      172	           69 	
      173	           75 	
      174	           91 	
      175	           66 	
      176	           74 	
      177	           75 	
      178	           59 	
      179	           67 	
      180	           89 	
      181	           82 	
      182	           62 	
      183	           83 	
      184	           73 	
      185	           72 	
      186	           61 	
      187	           63 	
      188	           73 	
      189	           63 	
      190	           64 	
      191	           74 	
      192	           77 	
      193	           55 	
      194	           80 	
      195	           65 	
      196	           57 	
      197	           61 	
      198	           75 	
      199	           66 	
      200	           74 	
