Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-06-29
Time (HH:MM:SS):	14:12:23
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	            7 	
        2	           14 	
        3	           16 	
        4	            8 	
        5	            7 	
        6	           10 	
        7	           12 	
        8	           12 	
        9	           10 	
       10	           10 	
       11	           11 	
       12	            9 	
       13	           16 	
       14	            9 	
       15	           18 	
       16	           10 	
       17	           15 	
       18	           14 	
       19	            8 	
       20	           13 	
       21	           14 	
       22	           10 	
       23	           14 	
       24	            9 	
       25	           15 	
       26	            6 	
       27	            9 	
       28	           12 	
       29	            7 	
       30	           11 	
       31	           10 	
       32	           10 	
       33	           10 	
       34	           10 	
       35	           17 	
       36	           18 	
       37	           16 	
       38	           11 	
       39	           16 	
       40	           19 	
       41	           10 	
       42	           10 	
       43	            9 	
       44	           10 	
       45	           12 	
       46	            9 	
       47	           12 	
       48	           10 	
       49	            9 	
       50	           13 	
       51	           12 	
       52	           11 	
       53	           13 	
       54	           12 	
       55	            6 	
       56	           13 	
       57	           12 	
       58	           17 	
       59	            4 	
       60	            9 	
       61	           18 	
       62	           13 	
       63	            9 	
       64	           10 	
       65	           11 	
       66	            9 	
       67	           11 	
       68	           11 	
       69	           13 	
       70	           12 	
       71	           13 	
       72	            5 	
       73	            8 	
       74	           20 	
       75	            6 	
       76	           10 	
       77	           15 	
       78	            8 	
       79	            9 	
       80	            8 	
       81	            9 	
       82	           10 	
       83	           13 	
       84	           14 	
       85	           14 	
       86	           20 	
       87	           15 	
       88	           13 	
       89	            5 	
       90	           10 	
       91	            7 	
       92	           14 	
       93	           16 	
       94	            5 	
       95	            5 	
       96	           10 	
       97	           10 	
       98	            7 	
       99	            8 	
      100	           14 	
      101	            9 	
      102	           18 	
      103	           13 	
      104	           12 	
      105	            7 	
      106	           16 	
      107	           12 	
      108	           19 	
      109	           13 	
      110	           22 	
      111	            5 	
      112	           14 	
      113	            5 	
      114	           13 	
      115	           11 	
      116	           12 	
      117	           15 	
      118	           10 	
      119	            7 	
      120	           11 	
      121	           13 	
      122	           14 	
      123	           16 	
      124	            8 	
      125	            7 	
      126	           10 	
      127	           15 	
      128	           15 	
      129	           11 	
      130	           10 	
      131	           15 	
      132	           13 	
      133	            9 	
      134	           14 	
      135	           11 	
      136	           18 	
      137	           14 	
      138	           15 	
      139	           10 	
      140	            9 	
      141	           13 	
      142	           11 	
      143	            9 	
      144	           11 	
      145	            9 	
      146	           14 	
      147	            9 	
      148	            8 	
      149	           10 	
      150	           18 	
      151	           10 	
      152	           10 	
      153	           18 	
      154	            8 	
      155	           13 	
      156	           11 	
      157	           13 	
      158	           15 	
      159	           14 	
      160	            6 	
      161	            3 	
      162	           11 	
      163	           14 	
      164	            6 	
      165	           11 	
      166	           11 	
      167	            9 	
      168	            9 	
      169	            9 	
      170	           11 	
      171	            8 	
      172	            9 	
      173	            9 	
      174	           12 	
      175	           14 	
      176	            9 	
      177	           11 	
      178	            8 	
      179	            9 	
      180	            5 	
      181	           18 	
      182	           13 	
      183	            9 	
      184	            9 	
      185	            9 	
      186	            4 	
      187	           15 	
      188	           13 	
      189	            7 	
      190	            6 	
      191	           10 	
      192	           11 	
      193	           12 	
      194	            7 	
      195	           14 	
      196	            9 	
      197	           14 	
      198	           10 	
      199	            9 	
      200	           12 	
      201	           11 	
      202	           15 	
      203	           15 	
      204	            9 	
      205	           13 	
      206	           13 	
      207	            7 	
      208	            9 	
      209	            8 	
      210	           19 	
      211	           13 	
