Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-07-11
Time (HH:MM:SS):	15:20:07
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.001
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          150 	
        2	          144 	
        3	          155 	
        4	          144 	
        5	          146 	
        6	          136 	
        7	          139 	
        8	          163 	
        9	          148 	
       10	          151 	
       11	          161 	
       12	          120 	
       13	          142 	
       14	          142 	
       15	          160 	
       16	          147 	
       17	          139 	
       18	          150 	
       19	          143 	
       20	          144 	
       21	          148 	
       22	          161 	
       23	          141 	
       24	          136 	
       25	          139 	
       26	          153 	
       27	          142 	
       28	          127 	
       29	          149 	
       30	          117 	
       31	          139 	
       32	          143 	
       33	          135 	
       34	          159 	
       35	          127 	
       36	          128 	
       37	          149 	
       38	          135 	
       39	          150 	
       40	          146 	
       41	          149 	
       42	          168 	
       43	          138 	
       44	          147 	
       45	          160 	
       46	          163 	
       47	          159 	
       48	          133 	
       49	          130 	
       50	          115 	
       51	          132 	
       52	          123 	
       53	          151 	
       54	          145 	
       55	          136 	
       56	          155 	
       57	          127 	
       58	          150 	
       59	          136 	
       60	          130 	
       61	          122 	
       62	          158 	
       63	          131 	
       64	          145 	
       65	          146 	
       66	          158 	
       67	          150 	
       68	          144 	
       69	          116 	
       70	          139 	
       71	          135 	
       72	          139 	
       73	          151 	
       74	          138 	
       75	          128 	
       76	          141 	
       77	          162 	
       78	          117 	
       79	          134 	
       80	          151 	
       81	          150 	
       82	          145 	
       83	          126 	
       84	          119 	
       85	          140 	
       86	          123 	
       87	          144 	
       88	          134 	
       89	          150 	
       90	          144 	
       91	          197 	
       92	          123 	
       93	          158 	
       94	          130 	
       95	          144 	
       96	          155 	
       97	          106 	
       98	          150 	
       99	          152 	
      100	          142 	
      101	          141 	
      102	          135 	
      103	          161 	
      104	          143 	
      105	          120 	
      106	          135 	
      107	          149 	
      108	          132 	
      109	          145 	
      110	          137 	
      111	          130 	
      112	          146 	
      113	          119 	
      114	          113 	
      115	          129 	
      116	          138 	
      117	          140 	
      118	          152 	
      119	          126 	
      120	          153 	
      121	          137 	
      122	          114 	
      123	          149 	
      124	          126 	
      125	          131 	
      126	          150 	
      127	          135 	
      128	          136 	
      129	          145 	
      130	          155 	
      131	          130 	
      132	          155 	
      133	          164 	
      134	          175 	
      135	          148 	
      136	          161 	
      137	          172 	
      138	          154 	
      139	          155 	
      140	          144 	
      141	          123 	
      142	          163 	
      143	          151 	
      144	          135 	
      145	          147 	
      146	          159 	
      147	          133 	
      148	          156 	
      149	          147 	
      150	          122 	
      151	          136 	
      152	          132 	
      153	          152 	
      154	          131 	
      155	          147 	
      156	          117 	
      157	          157 	
      158	          154 	
      159	          134 	
      160	          156 	
      161	          136 	
      162	          158 	
      163	          146 	
      164	          143 	
      165	          167 	
      166	          140 	
      167	          136 	
      168	          127 	
      169	          170 	
      170	          147 	
      171	          131 	
      172	          149 	
      173	          121 	
      174	          132 	
      175	          151 	
      176	          151 	
      177	          135 	
      178	          139 	
      179	          129 	
      180	          166 	
      181	          145 	
      182	          145 	
      183	          154 	
      184	          123 	
      185	          133 	
      186	          158 	
      187	          144 	
      188	          164 	
      189	          146 	
      190	          130 	
      191	          140 	
      192	          136 	
      193	          127 	
      194	          126 	
      195	          150 	
      196	          157 	
      197	          121 	
      198	          134 	
      199	          138 	
      200	          142 	
      201	          128 	
      202	          148 	
      203	          130 	
      204	          154 	
      205	          159 	
      206	          122 	
      207	          146 	
      208	          143 	
      209	          115 	
      210	          129 	
      211	          145 	
      212	          156 	
      213	          146 	
      214	          144 	
      215	          139 	
      216	          146 	
      217	          145 	
      218	          128 	
      219	          132 	
      220	          135 	
      221	          139 	
      222	          125 	
      223	          140 	
      224	          141 	
      225	          146 	
      226	          161 	
      227	          137 	
      228	          132 	
      229	          147 	
      230	          142 	
      231	          144 	
      232	          138 	
      233	          147 	
      234	          136 	
      235	          143 	
      236	          138 	
      237	          128 	
      238	          150 	
      239	          153 	
      240	          142 	
      241	          130 	
      242	          159 	
      243	          141 	
      244	          137 	
      245	          145 	
      246	          155 	
      247	          150 	
      248	          134 	
      249	          140 	
      250	          130 	
      251	          133 	
      252	          142 	
      253	          130 	
      254	          165 	
      255	          148 	
      256	          132 	
      257	          133 	
      258	          133 	
      259	          150 	
      260	          161 	
      261	          153 	
      262	          142 	
      263	          174 	
      264	          141 	
